F7,F8,Fp1,Fp2,FT10,FT9,O1,O2,P7,P8,T7,T8,TP10,TP9,Cpz
-5.6178763770731166e-05,0.0005773155353381298,-6.841341837571235e-05,-2.0965926523786038e-05,6.495247362181544e-07,-4.8808218707563356e-05,-3.0131865059956908e-05,-1.1464049748610705e-05,-4.580646782414988e-05,-5.678382149199024e-05,-3.829022534773685e-05,-2.980404497066047e-05,-7.014225411694497e-05,-5.0587006626301445e-05,-5.0589012971613556e-05
-4.841384907194879e-05,9.324569327873178e-05,3.1825607948121615e-05,8.963183609012049e-05,2.5193957299052272e-05,-4.530235310085118e-05,3.097419721598271e-05,0.00012293497638893314,2.831094570865389e-05,-6.443636084441096e-05,4.2151908928644843e-05,-9.598748874850571e-05,-0.0003176091704517603,9.109628808801062e-05,1.638380967960984e-05
-0.00036867815879304544,3.9302542063524015e-05,-0.0003391590234969044,-0.0003292324599897256,0.003929852719011251,-0.00036760467583007994,-0.0003620421462073864,-0.0003463256082056887,-0.0003764790471905144,-0.00036095338691666257,-0.00041638196125859395,0.00046759309043409303,-0.0004415849471115507,-0.0003706693208869183,-0.0003576375802367693
0.0007560016238130629,0.0014021997631061822,0.0009137246524915099,0.0009855442331172526,-0.012767589185386896,0.0007706790056545287,0.0008043677953537554,0.0008323952497448772,0.0008109213085845113,0.0008017618674784899,0.0009276391938328743,0.0012130388035416217,0.0007790329691488296,0.0009499252191744745,0.0008203571196645498
-7.595587521791458e-05,6.276491330936551e-05,-5.615173722617328e-05,-2.028493327088654e-05,0.00022677844390273094,-6.152683636173606e-05,-2.8386552003212273e-05,-3.431773802731186e-05,-3.465585905360058e-05,3.505078348098323e-05,-6.001688598189503e-05,5.373908788897097e-05,2.9361966880969703e-05,-1.529729343019426e-05,-2.110138302668929e-05
-2.8416612622095272e-05,0.00011900183744728565,0.00011048898886656389,0.00018712753217187128,-0.00017699630006973166,-5.8908804930979386e-05,-3.086265496676788e-05,-3.0341085221152753e-05,-3.608211045502685e-05,4.629096656572074e-05,-6.387351641023997e-05,-5.80598134547472e-06,4.2112952542083804e-05,-2.952347540485789e-05,-4.4211759814061224e-05
-3.990369805251248e-06,6.687499990221113e-05,-5.8442419685889035e-06,-1.0112926247529685e-06,8.317794345202856e-05,6.9259222073014826e-06,-1.5130419342312962e-05,9.616071338314214e-06,-3.26165022670466e-05,-8.746608727960847e-06,-1.0916508159652949e-05,-2.0994113583583385e-05,-2.4367131118196994e-05,-1.877827526186593e-05,-2.4199472136388067e-05
-2.4974975076474948e-05,0.00011834200995508581,2.7275681986793643e-05,6.394187221303582e-05,-0.00010139908044948243,-2.0013067114632577e-05,-2.6272803552274127e-05,-3.8739679439458996e-05,-2.3044344288791763e-05,-6.286547431955114e-06,-3.45367802765395e-05,0.00010264010052196681,-1.4928791642887518e-06,-1.724039884720696e-05,-1.819910539779812e-05
-3.477223481240799e-05,5.7476398069411516e-05,2.0492128896876238e-05,-6.696334094158374e-05,3.585858576116152e-05,-1.1304068266326794e-05,-1.1335840099491179e-05,-2.4254731215478387e-05,-7.409125828417018e-06,-2.027110895141959e-06,5.069035978522152e-06,2.3536882963526295e-05,1.882687995369281e-05,2.418768417555839e-06,-5.61223282602441e-06
-3.22753644468321e-05,0.0001177366721094586,0.00010027670487033902,0.0001520190926385112,1.134273043135181e-05,-8.95661814865889e-05,-3.6985318729421124e-05,-2.8276441298658028e-05,-4.041256943310145e-05,-2.0488516383920796e-05,-6.891644807183184e-05,2.810716978274286e-06,-2.63347073996556e-05,-3.984374416177161e-05,-1.0866256019426146e-06
-3.7432271710713394e-05,3.9938538975548e-05,-2.027591017395025e-05,1.4860333521937719e-05,2.4818771635182202e-05,-1.2722841347567737e-05,-2.6301975594833493e-05,5.043617420597002e-06,-1.0725321772042662e-05,-6.212148582562804e-05,-1.9900428014807403e-05,7.364659541053697e-05,3.7132398574613035e-05,-1.610746403457597e-05,1.0147428838536143e-05
-5.800374356113025e-05,0.00011262065527262166,3.7895497371209785e-05,0.00013867483721696772,3.143055801047012e-05,-7.693197403568774e-05,-2.5617915525799617e-05,-3.14127464662306e-05,-1.8375273612036835e-05,-2.8703090492854244e-05,-2.695094826776767e-05,1.6978005987766664e-05,-1.9403501937631518e-05,-2.287541019541095e-05,-2.9324947945497115e-05
1.662885733821895e-05,0.0003486591449473053,1.5073381291585974e-05,8.764181984588504e-06,-1.216395048686536e-05,2.4155066057574004e-05,-7.590473364871286e-05,-6.845609914307715e-05,-3.879070391121786e-05,-5.676958062394988e-05,-3.637748341134284e-05,-1.2158321624156088e-05,-7.603502308484167e-05,-2.263128408230841e-06,-3.4361590223852545e-05
-7.804181223036721e-06,0.00016165568376891315,-1.5623041690560058e-05,2.1390906113083474e-05,-7.47961694287369e-05,1.497162202213076e-06,2.1592522898572497e-06,-3.448318238952197e-06,5.057991245394078e-06,-3.353933607286308e-05,1.0498952178750187e-05,-2.8348005798761733e-05,-3.823730548901949e-05,-1.832580801419681e-05,1.7862220829556463e-05
