F7,F8,Fp1,Fp2,O1,O2,P7,P8,T7,T8,Cpz
-6.856714207970072e-05,4.4438917029765435e-05,-4.0264521885546856e-05,2.015222298723529e-05,7.31409545551287e-06,1.1891073881997727e-05,4.331194759288337e-06,1.6525088540220167e-05,-2.254040191473905e-05,1.7914056684276147e-05,8.805417792245862e-06
-5.0557946451590396e-05,0.00017122854478657246,-2.567412593634799e-05,3.2071191526483744e-05,-4.5397609028441366e-05,-2.2944944248592947e-05,-5.3128483614273136e-05,2.076406599371694e-05,-5.332192995410878e-05,9.770363249117509e-05,-7.074239147186745e-05
-5.747632167185657e-05,9.274821786675602e-05,-8.759941920288838e-06,2.923132797150174e-05,-3.574568472686224e-05,5.918867827858776e-06,-6.336061778711155e-05,5.6933156884042546e-05,-9.358361785416491e-05,0.00012945056005264632,-5.53559457330266e-05
-0.00012050500049554103,9.164897710434161e-05,-7.325751448661322e-05,1.8282271433633923e-05,9.603427088222816e-06,2.682260310393758e-05,-5.626658776236582e-06,3.7077816159580834e-05,-4.7739988076500595e-05,6.75909141136799e-05,-3.8968446460785344e-06
-3.590797780361754e-05,4.750230345962336e-05,-2.9494185582734644e-07,3.145638447676902e-05,-8.288815479318146e-06,-6.686450433335267e-06,-9.977015054118965e-06,-2.0165280147921294e-06,-2.1307775796231e-05,1.343779695162084e-05,-7.916980962363596e-06
-3.787899549934082e-05,3.870738873956725e-05,-3.303556331957225e-05,3.142798391309043e-06,5.85311177303538e-06,7.296644696452859e-06,2.105120756823453e-06,1.2280082501092693e-05,-1.2806839833956474e-05,1.227602842845954e-05,2.0602169570338447e-06
-8.019431879802141e-05,0.00011754739171010442,-1.9792942111962475e-05,6.304906037257751e-05,-3.142930108879227e-05,4.55613735539373e-06,-6.156265226309188e-05,4.642027670342941e-05,-9.886259431368671e-05,0.00011288295354461297,-5.26140129295527e-05
-7.850022848288063e-05,5.4102174090076005e-05,-3.632924745033961e-05,2.2426109353546053e-05,3.653362909972202e-06,6.565512649103766e-06,4.686935426434502e-07,1.8614857026477694e-05,-2.3014939870336093e-05,3.604405264923116e-05,-4.030351192341186e-06
-3.791797826124821e-05,4.4875630919705145e-05,-2.886770516852266e-05,4.972600436303765e-06,-4.129174158151727e-06,5.563925981277862e-06,-1.131696808442939e-05,1.5468800938833738e-05,-1.9124192476738244e-05,4.218404683342669e-05,-1.1708992133208085e-05
-3.8555180026378366e-05,0.0005117190594319254,-2.2955460735829547e-05,-7.866897612984758e-05,-5.404706462286413e-05,-6.382135325111449e-05,-0.00015078002343216212,-3.706145434989594e-05,-4.624049142876174e-05,4.0821156289894134e-05,-6.041019514668733e-05
-2.8859404892500606e-05,5.778643026133068e-05,-1.063798390532611e-05,1.881245339063753e-05,-2.0194039279886056e-05,4.4776115828426555e-06,-3.045754874619888e-05,2.7221845812164247e-05,-5.477968352352036e-05,6.208404101926135e-05,-2.545372444728855e-05
-4.1826642700470984e-05,2.6494923076825216e-05,-3.099185641985969e-05,2.056638550129719e-06,6.808664693380706e-06,1.3644296814163681e-05,2.1780579118058085e-06,1.6600285107415402e-05,-1.4479072888207156e-05,1.910020273498958e-05,4.145031198277138e-07
-4.5335941649682354e-05,3.414384445932228e-05,-2.841849436663324e-05,1.0938179912045598e-05,1.7136262613348663e-06,7.163866939663421e-06,-1.4860634109936655e-06,1.3084958027320681e-05,-1.1303818837404833e-05,2.1731716060457984e-05,-2.2318727133097127e-06
-3.043431388505269e-05,2.7100020361103816e-05,-1.2685527053690748e-05,1.738410423968162e-05,-4.4178159441798925e-07,5.3126641432754695e-06,-8.558868671570963e-06,1.5149122646107571e-05,-2.0989194126741495e-05,1.9825527033390244e-05,-1.1661750249913894e-05
-3.70036473213986e-05,3.242661477997899e-05,5.41771441930905e-06,8.763679943513125e-06,3.2582956919213757e-06,5.310197593644261e-06,-5.416915882960893e-06,1.3926510291639715e-06,-1.6022422641981393e-05,-2.074666554108262e-07,2.0812658476643264e-06
-4.838610533397514e-05,4.591755509864015e-05,-1.157533552031964e-05,3.1963849323801696e-05,-2.206841600127518e-06,-1.657307439018041e-05,-4.708432243205607e-06,1.2722702194878366e-05,-3.235575059079565e-05,2.643467450980097e-05,-1.2332347978372127e-06
-0.00010482015750312712,7.280719478330866e-05,-6.174186273710802e-05,5.8235869801137596e-05,1.825093409024703e-05,5.4478523452416994e-05,-1.2725045962724835e-05,2.6643428100214805e-05,-5.205609613767592e-05,2.6753295969683677e-06,-1.7481143004260957e-06
