Fp1,F7,T7,P7,O1,F3,C3,P3,FT9,Fp2,F8,T8,P8,O2,F4,C4,P4,FT10,Cpz
-3.6538720451062545e-05,-0.00010511392974876799,-4.843327587877866e-05,-6.757101709808921e-05,8.738393717067083e-06,-2.4339788978977595e-05,-2.206138742621988e-05,-4.510547341851634e-06,-7.456473031197675e-05,2.733522001108213e-05,6.644983659498394e-05,2.9168164473958313e-05,4.115767660550773e-05,4.463454752112739e-05,2.9245667974464595e-05,2.1948983885522466e-05,3.4414679248584434e-05,5.109077937959228e-05,2.8949440093128942e-05
-1.5781429681283043e-05,-9.939383107848698e-05,-5.535364198294701e-05,-8.3975974121131e-06,1.5444744349224493e-05,-1.527682866253599e-05,-1.1701847029144119e-05,8.425973646808416e-06,-9.39129477046663e-05,4.903351509710774e-05,4.761654417961836e-05,1.5252426237566397e-05,2.171670348616317e-05,2.2896683503859094e-05,3.4511844205553643e-05,2.025818548645475e-05,2.3954583411978092e-05,2.1900837964494713e-05,1.8806078969646478e-05
3.204863847372508e-05,-9.551146467856597e-05,-6.046475755283609e-05,-0.00010186876897932962,-6.752999615855515e-05,-2.136837792932056e-06,-2.55225687908478e-05,-5.4543991609534714e-05,-8.565965072193649e-05,0.00011513994195411215,0.00011371381856406515,7.031317454675445e-05,6.658596248598769e-06,-2.321464785381977e-05,6.764630325051257e-05,3.60429708052834e-05,2.355262950004544e-06,0.00010194587844125635,-2.9411910873022862e-05
-2.389423980275751e-05,-3.2256754309401003e-05,-1.6305418739648303e-05,-1.0212334018433467e-05,2.009821400861256e-06,-1.3453315887090866e-05,-9.667344329500338e-06,-4.0905697460402735e-06,-2.555458286224166e-05,-9.111731742450502e-06,3.0507845622196328e-05,3.138526517432183e-05,1.7028015236064675e-05,9.57400698098354e-06,5.570903709894992e-06,3.5633738093565626e-06,5.189628154766979e-06,3.6475576052907854e-05,3.2418538467027247e-06
-2.0773672986251768e-05,-9.679694812803064e-05,-4.5283016788744135e-05,-2.3198648705147207e-05,-1.2932946106047893e-05,-2.394377952441573e-05,-8.511064152116887e-06,1.636685283301631e-06,-7.95919049778604e-05,8.913059491533204e-05,8.929127307055751e-05,2.581587477834546e-05,-1.1181831723661162e-05,-1.3399164345173631e-05,4.383713167044334e-05,2.9854407330276445e-05,3.6601431929739192e-06,5.443192640086636e-05,-2.045060227828799e-06
2.4133696570061147e-06,-3.3063550290535204e-05,-3.743579327419866e-05,-4.1215831515728496e-05,-2.0751715055666864e-05,-1.2567408703034744e-05,-2.130269854205835e-05,-2.7046064133173786e-05,-3.443043624429265e-05,2.4783827029750682e-05,4.953021743858699e-05,4.594291544890439e-05,1.4859391740174033e-05,4.903322405880317e-07,2.78372951925121e-05,1.5630561932766796e-05,2.5583001388440607e-06,5.058621309217415e-05,-6.818931069574319e-06
-2.8189281124468835e-05,-4.27706545451656e-05,-3.1342745387519244e-05,1.3256139936856925e-06,-1.0124549589818344e-06,-3.0095573947619414e-05,-2.4221187231887598e-05,-1.0763474165287334e-05,-3.578209361876361e-05,-1.3281334759085439e-05,3.238372198666184e-05,5.9867075833608396e-05,3.0290611903183162e-05,2.9872080631321296e-06,7.103941243258305e-06,2.5676268705865368e-05,1.6478641555295326e-05,4.3293641283526085e-05,-1.9479248294373974e-06
-1.9885555957444012e-05,-6.0881589433847694e-05,-1.8034947061096318e-05,1.7350230336887762e-05,-1.460792532270716e-05,-1.8136763173970394e-05,2.0513143681455404e-06,-1.865196338712849e-06,-3.412837122596102e-05,2.330512734260992e-05,4.195658584649209e-05,1.2314612831687555e-05,5.6754957142857165e-06,-8.564949041556247e-06,2.2532119146490004e-05,1.5143816654017428e-05,6.200837560754735e-06,2.9782152410007257e-05,-2.0699553715530783e-07
-6.758827271369228e-05,-9.181837612004529e-05,-3.517994127832935e-05,3.487608955765609e-05,-9.839013728196733e-07,-2.1187664970057085e-05,-1.3181208714740933e-05,-8.322001121996436e-06,-5.021148672312847e-05,-2.024529976552003e-06,6.3288211094914e-05,3.965877567679854e-05,3.107848669969826e-05,1.0397186088084709e-05,1.57607250912406e-05,1.9733223325602012e-05,1.6656264051562175e-05,6.245319491426926e-05,-3.4047707231366076e-06
-2.7848427635035478e-05,-4.246685580255871e-05,-2.5055354569758492e-05,-4.795430868398398e-06,-4.736438313557301e-06,-2.5924345209205057e-05,-1.921039597618801e-05,-1.4627128848587745e-05,-2.199525465584884e-05,2.089006102323765e-06,4.474101388041163e-05,3.816057142103091e-05,1.1380474461475387e-05,1.061113573541661e-05,1.0606318710415508e-05,1.0708319678087719e-05,8.101626690404373e-06,5.105577474751044e-05,-7.946089262134137e-07
8.453009286313318e-06,-8.047771916608326e-05,-4.3395055485007106e-05,-5.279143442749046e-05,-2.5104864107561298e-05,-8.897221960069146e-06,-8.652460110170068e-06,-2.1262047994241584e-05,-7.107006376827485e-05,9.629726082494017e-05,8.66625764501805e-05,3.1513171052210964e-05,-1.7212869352078997e-07,-1.3587587091024034e-05,4.482066287891939e-05,1.937487036229868e-05,-8.058794037424377e-06,6.896851482451893e-05,-2.2620693016506266e-05
-1.8569275766822102e-05,-4.4065323550057656e-05,-1.4900752603352885e-05,-1.1846367897305754e-05,-6.806206556575489e-06,-9.306246454343636e-06,-2.3447605599358212e-06,-8.445296373338351e-07,-3.881662632920779e-05,1.7796034626371693e-05,4.0621321204525884e-05,1.3064505537840887e-05,3.939244678008436e-06,-2.9235107490421797e-06,2.560419397923397e-05,2.391448651906103e-05,1.1039667242584983e-05,1.2520573818619596e-05,1.9235692434449447e-06
1.08232707134448e-05,-4.1937767491617706e-05,-4.085283580934629e-05,-2.783123022709333e-05,-1.211442122439621e-05,-2.3001035742709064e-05,-1.9659355984913418e-05,-8.784380042925477e-06,-5.174283614906017e-05,3.3934217753994744e-05,3.998619786216295e-05,5.0841546908486634e-05,2.3570077246404253e-05,3.092329279752448e-06,6.702261998725589e-07,5.97224752141301e-06,1.2173764162071166e-05,4.649823131330777e-05,-1.6382446119678207e-06
-5.551738740905421e-05,-8.299077126139309e-05,-1.763707109603274e-05,1.3346265404834412e-05,2.1468009435920976e-05,-2.5364352495671483e-05,-2.0699278593383497e-06,1.592316473875144e-05,-4.149037431488978e-05,-6.611908929698984e-06,3.749254483409459e-05,2.2811676672063186e-05,1.5985874767920905e-05,1.1786407412728295e-05,5.5508526202174835e-06,8.47120395519596e-06,1.7794318409869447e-05,4.194845496385824e-05,1.910301898533362e-05
-8.247172445408069e-05,-8.247287405538373e-05,-1.1942042192458757e-05,5.688958481187001e-06,2.4195850528485607e-05,-2.0549855435092468e-05,4.539834350225647e-06,1.925422441217961e-05,-2.6969098598783603e-05,-4.9228562602365855e-05,2.9597589673358016e-05,2.7270149075775407e-05,2.9853412286229286e-05,2.4729021845359966e-05,8.199407886877452e-06,1.6063192106230417e-05,1.9313918073748937e-05,4.430671106092632e-05,2.0621887870220235e-05
-1.5758688050482306e-05,-4.7586810069333296e-05,-2.589702899058466e-05,7.735874532954767e-06,2.2693551727570593e-05,-1.533490507199531e-05,-1.2675390735239489e-05,6.157522875582799e-06,-3.4246465475007426e-05,3.304136225779075e-05,5.259575482341461e-05,1.56784662976861e-05,-4.078905294591095e-05,-1.6455873264931142e-05,2.402252221145318e-05,1.0244869031339476e-05,-3.982739144703373e-06,3.717272829817375e-05,3.3843007258838043e-06
-3.771515366679523e-05,-8.824288966025051e-05,-2.8674461873379187e-05,1.1121024726890028e-05,1.7588827404324547e-05,-3.910436601017864e-05,-1.8307890513824532e-05,4.6996260607556906e-06,-5.472098564496264e-05,2.07383436645614e-05,5.200775257208079e-05,3.3835955036920495e-05,2.2295396775007248e-05,1.7439850580558414e-05,8.671665000292705e-06,4.903788067167625e-06,9.193461409040538e-06,5.31707131017356e-05,1.1099343282694463e-05
-3.245466587031842e-05,-9.012291047838517e-05,-4.012060344393831e-05,-6.879100965306861e-06,1.1474554831636397e-05,-2.662045335455332e-05,-1.0198956260865089e-05,6.790668521716725e-06,-6.210304309206549e-05,4.067275222041644e-05,5.9030804550275207e-05,2.5350068426632788e-05,1.1993583939329255e-05,1.5674132555432152e-05,1.4620128240494523e-05,4.939151949656662e-06,1.2682534844543625e-05,5.1574297685874626e-05,1.369706205878174e-05
-4.0059767343336716e-05,-5.439750020741485e-05,-3.801722937168961e-05,-8.49878961162176e-06,6.354849574563559e-06,-4.54586715932237e-05,-2.756616595434025e-05,-1.1372138033038937e-05,-3.747265327547211e-05,-4.197365342406556e-06,3.556107003532816e-05,6.363339343806729e-05,5.0587124860612676e-05,2.71647777481121e-05,-2.4539804144296795e-06,1.1414874279580545e-05,1.8434024696034612e-05,4.642962358047953e-05,9.914525890053483e-06
-2.0540368495858274e-05,-5.193954689275415e-05,-2.6424540010339115e-05,-1.8680457287700847e-06,1.5779404293425614e-05,-2.387374570389511e-05,-2.054962078545941e-05,2.1522919269045815e-06,-2.77112139883684e-05,1.3521816072170623e-05,2.7631815100903623e-05,1.6644927654851926e-05,2.151276385120582e-05,2.0462421161937527e-05,-1.8879754861700349e-06,2.4968539946712554e-07,9.509265964879887e-06,3.468665545369731e-05,1.2644014987017727e-05
-6.32594328635605e-05,-9.874284683064616e-05,-3.9564695271110395e-05,-1.6648932614771184e-05,-1.5519858209245285e-05,-3.633700043792487e-05,-2.480851571817766e-05,-2.1818426830577664e-05,-5.6196266086772084e-05,9.35077878239099e-06,0.00010395683284514234,7.974312347869272e-05,1.2729929494526004e-05,-2.2589374566450715e-06,3.6367583732044295e-05,2.870740030402885e-05,1.2251460930201574e-05,0.0001029205459417426,-1.0872745406231843e-05
-5.240835889708251e-06,-0.00011505816473800223,-6.284379287535558e-05,-2.9164005354687106e-05,-1.2067756415490294e-05,-2.9896010346419644e-05,-2.7970380415354157e-05,-1.593247111486562e-05,-0.00010682469655876048,8.397315468755551e-05,9.08897686713317e-05,3.612598493418773e-05,3.229746425859048e-05,9.581055337548605e-06,4.1014242015080526e-05,2.1021540533183725e-05,1.8085182091454044e-05,6.750525062670931e-05,4.504469600874472e-06
1.7788719333111658e-05,-1.1146652468596585e-05,-4.4772781620849855e-05,-6.626239883189555e-05,-2.5698838271637214e-05,-1.9164795048709493e-06,-1.3955427675682586e-05,-3.210539489373332e-05,-2.350791646676953e-05,2.9178774639149196e-05,4.8552538828516845e-05,4.018791423732182e-05,1.714567702038039e-06,-1.464869251321943e-05,4.031684329675045e-05,3.028939045179868e-05,5.972916369501036e-06,3.8533521319550346e-05,-1.8520603589422535e-05
-3.6717929106089287e-05,-8.225224428315414e-05,-6.380000559147447e-05,-3.3463345062045846e-05,1.5816692666703602e-05,-4.310816166253062e-05,-3.3555025765963364e-05,-1.5661499219277175e-05,-5.6478646456525894e-05,2.6675957087718416e-05,6.403367660823278e-05,3.684283319671522e-05,4.404600622365251e-05,3.332577762193978e-05,2.889523148041917e-05,1.3722505400437512e-05,1.887955113488715e-05,6.491204294434283e-05,1.7886579826154048e-05
1.724179355733213e-06,-1.8735325284069404e-05,-2.8056132578058168e-05,-4.3277140093778144e-05,-1.8960365196107887e-05,5.823705578222871e-06,7.88401757745305e-06,-6.788186510675587e-07,-3.144267725474492e-05,1.2965762834937777e-05,2.4991857571876608e-05,7.877752068452537e-06,6.183654477354139e-08,1.9145595615555067e-06,2.7869729819940403e-05,2.188674193348561e-05,1.2369420346658444e-05,1.0334908438380808e-05,5.445985379992635e-06
-3.735421933015459e-05,-3.86149231417221e-05,-2.533106362534454e-05,-1.4525954540545172e-05,-9.486095905231196e-06,-2.4508035153303354e-05,-8.432293725491036e-06,-8.021122084755916e-06,-3.262310929130763e-05,-2.459278059063763e-05,3.0262428481364623e-05,6.0415486586862244e-05,3.8348391576903396e-05,1.1870311482198304e-05,-3.1967497307050508e-06,1.4070353813622205e-05,1.9853666344715748e-05,5.1218630687799305e-05,6.470818334491923e-07
-2.0767947717104107e-05,-3.586442835512571e-05,-4.703499507741071e-05,-2.1153029138076818e-05,8.580184925222056e-06,-2.1745768208347727e-05,-2.6190063181275036e-05,-1.1139348316646647e-05,-3.3207747947017197e-05,-2.9051789169898257e-06,2.6308013730158564e-05,3.0684568628203124e-05,3.502442177705234e-05,2.3749928004690446e-05,9.787192539079115e-06,2.0966096371921594e-05,2.771349272734369e-05,2.537847831263207e-05,1.1816128335340181e-05
-3.6756709960172884e-06,-4.773210844177811e-05,-2.347581995110204e-05,-1.7731799744069576e-06,-9.655791473051067e-07,-1.3003197409489076e-05,-1.1430365020714817e-05,-8.336597716152028e-06,-3.6729518456013466e-05,4.011150394944707e-05,4.394086317915935e-05,1.725929178064689e-05,8.433009170971673e-06,-3.6505946354736807e-06,1.51343633660872e-05,6.867320280434797e-06,-1.9874956933563226e-06,2.677743805179489e-05,-5.7636622159407125e-06
-1.4458420992013998e-05,-0.00014076129991735797,-4.9286379493196364e-05,-1.5254990103130694e-05,-8.636467100586742e-06,-3.522356109897373e-05,-2.7664977096719667e-05,-8.851677648635814e-06,-0.0001051272738550324,8.791353502601851e-05,0.00011311792786727892,3.7798676203237846e-05,2.3905462512630038e-05,1.052531115419697e-05,3.270874276495306e-05,7.978483154147398e-06,5.806125955132302e-06,9.100917577598011e-05,-5.498385689861607e-06
-1.041249129229982e-05,-8.341878401552094e-05,-5.210432027524803e-05,-1.0230472980765626e-05,1.578099727339577e-05,-2.6360878564446466e-05,-1.9914282006538997e-05,1.968002607100061e-06,-8.153182352543809e-05,4.080590463217959e-05,3.488757636205264e-05,5.545139538298827e-05,4.154102407483151e-05,2.4856502932379954e-05,8.825732038530987e-07,4.5699164274992654e-07,1.510311176389223e-05,3.727208286363748e-05,1.4966879462008364e-05
