C3,C4,O1,O2,F3,F4,F7,F8,Fz,Fp1,Fp2,P3,P4,Pz,T7,T8,P7,P8,Cpz
-1.0097229392158624e-05,-6.4971278561642976e-06,7.887047104304656e-08,-4.506035111262463e-06,-8.28451607048919e-06,6.132138878456317e-06,-6.4149280660785735e-06,2.4257704353658482e-05,-4.635089908333612e-06,1.032903583109146e-05,3.0245800189732108e-05,-5.780988885817351e-06,-1.012703569358564e-05,-1.2074856840627035e-05,-1.8223069560008298e-06,6.298076186794788e-06,4.184886961411394e-06,1.0908779586316086e-06,-1.237727497027663e-05
-5.78399976802757e-06,-2.204388124482648e-06,-4.942196255797171e-06,-3.2362186175305396e-07,-4.950884886056883e-06,6.567384218669758e-06,-8.194235419978213e-06,2.581807075330289e-05,-2.1741799400842865e-06,3.4072218113578856e-07,2.086135464196559e-05,-6.918468898220453e-06,-2.7445098567113746e-06,-6.248093768590479e-06,-5.753809091402218e-06,8.203933703043731e-06,-7.644064226042246e-06,6.954669515835121e-07,-4.6044760892982595e-06
9.147406672127545e-07,1.0314878636563662e-05,-7.04616309121775e-06,-2.412893309156061e-06,-8.928057923185406e-06,1.2947806226293324e-05,-5.049922128819162e-05,3.564832064739676e-05,5.618416963670825e-06,-2.157373955924413e-05,1.9256822270108387e-05,2.6117468223674223e-06,5.662150215357542e-08,1.6419851363025373e-06,-1.325897142123722e-05,1.1275916904196492e-05,-4.209500730212312e-06,3.6625579014071263e-06,3.9787328205420636e-06
2.1430287233670242e-07,1.0446785381645896e-05,-8.298582088173134e-07,-3.863296271333638e-06,-8.73982094162784e-06,1.6401719676650828e-05,-4.498249836615287e-05,3.490481867629569e-05,4.334008053774596e-06,-2.7359040359442588e-05,1.1876340067829005e-05,2.9407899546640692e-06,1.8612163330544718e-06,4.16518889778672e-06,-1.2660934316954808e-05,6.833470251876861e-06,-2.3401016733259894e-06,5.29086719325278e-07,6.267823209782364e-06
-1.860652616869629e-05,1.795020062900221e-05,-1.8529030967329163e-06,7.154089189498336e-06,-4.165900918451371e-05,4.033792629343225e-05,-0.00013815343493206456,0.00011207274701519054,1.143859208241338e-06,-5.259740282781422e-05,5.838456559104088e-05,-5.3734211178380065e-06,1.2885905789516983e-05,5.6096546359185595e-06,-4.238821748003829e-05,3.399405318305071e-05,-1.4017842659086455e-05,1.9471606719889678e-05,5.644154896344844e-06
-1.6958300875558052e-05,1.8740835002972744e-05,-2.056703465314058e-05,-4.860979743170901e-06,-1.904542818920163e-05,4.254127634339966e-05,-7.946452024043538e-05,9.058756768354215e-05,1.2891791811853182e-05,-2.5716060690683662e-05,5.3703909543401096e-05,-2.1576958715741057e-05,3.5456881732898182e-06,-4.642839599000581e-06,-3.880527310684556e-05,2.8223437766428106e-05,-2.7027989744965453e-05,1.2510224564721284e-05,-4.079342716067913e-06
-9.605785180610837e-07,3.95570805267198e-06,2.8935755835846066e-07,-2.7260371098236647e-06,-1.4405286947294371e-05,1.3134429536876269e-05,-4.280021857994143e-05,2.501102426322177e-05,-3.184215927376499e-06,-1.566168066347018e-05,1.714813652142766e-05,4.658144234781503e-06,3.057708909182111e-06,6.409455636458006e-06,-1.1113050277344882e-05,6.480569936684333e-06,1.7550761413076543e-06,2.8327231120783836e-06,6.118733210769278e-06
-1.5424769458149967e-05,1.1023342949556536e-05,-5.345205181583879e-06,7.028179879853269e-06,-2.503345240256749e-05,2.9660738618986215e-05,-6.909616422490217e-05,6.691009366477374e-05,-6.462015790020814e-06,-2.7318993488734122e-05,3.923557778762188e-05,-1.1185787002432335e-05,1.4561346233676886e-05,1.3228095667727757e-06,-3.23602916978416e-05,2.3384671749226982e-05,-1.717064151307568e-05,1.610091840120731e-05,1.696416802587919e-07
-1.3282578947837465e-05,8.455083388980711e-06,-7.214355377982429e-06,-2.4244716314569814e-06,-2.2210454517335165e-05,2.5506005385977915e-05,-6.567592618011986e-05,8.072763557720464e-05,6.533546098808074e-06,-3.1784610655449796e-05,3.886775084538385e-05,-1.641066728552687e-05,1.6064059309428558e-06,-4.206572270959441e-06,-2.1553934857365675e-05,2.6140478439629078e-05,-1.176837554339727e-05,1.1444089750511921e-05,-2.7490457341627916e-06
-1.5272689779521897e-08,4.015460490336409e-06,1.3191004654800054e-05,8.913883931427335e-06,-9.063644256457337e-06,-1.183107087854296e-06,-2.294442310812883e-05,1.1097290553152561e-05,-5.630139412460267e-06,-2.5172494133585133e-05,-1.1947131497436203e-05,2.8933645808137953e-06,4.16907147382517e-06,2.2337272866934654e-06,-2.1923369786236435e-07,1.0984264008584432e-05,6.349705245156656e-06,1.0613588074193103e-05,1.7140835097961826e-06
2.75691871820527e-06,5.840361609443789e-06,-7.001705853326712e-06,-1.0368565881435643e-05,1.412683559465222e-06,1.7576282516529318e-05,-2.588396455394104e-05,2.297270839335397e-05,1.2083902902304544e-05,-1.3343980754143558e-05,4.99538509757258e-06,-3.784194518630102e-06,-3.810273199178482e-06,-3.465128543211904e-06,-3.819786797976121e-06,5.997224434395321e-06,-2.8962226679141168e-06,8.249797076587129e-07,-8.66272102939547e-08
-4.569999418890802e-06,5.87299837206956e-06,2.3159600459621288e-06,3.1334256789250503e-07,-1.2352084922895301e-05,1.1102576536359265e-05,-3.351432314957492e-05,3.7435314879985526e-05,-3.2417215152236167e-06,-2.5630457457737066e-05,-1.640546543058008e-08,-5.078731319940744e-07,3.2893212846829556e-06,-2.4543830932088895e-06,-4.277944753994234e-06,1.9928877918573562e-05,1.467091806262033e-06,6.852927981526591e-06,-2.013221433116996e-06
-3.5743064970006344e-06,-3.2891430095105534e-06,3.6991023080190644e-06,5.622087542178633e-06,-5.884985625925765e-06,-2.6676868714048396e-06,-5.806110493722372e-06,9.160879017144907e-06,-5.575731165663456e-06,-6.929771188879386e-06,-3.933246262022294e-07,-1.9485667053231737e-06,3.298521505712415e-06,-3.2745300586611847e-06,2.6428371029396658e-06,8.216577498387778e-06,2.7795020400844805e-06,8.215062052840949e-06,-4.29041244842665e-06
-1.3675653860900638e-05,2.7074643639934948e-05,-1.8263368474435993e-05,-1.0878922694246285e-05,-2.7638048777589574e-05,5.918622628087178e-05,-0.0001312045642407611,0.00012754153249261435,1.6483843410242116e-05,-5.592204070126172e-05,6.399632502507302e-05,-1.2078987310815137e-05,1.8419382286083419e-06,-3.048548023798503e-06,-4.572335251395998e-05,3.9217668017954566e-05,-2.484338892827509e-05,6.843619303253945e-06,1.091088506655069e-06
-6.022637080604909e-06,2.9425529248783278e-06,-1.6762479845056077e-05,-1.6513893569936045e-05,-4.181219992460683e-06,2.1716763512813486e-05,-3.768463466258254e-05,5.805294858873822e-05,1.5312339883166715e-05,-2.008919182117097e-06,4.6596543597843265e-05,-1.2505192671596888e-05,-8.930102922022343e-06,-9.965178378479322e-06,-1.48963868014107e-05,8.617191269877367e-06,-1.1030792393285083e-05,-5.473908458952792e-06,-7.262990720846574e-06
-8.05115149660196e-06,8.93917754751783e-06,-3.3613368941587396e-06,1.7742113413987681e-06,-1.6137847751451773e-05,1.9906570287275827e-05,-4.792133449882385e-05,5.95030596741708e-05,1.859785697888583e-06,-3.322833981656004e-05,1.613599215488648e-05,-4.607610591733646e-06,2.2647464277270046e-06,-1.3504590015145368e-06,-1.7180932786686753e-05,1.8864100013615825e-05,-7.549582960564294e-06,1.137705930887023e-05,-1.2361048220554949e-06
-6.4806176567344664e-06,3.933528205379844e-06,-1.9913873074983712e-06,-2.4387391022173688e-06,-4.422515303303953e-06,1.3233515346655622e-05,-2.005843271035701e-05,3.029490471817553e-05,4.949043272972631e-06,-1.0878004104597494e-05,1.7551688642925e-05,-6.462808840979051e-06,-4.732361730930279e-06,-4.240713337821944e-06,-1.1356339200574439e-05,7.199270839919336e-06,-6.475046120613115e-06,6.384620519384043e-06,-4.009601809684682e-06
-1.1329316293995362e-06,5.341468295227969e-06,3.515118805808015e-06,2.1219043446762953e-06,-6.634292731177993e-06,4.144884769630153e-06,-3.274090158811305e-05,2.602789936645422e-05,3.0468509066849947e-06,-3.0331097150337882e-05,4.60691808257252e-06,8.618699212092906e-07,5.654372813523878e-06,3.4085771858372027e-06,-7.76665001467336e-06,1.1079815521952696e-05,-1.2020309441140853e-06,6.4939727053570095e-06,3.5042529589190963e-06
-9.203438366967021e-07,4.04856427849154e-06,-4.784104476129869e-06,-6.45106388219574e-06,-2.955119271064177e-06,6.425288518130401e-06,-1.382192385790404e-05,2.737548857112415e-05,2.031568385518767e-06,-1.152897084466531e-05,1.283495953430247e-05,-1.2499704098445363e-06,-3.864173692136319e-06,-2.9116035875631496e-06,-1.9705307749973144e-06,3.7770754488519742e-06,-4.192198133523561e-06,4.025823976405718e-07,-2.245525593025377e-06
-1.3197213320381707e-05,1.3617946024169214e-06,-1.0949296438411693e-05,-2.464525437062548e-06,-1.2578235612181743e-05,2.2818706383986864e-05,-3.8447957194875926e-05,4.870793600275647e-05,2.240952085230674e-06,6.513340849778615e-06,5.062584205006715e-05,-9.514502380625345e-06,-1.1290435963928758e-06,-6.403297447832301e-08,-2.7637675884761848e-05,5.864174568159797e-06,-1.626071730242984e-05,-2.4778551050985698e-06,-3.4116910683223978e-06
-1.7619227946852334e-05,1.3619555829791352e-06,-7.146129973989446e-06,7.123926479835063e-07,-1.886208633550268e-05,1.7957336240215227e-05,-2.4207047317759134e-05,5.7987228501588106e-05,-6.846252290415578e-06,-1.226270615006797e-05,3.904454024450388e-05,-1.720140062388964e-05,-2.8166850825073197e-06,-1.2831878393626539e-05,-1.2053223144903313e-05,2.258251788589405e-05,-8.388792593905237e-06,1.2360896107566077e-05,-1.1771438494179165e-05
-7.940789373606094e-06,9.381025620314176e-06,-1.3369839962251717e-05,-6.097177447372815e-06,-9.07129049210198e-06,2.592655164335156e-05,-4.934060598316137e-05,5.4318014008458704e-05,8.824066185297852e-06,-1.8600105249788612e-05,2.8397201731422683e-05,-6.233252861420624e-06,-1.6708327166270465e-08,-6.135874173196498e-06,-1.6061810583778424e-05,1.6926374428294366e-05,-1.2123026408517035e-05,2.393027216385235e-06,-1.1757833817682695e-06
-3.711784302140586e-08,3.5620899438981724e-06,-7.3004239311558194e-06,-2.3753082132316194e-06,-3.347035203660198e-06,1.375992906105239e-05,-1.8890626961365342e-05,1.4421161722566467e-05,5.550268724618945e-06,-4.867615643888712e-09,1.2072596064172103e-05,-3.372770152054727e-08,1.5171713130257558e-06,1.239301582245389e-06,-9.880208381218836e-06,6.122018021414988e-07,-8.130319884003256e-06,-2.6828565751202404e-06,-5.222591425990686e-08
-4.364606184026343e-06,8.02892145657097e-06,5.764820343756583e-06,1.2574642823892646e-05,-1.952905222424306e-05,1.3068503903923556e-05,-5.2295986279204953e-05,5.972954613753245e-05,-4.876168077316834e-06,-5.451664355859975e-05,-7.4776369274331955e-06,4.674169304053066e-06,4.974115654476918e-06,5.273953320283908e-06,-1.0525073093958781e-05,2.3127127974476025e-05,-2.4221178023253742e-06,1.45460088560867e-05,4.245480567988125e-06
-3.069797685384401e-06,5.106928028908442e-06,-2.4597111405455507e-06,-7.83744781074347e-07,-3.793092673731735e-06,7.0916928507358534e-06,-1.3614813838103146e-05,1.7920599930221215e-05,-1.482512743677944e-07,-8.05167292128317e-06,7.534585165558383e-06,-2.4372229745495133e-06,1.4778079275856726e-06,3.1732670322526246e-06,-6.063949058443541e-06,5.480892014020355e-06,-8.105767165034194e-06,-1.1108131729997694e-06,1.8530638499214547e-06
-1.0247046020595008e-06,5.5847956446086755e-06,-2.5412348350073444e-06,-1.5440400602528825e-07,-2.5642239052103832e-06,6.487662517429271e-06,-1.1208891578462499e-05,8.773819899943192e-06,2.769177513073373e-06,-8.25578081276035e-06,3.7249792512739077e-06,-5.988326847727876e-07,2.4648825274198316e-06,2.450021383992862e-06,-8.349547897523735e-06,5.301349958131141e-06,-7.510212526540272e-06,2.2914271085028304e-06,2.3597153813170735e-06
-5.054949951954768e-06,1.0989996553689707e-05,-8.024285762076033e-06,6.079152626625728e-06,-2.397863738679007e-06,1.058671568898717e-05,-1.8384953364147805e-05,8.871405952959321e-06,7.120061582099879e-06,-2.684901119209826e-06,3.832299626083113e-06,-1.1717076631612144e-05,9.742290785652585e-06,4.430892659001984e-06,-2.387520771662821e-05,1.1936653436350753e-05,-2.2225674911169335e-05,1.504706278865342e-05,5.72837598156184e-06
-2.7943686973230797e-06,1.0759171345853247e-05,-1.3226353985373862e-06,5.130748377268901e-06,-1.0818877854035236e-05,1.9416561372054275e-05,-5.3451087296707556e-05,5.642825999530032e-05,6.731302164553199e-06,-4.919181083096191e-05,-1.7293314158450812e-07,-3.750844825844979e-06,4.396767849357275e-06,3.525803776938119e-06,-1.3850707546225749e-05,2.0393971226440044e-05,-7.562045340137047e-06,1.1017385304512572e-05,5.115343483907964e-06
-2.532983671699185e-05,1.6416626294812886e-05,-5.127616987010697e-06,7.94191282693646e-06,-4.239897316438146e-05,4.91730279463809e-05,-0.0001393778875353746,0.0001531703892396763,-7.741803074168274e-07,-5.4942452607065206e-05,7.047808139759582e-05,-1.8391360299574444e-05,4.539313977147685e-06,-7.664881195523776e-06,-4.968918256054167e-05,4.8774863898870535e-05,-2.387877702858532e-05,2.4056826305240975e-05,-6.9758979179823655e-06
-1.558409076096723e-05,1.858862287917873e-05,-2.708135525608668e-06,2.313572622369975e-08,-2.9958733648527414e-05,3.604179801186547e-05,-0.00010892170030274428,0.00010012293569161557,6.323862521639967e-06,-4.5818567741662264e-05,4.352948417363223e-05,-1.0749400445320134e-05,6.797250534873456e-06,-1.6439807950519025e-06,-3.609297527873423e-05,3.346235826029442e-05,-1.3867946108803153e-05,1.9755530047405045e-05,7.005507995927474e-07
-2.0989296899642795e-05,2.7182063604413997e-05,-9.731719956107554e-06,1.3352314454095904e-06,-4.236961103742942e-05,5.114750638313126e-05,-0.00014590900173061527,0.00013861990009900182,1.0078175478156481e-05,-6.0565090734598925e-05,6.86418770783348e-05,-1.4221354817323117e-05,9.947511216523708e-06,3.443673449510243e-06,-5.5762671763659455e-05,4.0292494304594584e-05,-2.5960580387618393e-05,2.1068877913421602e-05,3.7520153455261607e-06
-1.99080704987864e-05,1.9524150957295205e-05,-4.854719058755563e-06,7.763275107208756e-06,-3.614668457885273e-05,4.503005766309798e-05,-0.00012209385022288188,0.0001040839015331585,-1.0360440683143679e-07,-4.757452802550688e-05,6.0941400079173036e-05,-9.692582807474537e-06,1.2107182328691124e-05,5.2762175357656815e-06,-4.934997559757903e-05,3.371480943314964e-05,-1.9904614418919664e-05,1.8116511455446016e-05,3.0711285035067704e-06
-1.4410627954930533e-05,1.9744812561839353e-05,8.428187356912531e-07,8.597654442610292e-06,-3.418341020733351e-05,3.191800533386413e-05,-0.00012013381638098508,0.00010657763050403446,2.1455898604472168e-06,-6.226781079021748e-05,3.668101453513373e-05,-3.0573010008083656e-06,9.655186204327038e-06,5.04889771946182e-06,-3.371451884959242e-05,3.571344132069498e-05,-1.2155770036770264e-05,1.946855036294437e-05,3.5296534690587578e-06
-2.1714778085879516e-05,1.9591756426962093e-05,-9.084185876417905e-06,5.12484052705986e-06,-3.767987436731346e-05,4.201386036584154e-05,-0.00012528292791103013,0.00011900181561941281,6.583401471971229e-06,-4.789971080754185e-05,6.184969788591843e-05,-1.3270734143588925e-05,1.05742146843113e-05,4.2249166654073633e-07,-5.042362317908555e-05,3.9742472836223897e-05,-2.340045102755539e-05,2.326195317436941e-05,5.897802566323662e-07
-1.071699938393067e-05,1.4885177961332374e-05,-1.4496216863335576e-05,-8.614466594281112e-06,-2.158747611247236e-05,3.630438732216135e-05,-8.529972183168866e-05,8.991097274702042e-05,8.06132048580821e-06,-3.434010977798607e-05,4.556489335527658e-05,-1.0681948765522975e-05,3.177587586833397e-06,-1.9746312318602577e-07,-3.052863758057356e-05,2.6830457500182092e-05,-1.8262524974943517e-05,9.071962665530009e-06,9.188097465084866e-07
-2.4816970153551665e-05,1.0775964597087295e-05,-1.7416914033674402e-05,-8.914465411180572e-06,-3.433093525018194e-05,5.1778149099845905e-05,-0.00012957410945091397,0.0001367410550301429,1.4371009001479251e-05,-1.4276128240453545e-05,0.00010403051055618562,-1.8329001704842085e-05,-6.7512644363887375e-06,-7.710517138548312e-06,-4.9592559662414715e-05,2.2059497496229596e-05,-2.5345535505039152e-05,4.821601578441914e-06,-7.5193873954049195e-06
-2.0828920241910964e-05,1.0320757382942247e-05,-2.1292559722496662e-05,-1.0643560131029517e-05,-2.5871050866044243e-05,4.305121547076851e-05,-8.365968460566364e-05,0.00010404256317997351,8.686898489429495e-06,-1.3684645637113135e-05,8.868975965015125e-05,-1.5692380202381173e-05,-2.315473238923005e-06,-7.183772918750719e-06,-4.012384215457132e-05,2.2902323507878464e-05,-2.689563643798465e-05,-3.8024195418984164e-06,-5.699572511730366e-06
-2.3187130864243954e-06,6.647235977652599e-06,-1.5006276044005062e-06,1.9483654796204064e-06,-4.653054475056706e-06,1.3824557754560374e-05,-3.202437437721528e-05,2.3087774025043473e-05,6.996276169957127e-06,-1.489744863647502e-05,5.563346348935738e-06,2.866390786948614e-07,3.075912900385447e-06,8.483329452246835e-07,-1.1834526958409697e-05,4.197359885438345e-06,-4.8472302296431735e-06,2.263437295368931e-06,3.336738700454589e-06
-9.457432952331146e-06,3.064566044486128e-06,-4.798805093741976e-06,-2.1863918391318293e-06,-1.0771452366498124e-05,1.2544520359369926e-05,-2.4557701181038283e-05,3.4247881558258086e-05,2.4013506845221855e-06,9.864743333309889e-08,2.727075661823619e-05,-6.821476745244581e-06,-8.576719210395822e-07,-4.435830412319319e-06,-1.1356654454175441e-05,3.7486024666577578e-06,-4.735434686153894e-06,1.1186182291567093e-07,-3.509333282636362e-06
