Cz,F7,F8,Fp1,Fp2,O1,O2,P7,P8,T7,T8,Cpz
4.492100174502411e-06,-8.578199776820838e-05,7.498615741496906e-05,-3.9459200706915e-05,1.2208811199343472e-05,5.197634664000361e-06,1.819121553126024e-05,-6.474666179201449e-06,2.4736060368013568e-05,-2.7900465283892117e-05,3.131975518044783e-05,-1.151540857335931e-05
3.916622290489613e-06,-8.857902889758407e-05,7.895247154010576e-05,-1.4143995201720827e-05,3.661867594928481e-05,9.164491757474025e-06,1.2800072909158189e-05,-8.029790933505865e-06,9.195869552058866e-06,-4.117318212593091e-05,1.966421041288413e-05,-1.838642015172809e-05
1.2749243524012854e-05,-8.374618846573867e-05,9.242287706001662e-05,-1.1008589353878051e-05,4.552841255645035e-05,-1.2625951967493165e-05,1.147593167161176e-06,-2.3837972548790276e-05,4.90079094106477e-06,-3.980420206062263e-05,2.6493855330045335e-05,-1.2219867812746088e-05
-5.6516113318139105e-06,-6.6322481870884076e-06,1.1991414339718176e-05,1.4752604329260066e-06,7.124563126126304e-06,-1.93520880742426e-06,-8.060453069447249e-07,-2.062003829905734e-06,2.9349552619351016e-06,-5.272180430893059e-06,4.8137576413864736e-06,-5.980652062476111e-06
1.552768389956327e-05,-0.00010386222504621401,0.00011888469680343405,-4.010801967524458e-05,3.2627171094645746e-05,-6.611378921661526e-06,3.0229354024413624e-06,-1.3345008483156562e-05,5.7966672102338634e-06,-3.529970308591146e-05,3.2191649779633735e-05,-8.82446693140082e-06
-8.800101113592973e-06,-4.63580662426466e-05,5.214002476350288e-05,-1.8487677834855276e-05,1.3963385754323099e-05,-4.263435656071124e-06,6.468711035267916e-06,-9.050760581885697e-06,1.5868266473262338e-05,-6.319280146271922e-06,1.7424247857888986e-05,-1.2585313925228547e-05
-1.0600975883789943e-05,-2.1164365080039715e-05,2.479536306054797e-05,-9.035532457346562e-06,5.025193331675837e-06,8.808688107819762e-06,5.834790727021755e-06,1.1152417300763773e-06,6.69766213512446e-06,-8.581777819927083e-06,9.114620752370683e-06,-1.200890937980148e-05
-7.887824267527321e-06,-3.6868163078906946e-05,3.821971949946601e-05,-1.4324753522032552e-05,5.161452975244174e-06,-1.936524654411187e-06,5.23453581990907e-06,-7.753574607249902e-06,2.079693877021782e-05,-1.5100000837264815e-05,2.913410025939811e-05,-1.4675905731564853e-05
4.979181085218443e-06,-0.00013139160728314891,0.00015011869618319906,-2.9424596164062677e-05,6.761406621080823e-05,-3.783432475756854e-06,-6.383629624906462e-07,-1.8848638092094916e-05,6.349902378133265e-06,-5.245828833722044e-05,3.6992598325014114e-05,-2.9509522846637992e-05
2.3656421035411768e-05,-7.752129022264853e-05,6.063649743737187e-05,-6.474255496868864e-05,-1.2105550013075117e-05,7.928537797852186e-06,2.011054721151595e-05,4.680103863563545e-06,1.7706912331050262e-05,-7.8577967315141e-06,2.5023928628797876e-05,2.4842447601258755e-06
-9.05690990293806e-06,-5.3786700846103486e-05,5.703938495571492e-05,-1.2458388937375275e-05,2.6835100925381994e-05,5.447954663395649e-06,-1.0634357749950141e-07,9.189354841510067e-07,1.1516749509610236e-07,-1.4697186998091638e-05,1.6899373392220696e-05,-1.715038843030925e-05
-1.1004567568306811e-06,-5.860794772161171e-05,5.987622034808737e-05,-5.5418845477106515e-06,3.833503069472499e-05,-3.957147285404972e-06,5.336962203728035e-06,-1.0339497293898603e-05,1.458591486880323e-05,-3.101491665802314e-05,1.6160678569576703e-05,-2.3732956265121175e-05
2.7254245651420206e-05,-6.626977301493753e-05,8.71632346388651e-05,-1.105304750126379e-05,4.447391074791085e-05,-2.6120671719809252e-05,-6.455634093072149e-06,-4.277215788306421e-05,2.201279585278826e-06,-3.273154470662121e-05,2.2851777089272218e-05,1.458380666008452e-06
1.6434006283816416e-05,-8.307595089718234e-05,7.50881117710378e-05,-1.0750699857453583e-05,5.003355909138918e-05,-5.843407961947378e-06,-3.773681555685471e-06,-1.0676614692783915e-05,3.289420419605449e-06,-3.4159662391175516e-05,1.2770157809427474e-05,-9.335236882179743e-06
-8.058570472257998e-06,-8.861547030392103e-05,0.00010172345355385914,-1.407953777743387e-05,5.2824141675955616e-05,-4.779971277457662e-06,3.0446964274233324e-06,-1.1740679838112555e-05,9.476161864085952e-06,-3.521553207974648e-05,2.4271185168345255e-05,-2.8849876798631158e-05
6.5179785906366305e-06,-2.9021348382229917e-05,2.2478056052932516e-05,-1.9408493471928523e-05,-2.946344466181472e-06,-3.264394763391465e-07,6.571523044840433e-06,-2.985831997648347e-06,1.0495228934814804e-05,-3.3087844713008963e-06,1.258565907846787e-05,-6.512036634376273e-07
-1.0165204912482295e-05,-4.0854192775441334e-05,4.336868823884288e-05,-3.141307172427332e-05,-6.264928515520296e-06,6.894662746503855e-06,1.7706596736388747e-05,2.948234850919107e-06,2.0244566265148478e-05,-9.154558938462287e-06,2.2867795905767707e-05,-1.6178587429749314e-05
6.595086119887128e-06,-7.518837992392946e-05,8.001195692486363e-05,-4.1287222074970487e-05,1.727091307657247e-05,1.3797307474305853e-07,1.536783270239539e-05,-1.6901350591069786e-05,2.6741990041045938e-05,-2.4609829893051938e-05,3.1950285119819455e-05,-2.008925571317377e-05
2.0398619653860806e-05,-2.9302810617082287e-05,3.531324000505265e-05,-1.3320669040695066e-05,1.7463885455981654e-05,-2.762944859568961e-06,-2.2535598418471636e-06,-6.997753359883063e-06,8.531478670192882e-07,-2.237672151750303e-05,1.0978546583828575e-05,-7.992980499693658e-06
3.1581962502968963e-06,-1.7437257156416308e-05,3.253758313803701e-05,-1.0685232155083213e-05,8.936850008467445e-06,-7.767228453303687e-06,-4.851722678722581e-06,-1.0396102993581735e-05,1.1418893109294004e-05,-1.4442809060710715e-05,2.1089736037538387e-05,-1.1560905932128662e-05
1.2200381661386928e-05,-5.00850728712976e-05,5.469970074045705e-05,-2.3679602804804745e-05,2.00445256268722e-05,-1.0678224327875796e-05,-5.77823357161833e-07,-1.3714733540837187e-05,9.823125083130435e-06,-1.3938127722212812e-05,1.9465775721982936e-05,-3.5599217227400004e-06
2.807764553836023e-05,-0.00011271742096141679,0.00010267973084410187,-4.942140071761969e-05,3.1319994832301745e-05,-1.7922184269991703e-07,1.8679667846299708e-05,-2.030656060014735e-05,2.453838624205673e-05,-4.842713042307878e-05,3.898093257248547e-05,-1.3224620488472283e-05
1.1950857697229367e-05,-5.585536564467475e-05,7.355460797953128e-05,-2.5648135306255426e-05,2.5621483928262023e-05,-1.6751618204580154e-05,-8.016335357297066e-06,-1.4005567834374233e-05,1.0305526302545331e-05,-1.9024359062314034e-05,2.2104414711066056e-05,-4.235504889038566e-06
1.1601450751186348e-05,-7.174034954005037e-05,6.705746363877552e-05,-2.5610002921894193e-05,2.228555422334466e-05,9.413907946509426e-07,5.452238610814675e-06,-8.194574093067786e-06,1.1929576629654548e-05,-2.8048691802950998e-05,2.2198551732799388e-05,-7.872613721815469e-06
5.892117087569204e-06,-4.405891127134964e-05,6.976092390686972e-05,-1.3144089962224825e-05,2.5307111968686513e-05,-1.2892196195934957e-05,-1.0399613984191092e-05,-1.0473297038515739e-05,-1.706092120912217e-07,-1.398438280375558e-05,1.218857869389467e-05,-8.025632496355684e-06
5.6425534467052785e-06,-0.00015791887381055858,0.0001716638889774913,-5.744236932514468e-05,6.592801764782052e-05,-1.1003983217960922e-05,1.3728919487476787e-05,-2.4127301912812982e-05,3.114406808890635e-05,-5.81813410462928e-05,5.496947915162309e-05,-3.440305408730637e-05
3.0799046726315282e-06,-1.962083115358837e-05,4.6131086492096074e-05,-5.738438630942255e-06,1.673364408816269e-05,-1.6031002360250568e-05,-1.180651406684774e-05,-1.5811916910024593e-05,8.713918759895023e-07,-8.321631867147516e-06,1.8691702280193567e-05,-8.177395102393348e-06
2.26181705329509e-05,-5.6772703828755766e-05,5.23278158652829e-05,-2.8090323212381918e-05,1.6483728813909693e-05,-3.1694185054220725e-06,-3.7570862332358956e-06,-1.3936004393144685e-05,1.4174800526234321e-05,-2.4911440050345846e-05,2.2593073992993595e-05,2.4393868898187065e-06
3.5968951124232262e-06,-2.0638585283450084e-05,2.3520056402048795e-05,-3.411950117993001e-06,1.3924624227001914e-05,-6.840510309302772e-06,-5.065648906565912e-06,-9.926992277087265e-06,5.1285250037835795e-06,-1.0112251601412936e-05,1.042192343447823e-05,-5.960863518339465e-07
9.641222959544393e-06,-4.838662414385908e-05,3.506646430651017e-05,-3.311541786388261e-05,-4.833758339373162e-06,6.69212067805347e-06,9.098395366891054e-06,2.633885287650628e-06,1.7291364429183886e-05,-1.2875261745648459e-05,2.3315530796708117e-05,-4.52791755378712e-06
-6.444686334816652e-06,-7.135381747502834e-05,0.00011345031816745177,-3.796625605900772e-06,7.015083065198269e-05,-2.016018333961256e-05,-1.2150470865890384e-05,-2.3619632884219754e-05,7.316089067899156e-07,-3.692997051985003e-05,1.699974427538109e-05,-2.6877115487877745e-05
5.5073669500416145e-06,-5.343323095985397e-05,4.957424971507862e-05,-1.3264198059914634e-05,2.4242249310191255e-05,-2.7580199457588606e-06,5.9176118156756274e-06,-7.1995455073192716e-06,6.5092372096842155e-06,-1.9817047814285615e-05,1.3048500477452762e-05,-8.327170689881314e-06
-4.98260922654481e-06,-1.5711315427324735e-05,3.974298215325689e-05,1.696784693194786e-06,2.7763925572799053e-05,-1.429066423952463e-05,-1.1258498034294462e-05,-1.1059596317863907e-05,1.4605337810280616e-06,-9.100457646127325e-06,7.791506050125463e-06,-1.2052592524014472e-05
1.3580806808022317e-06,-0.00010439995276101399,0.00011298179379082285,-5.037694609200116e-05,1.4380731954588555e-05,6.1675264078076e-06,9.1583106041071e-06,-4.237764755998796e-06,2.6227089620078914e-05,-2.8677819159383944e-05,3.9438873500330374e-05,-2.2019923108018702e-05
8.915936120956758e-06,-3.308456507511437e-05,2.8944054065505043e-05,-2.03774858533734e-05,5.490814146469347e-06,2.5394190856786736e-06,3.6177248148305807e-06,-1.708384388621198e-06,3.843231752398424e-06,-6.593127181986347e-06,7.000430741754826e-06,1.4119486877461895e-06
2.4330083761014976e-06,-2.9748706992904772e-05,3.8614723962382413e-05,-1.908949116113945e-05,3.3560172596480697e-06,6.375024895532988e-06,4.479116910260927e-06,-1.330486566075706e-05,7.358954007941065e-06,-1.3921289792051539e-05,1.500633652540273e-05,-1.5588248061249033e-06
1.0451849220771692e-05,-2.9901048947067466e-05,3.8318103179335594e-05,6.277191914705327e-06,3.232471044611884e-05,-7.0968523004921735e-06,-6.537144656704186e-07,-1.0997576282534283e-05,-8.099759838842147e-06,-2.1615854734591267e-05,-4.154087946517393e-06,-4.852957317780238e-06
1.7613572481423034e-05,-6.835237854829757e-05,6.838105059614463e-05,5.9405938372947276e-06,5.7229337883768494e-05,-8.847779753295981e-06,-7.76767592469696e-07,-2.1419079530460294e-05,-8.063826044235611e-06,-3.9145418668340426e-05,6.778664555895375e-06,-9.33796491153771e-06
2.1637260942952707e-06,-1.757231802912429e-05,3.0188050004653633e-05,4.1719613363966346e-07,1.5161665942287073e-05,-9.687843885330949e-06,4.131024979869835e-06,-1.9149817489960697e-05,1.9216603959648637e-05,-3.109690715064062e-05,1.9540247194527183e-05,-1.3311623661138583e-05
3.506311259116046e-07,-4.0166951293940656e-05,5.284943517835927e-05,1.4687448128825054e-06,3.232692415622296e-05,-4.816368345927913e-06,-4.29694409831427e-06,-1.2114956462028204e-05,3.1378694984596223e-06,-2.415370454400545e-05,9.133516869042069e-06,-1.37181928607788e-05
-9.71289762219385e-06,-2.912329728133045e-05,4.097254713997245e-05,1.302902592215105e-05,3.7766680179629475e-05,-6.423216518669506e-06,-2.2488817990051757e-06,-1.1692233783833217e-05,-3.668103545351187e-07,-2.0894328372378368e-05,5.620982165055466e-06,-1.692757086857455e-05
-7.5155330705456436e-06,-2.7087245598522713e-05,5.4934356739977375e-05,1.951480226125568e-05,4.959756552125327e-05,-1.8172887848777464e-05,-1.863906527432846e-05,-1.6011458342291007e-05,-7.863445262046298e-06,-1.7567125723871868e-05,4.345383331383346e-06,-1.5535343209194252e-05
-8.360516972061305e-06,-2.3842028213039157e-05,3.21690217788273e-05,-1.4174732427818526e-06,1.6720062149033765e-05,1.5547899749890348e-06,2.580057753220899e-06,-2.2571205136046046e-06,3.0825344765617047e-07,-1.1551398074516328e-05,7.833359859432676e-06,-1.373700888507301e-05
-7.518051234001177e-06,-3.722681685758289e-05,4.092147446499439e-05,-5.520474473996728e-06,2.2833337880001636e-05,-1.9444159988779575e-06,4.7928126036822505e-06,-3.279013981227763e-06,5.878920319446479e-06,-1.301190241065342e-05,8.792720109340735e-06,-1.4718593774887268e-05
-1.5366889556389651e-06,-3.3723645174177364e-05,4.310367694415618e-05,-1.1712277228070889e-06,3.573942922230344e-05,-8.881217127054697e-06,-1.5011339655757183e-06,-1.2709206657746108e-05,2.985297840041312e-06,-2.1147576262592338e-05,8.854801535562729e-06,-1.0012508482759586e-05
6.194808065629331e-06,-5.319896081346087e-05,7.127971639420139e-05,1.4399258247976832e-05,5.794842763862107e-05,-1.519449051556876e-05,-1.163775846180215e-05,-2.125900937244296e-05,-2.0064935597474687e-06,-3.786762954405276e-05,6.089233352213341e-06,-1.474709938520391e-05
7.590850145788863e-06,-8.598346676080837e-05,9.403757667314494e-05,-2.5745272978383582e-05,4.7742451252386076e-05,-6.690469717796077e-06,6.554223318744334e-06,-1.1037166132155107e-05,1.0610449862724636e-05,-3.9626382204005495e-05,1.556309462102945e-05,-1.3015885087952483e-05
-1.164789227914298e-05,-4.818484103452647e-05,7.91101342656475e-05,7.47312742532813e-06,5.039081474933482e-05,-1.5510235243709758e-05,-1.7176296296383953e-05,-1.2069125887137488e-05,-1.949015768332174e-06,-2.162209489142697e-05,1.4797813378208957e-05,-2.3612390577909537e-05
7.023695388852502e-06,-6.580331864824984e-05,4.5644336751138326e-05,-6.0000099438184407e-05,-7.596793693664949e-06,1.627454298613884e-05,2.4681144623173168e-05,8.235870524231359e-06,2.1966696294839494e-05,-1.5284988762687135e-05,2.303520204804954e-05,1.8237124095321633e-06
-4.084498641532264e-06,-2.5582009129720973e-05,3.750997802853817e-05,-1.5589193935738876e-06,2.0304451027186587e-05,-4.3979736119581503e-07,5.749939191446174e-07,-9.852066568782902e-06,4.897433427686337e-07,-1.5511359606534825e-05,5.899914640394854e-06,-7.750430540909292e-06
7.4898614457197255e-06,-2.4563430997659452e-05,1.9940534912166186e-05,-4.3257496145088226e-06,1.0186625615915545e-05,-1.8176997400587425e-06,2.5060926418518648e-06,-1.102867486224568e-05,9.136165772360982e-06,-1.2738957593683153e-05,1.1086011284078268e-05,-5.87077693126048e-06
