,freqs,gc_ab,gc_ba,gc_tr_ab,gc_tr_ba
0,8.0,0.027008887391632787,0.0314589613168739,0.027945728779482287,0.0331018334475216
1,9.0,0.030812223819775816,0.026220948021582324,0.02939932702990296,0.0298428075761713
2,10.0,0.03494571704325869,0.025792978740705443,0.03362642595136336,0.02801297826429304
3,11.0,0.03805112767930398,0.023202229966292353,0.04004193204957388,0.023294736983178937
4,12.0,0.03063284059074083,0.023916958585161973,0.032263911910677824,0.02344102714357984
5,13.0,0.022191046951350678,0.027868835999784843,0.023919689306113497,0.026364141448096755
6,14.0,0.0174637518226484,0.035045950194024525,0.0194022121096112,0.031153665207557812
7,15.0,0.014993638508683758,0.03499330420034553,0.01775442117362286,0.02911607355978377
8,16.0,0.013788521701546227,0.028541199492357172,0.01674163219920351,0.023484713992623682
9,17.0,0.013012844248634805,0.020805526244103312,0.015808161880058933,0.017492350745639994
10,18.0,0.012002756538717739,0.015089013782778493,0.014103925616948683,0.013235614687452433
11,19.0,0.010733612658674587,0.01212188663978902,0.012273887522899613,0.011054945642483617
12,20.0,0.009787325574751989,0.010420748589869059,0.010819082318978494,0.009860264539535831
13,21.0,0.009150961803722636,0.009465040842607134,0.009806317649711519,0.009093663802377933
14,22.0,0.008719980708591037,0.008638281899655025,0.009065225983306495,0.00837195936305117
15,23.0,0.008348302206650953,0.008084161215332427,0.008486832939851037,0.007893427524547858
16,24.0,0.007964477070678886,0.007571315614724144,0.007989435777183867,0.0074624592288613425
17,25.0,0.007587287674725173,0.007271127508824597,0.007542019199418115,0.00721388781340842
18,26.0,0.007160180382973061,0.0069156238951009205,0.0071219879686773985,0.006849103494174817
19,27.0,0.0067457917002990125,0.006681576636106797,0.0067632220180707265,0.006541838589504143
20,28.0,0.006362665586823714,0.006338541275006504,0.006407924341895729,0.006147599407913002
21,29.0,0.006069933388138737,0.006120131300204202,0.00612390434302179,0.005886521938330891
22,30.0,0.005828281446350933,0.00579715566677688,0.005837606069418761,0.005611916205748143
23,31.0,0.005648441111127005,0.005595821384033752,0.005624952753274627,0.0054699471063555175
24,32.0,0.005480805166517575,0.005293297492311242,0.005397744561410134,0.005276908142394204
25,33.0,0.005327779258306966,0.005102093239535304,0.0052262589361094895,0.0051530350332926154
26,34.0,0.005161357807577121,0.0048286829983605435,0.005036421680396808,0.004944080249397313
27,35.0,0.005006909261264953,0.00464817898952933,0.004881913134425227,0.004787280472892203
28,36.0,0.004843273864919926,0.004403827893662111,0.004713730521539813,0.004556386385575677
29,37.0,0.0046940871487562985,0.004245287348811983,0.004573436256771639,0.004389786115899419
30,38.0,0.004537306193599591,0.0040350811339692275,0.004428977706153494,0.004168184132568718
31,39.0,0.004392089644714456,0.003903815837119204,0.004307110047105222,0.004015212693156439
32,40.0,0.004249786406404997,0.003726973907934871,0.0041832459718636516,0.0038213911136886795
33,41.0,0.004113169371310195,0.003617352778350449,0.004068439426437235,0.0036879502676929335
34,42.0,0.004018557633403356,0.0034941983615943127,0.003984530579999002,0.0035504918089939714
35,43.0,0.003932725152405757,0.00343982919733232,0.0039153269815901835,0.0034711520079162214
36,44.0,0.0040213686705972244,0.00349070283302993,0.004010027758253325,0.0035127726058466775
37,45.0,0.0041598875788811124,0.003649955050795667,0.0041635726813265715,0.0036506297306136614
38,46.0,0.0054774791452402915,0.004882350956566036,0.005481954098139085,0.004903367292353685
39,47.0,0.006558833773074098,0.005900790408739306,0.006569288377675284,0.005927931173650595
