,freqs,gc_R2-R3->F7,gctr_R2-R3->F7,gc_F7->R2-R3,gctr_F7->R2-R3,gc_R2-R3->F8,gctr_R2-R3->F8,gc_F8->R2-R3,gctr_F8->R2-R3,gc_R2-R3->T7,gctr_R2-R3->T7,gc_T7->R2-R3,gctr_T7->R2-R3,gc_R2-R3->P7,gctr_R2-R3->P7,gc_P7->R2-R3,gctr_P7->R2-R3,gc_R2-R3->T8,gctr_R2-R3->T8,gc_T8->R2-R3,gctr_T8->R2-R3,gc_R2-R3->P8,gctr_R2-R3->P8,gc_P8->R2-R3,gctr_P8->R2-R3,gc_R2-R3->O1,gctr_R2-R3->O1,gc_O1->R2-R3,gctr_O1->R2-R3,gc_R2-R3->O2,gctr_R2-R3->O2,gc_O2->R2-R3,gctr_O2->R2-R3
0,8.0,0.0188962324134968,0.02537178573849875,0.02387452085623824,0.018130731153296418,0.02486367168815407,0.021765339819595775,0.022042409448935613,0.025968650209709326,0.022575561579299398,0.02607644281353738,0.025921843826565594,0.022751183564524644,0.027876456411319164,0.02407008983116698,0.02380091573373257,0.031013397739937002,0.029248216507947067,0.021931432603823502,0.021673015946147747,0.03678854989989313,0.03220317391828136,0.021876302475616314,0.02124623243369219,0.04229145224061571,0.03090338039356753,0.022876527297799914,0.02147354527966408,0.03488026841671141,0.029761995528616195,0.021672485912385936,0.020944378938026396,0.035998115702097586
1,9.0,0.019602638777096577,0.019950616178958658,0.023232112662478953,0.024024324774574318,0.02047858030469394,0.018522240466452348,0.021066466681426234,0.027778281807098733,0.021378122036269282,0.020596585760147442,0.025161576777681688,0.02775256255155835,0.024238714320955094,0.021788989834666702,0.02701684476552016,0.03229066071235657,0.024790709420585085,0.02051679106904658,0.02319928469431974,0.03586948307571057,0.026820000369066954,0.021697259054926008,0.0255549087435058,0.040216835475138574,0.024940988703786283,0.021664065015544416,0.026535908006169378,0.03347104364617964,0.02465419466139604,0.021920158198794885,0.026770559864615177,0.035519663746581775
2,10.0,0.02076038050404651,0.01787000108762316,0.02027218380979983,0.023390571870967946,0.018308956886672365,0.017074316429117067,0.02013376339897658,0.02159851650336763,0.02104601370651538,0.018567591926434205,0.021106152892443976,0.023395740166665496,0.020958812739678926,0.02033552181572632,0.023977690885119377,0.023837402567893407,0.020327387544214953,0.01968510606072534,0.022902936178289195,0.022994789926634413,0.020379381191573787,0.02048821689156364,0.024810020242639366,0.02414053434707761,0.01970862506107019,0.020043431533612432,0.02408207627065388,0.023453676465909835,0.019125830286338647,0.02012167460566106,0.024343207982483732,0.023514319417474647
3,11.0,0.01905231834640215,0.016666036886104643,0.01751005483405648,0.018258572009537427,0.018903529083207256,0.017973353467497816,0.01895139103046313,0.019122804884793215,0.018499086299685687,0.017181637083910944,0.017437087032552846,0.017380401441869933,0.01865933440255974,0.018506557259719243,0.01797965333140349,0.01788157870335161,0.017665385539950635,0.01952916506125823,0.01940914379105288,0.017933059435125635,0.01705496678720692,0.019168829784643203,0.019525199888747485,0.018138894859434464,0.01800081244570801,0.018843409290518195,0.018346481405425726,0.01805063419583904,0.016772525824359844,0.018104215757952246,0.01866405170850269,0.018100599455791774
4,12.0,0.019926572594979666,0.018738075610520512,0.016185066657046547,0.01631576490154582,0.02253788754022771,0.022105242372031507,0.018119545870888425,0.018639646765590386,0.017960910100286987,0.019484203921993133,0.016230751916395898,0.01494129284155856,0.01823284465254683,0.01931348468080187,0.015915181268034942,0.015008522595758442,0.01947673064840415,0.021830585281757527,0.017995999403077518,0.01689151795356478,0.017936958352505163,0.020002302512094193,0.017010018853044626,0.015829350921359755,0.01820009149270172,0.018961023197737105,0.015434535588800216,0.015379001082029003,0.017252656814430934,0.018497480135632467,0.015992045208286544,0.015115438095805196
5,13.0,0.01717695903451189,0.01712905419327249,0.0149732995940884,0.015054478126455982,0.020756625905174114,0.021643211043725193,0.018575505091710295,0.01893409006708586,0.015250721699262584,0.017455808988994966,0.014835952249602572,0.013498563708220975,0.015447710360502487,0.016900485849347887,0.014472907018469316,0.013694614727149397,0.018277769352402138,0.02077486125773278,0.01720168346874949,0.017194772133316143,0.016248456703542878,0.018235738738322443,0.015209801615592227,0.015124294478832113,0.015828479292989504,0.016489280141500307,0.013761993962781952,0.014181778238711576,0.015310205229338644,0.016855984417440795,0.014290977868084255,0.013894388640560989
6,14.0,0.016379414590793912,0.015455512687864183,0.01443810145966307,0.01635397314685755,0.017696606202744797,0.01872641620571825,0.01866223317483007,0.019818619631373564,0.01505885973977202,0.014989079103167166,0.01394439352047721,0.015219134289247085,0.014694334231170534,0.015126795018765866,0.014234214821373797,0.015559445032812747,0.01561913433344445,0.017510440628482695,0.01649085581504514,0.01785355359814163,0.014211847683570707,0.0154532045083423,0.014295755762069184,0.015811247112270818,0.014508254756552185,0.014696670918133689,0.013654015987935702,0.015796645751530936,0.014027328238770871,0.014486354825048004,0.013455685683514296,0.015046480470204602
7,15.0,0.01638395965273774,0.013619278302115512,0.014354135786232267,0.018538821438996458,0.018247917173482172,0.0160374313426403,0.018247474162006228,0.024137814450303052,0.015459306078129028,0.012868606208008072,0.01316768671783956,0.017553341506525263,0.01469618414115877,0.013356790514100703,0.013789024632034633,0.018107944152695017,0.015321506846589754,0.014982840762783153,0.015740046573747595,0.021130526117147982,0.013758602985950956,0.013272857368945297,0.013730627370763096,0.018084254668685767,0.01450720922485677,0.013172984211905457,0.013708171672570291,0.018239022167096303,0.013733178933019409,0.012653535898187308,0.01334819741470409,0.017254785901186554
8,16.0,0.016760282450560004,0.013461445780465488,0.015418141580948654,0.02035670745009461,0.02018123951308071,0.01493262272418332,0.017665728940297665,0.02895526942294324,0.01592589395755632,0.012773474641709163,0.01383445325183875,0.019257824536189416,0.015508012075310091,0.013375848396335287,0.01429466322377771,0.020000246347171638,0.01627215414849183,0.014294885824524576,0.015559221240579534,0.024649478166873625,0.014482612856762472,0.01306399965575845,0.01388719066831082,0.02032651260326674,0.015654422015039107,0.013669044564228197,0.014521895679612722,0.0202394101171197,0.01446485601416553,0.012830076736392202,0.013773392349239594,0.019083079675361603
9,17.0,0.016874000802332777,0.01321891804657209,0.01594779624421555,0.02183835540351901,0.022016085328541855,0.013891076346333986,0.017011908132306176,0.03364057989477488,0.016448490279036124,0.01234516951824836,0.01408828061992602,0.020866007346796406,0.01672277638511194,0.012386205223161147,0.013735838024716868,0.02179888700449882,0.01770079903740274,0.013806280806903215,0.015440795551039554,0.028611436848171648,0.01577717454284838,0.012799704897343491,0.013572362208532697,0.022660130633105183,0.01714138752742119,0.013123584808322618,0.014194054602802732,0.02194423853879107,0.015519929515132227,0.012451167859081536,0.013216631268923206,0.020346373951681592
