,freqs,gc_ab,gc_ba,gc_tr_ab,gc_tr_ba
0,8.0,0.019970473441130725,0.029583559714724265,0.024659801982131226,0.025838810190895484
1,9.0,0.02039849202894666,0.027392795143491112,0.02512203205503592,0.02384554134067686
2,10.0,0.02123149855189506,0.02798177385120425,0.026024198556604393,0.022812518304560284
3,11.0,0.020781532397822888,0.021912749568492915,0.024835077380266645,0.01899265134419497
4,12.0,0.02089919314828238,0.02100387142507991,0.024225832475098373,0.01846444050493026
5,13.0,0.01772369856722155,0.017902326549001656,0.01943060109365665,0.016447754592223068
6,14.0,0.015132813928606279,0.017896234734419272,0.017595412972589528,0.015160692978188959
7,15.0,0.01343009590716105,0.016638428588371834,0.0156705576227339,0.013876818592367954
8,16.0,0.012376026307026292,0.015492174672883394,0.014632165942264313,0.012743921621248709
9,17.0,0.011566334762083193,0.013271176532090251,0.012959720344805931,0.011702446684002825
10,18.0,0.011026856213019005,0.01171184279758926,0.011588333096792722,0.010940347033309518
11,19.0,0.010555259426777023,0.010330092919130935,0.01024154279569473,0.010346280507632102
12,20.0,0.009990780377355079,0.00966132873684663,0.009494419631383129,0.0099015480867623
13,21.0,0.009415401756018111,0.009238858700211374,0.008866604507402122,0.009579982143240136
14,22.0,0.008934699480175546,0.008986454110611103,0.008491655572912258,0.009211224619109516
15,23.0,0.008466275419600662,0.008721938997905332,0.008246401964258463,0.008696608126790647
16,24.0,0.00810986270699035,0.008381675413368046,0.008124674671261465,0.008072530375399147
17,25.0,0.00775692208166783,0.008058055450511234,0.00798995683651371,0.00756087958053617
18,26.0,0.007453150985408408,0.007656612079026496,0.0078001629783719635,0.007089126989486043
19,27.0,0.0071535592488011605,0.007298897406823684,0.007544710557473125,0.006717743870805947
20,28.0,0.006905921294169646,0.006919278484718655,0.007288635385903181,0.006360872351893813
21,29.0,0.006628837206177148,0.006647878095951833,0.0070468000645687295,0.0060596763288214605
22,30.0,0.0063642130626520715,0.006317266781120148,0.006764729107746656,0.005765921245011359
23,31.0,0.006113674497568743,0.006065779913516454,0.0065005060144003105,0.005551501939720866
24,32.0,0.005844100319559834,0.005729188795439591,0.006170661859782454,0.00529994390028823
25,33.0,0.005631899126955034,0.00549773106280299,0.005884645849597295,0.0051640993375993436
26,34.0,0.005354043516849056,0.005229263652697311,0.00557615124966207,0.004953810330508165
27,35.0,0.0051171174889183355,0.005069685450527199,0.005346724259991546,0.004818326167507876
28,36.0,0.004837117422940213,0.004878265046271092,0.005125947477484788,0.004601531739215669
29,37.0,0.004604113146972855,0.004778756033557683,0.004982785486099676,0.004431637969401044
30,38.0,0.004370989329691041,0.004627002106926048,0.004827167439574301,0.0042242168156737606
31,39.0,0.004189321971001811,0.004538724434352969,0.0047163651795153975,0.004079012945323069
32,40.0,0.00401874847642555,0.004382667200026917,0.00457468669622056,0.003923440788163689
33,41.0,0.0039009145781568823,0.004266267912604814,0.0044485701284987696,0.0038338105964835626
34,42.0,0.0038037986343749503,0.004140008731452668,0.0043355882623116885,0.0037402017609799443
35,43.0,0.0037698006807812203,0.004062512837619965,0.004239042459834423,0.0037179112830198514
36,44.0,0.00385903491226641,0.004155493279946387,0.004329638346468499,0.003790849270358749
37,45.0,0.004063012307799256,0.004351611016998999,0.004490956388792841,0.003995908616185121
38,46.0,0.0054354315847725135,0.005916621762664328,0.006042688862966317,0.0053440853275365345
39,47.0,0.006571228086852358,0.007232015654020627,0.007318425606968129,0.0064881772462466476
