,freqs,gc_R1-R2->F7,gctr_R1-R2->F7,gc_F7->R1-R2,gctr_F7->R1-R2,gc_R1-R2->F8,gctr_R1-R2->F8,gc_F8->R1-R2,gctr_F8->R1-R2,gc_R1-R2->T7,gctr_R1-R2->T7,gc_T7->R1-R2,gctr_T7->R1-R2,gc_R1-R2->P7,gctr_R1-R2->P7,gc_P7->R1-R2,gctr_P7->R1-R2,gc_R1-R2->T8,gctr_R1-R2->T8,gc_T8->R1-R2,gctr_T8->R1-R2,gc_R1-R2->P8,gctr_R1-R2->P8,gc_P8->R1-R2,gctr_P8->R1-R2,gc_R1-R2->O1,gctr_R1-R2->O1,gc_O1->R1-R2,gctr_O1->R1-R2,gc_R1-R2->O2,gctr_R1-R2->O2,gc_O2->R1-R2,gctr_O2->R1-R2
0,8.0,0.024083698119247057,0.02504525271434021,0.03250916183896425,0.033621334753375864,0.024147203238079295,0.03196902929700186,0.04134742229468763,0.030082539651387293,0.01873998127083581,0.020095255661535333,0.030454457981406287,0.025831916118309487,0.0212583850179187,0.024412592339947605,0.057390247912957104,0.04126106914282559,0.023067002269071553,0.0355772963163067,0.0656391273429636,0.03664679797921697,0.0192187890303709,0.0324618437472207,0.0785042247834341,0.04733851556980334,0.020253504721988693,0.027205893895289244,0.06007968913675219,0.04378757397510753,0.02083826587502346,0.033282214443981814,0.06882851888043401,0.04644465062381909
1,9.0,0.021831145292390542,0.02552889546269227,0.027064204356576648,0.02174801975649107,0.022497514243037538,0.033192160784938675,0.03326588492505954,0.022892593474956733,0.021277624665655605,0.023931056383366883,0.023950438670219888,0.020032285551292547,0.023441387911854766,0.025984371836667804,0.025439173621503226,0.022149634308609042,0.022853929603012905,0.033565404527527196,0.03334987937528521,0.021575072578149456,0.02135017647738563,0.030598749098318685,0.03215619838503126,0.022654901635574588,0.02336972035083869,0.02571578313598604,0.02696518494552971,0.02332935207834981,0.023152554272329373,0.028690606175248407,0.03282490632974148,0.025705190121995677
2,10.0,0.022617711280102693,0.025053351927554625,0.02238395694733426,0.020823393798489732,0.021794870409856778,0.028918218571371737,0.024994570283912443,0.021744911907492413,0.02330658968858639,0.024301613888355212,0.022593543198203243,0.020310214557918812,0.024020713898341445,0.02442359869425484,0.023072668552645472,0.02275962711038669,0.023343056988795987,0.028177101602480967,0.025630141038191702,0.023096211072572384,0.02393178553041179,0.02631181957774315,0.024875184388798988,0.02636307451534789,0.02458658361972489,0.02473097372323947,0.02378401360767884,0.025065247115124454,0.024621597496163175,0.026351763432663707,0.025400151821928618,0.027504904518642487
3,11.0,0.020136807004570403,0.02129961426091066,0.018700281662436306,0.01863398448759461,0.020584386931583563,0.02280344920091738,0.019955885229725356,0.019121601591519197,0.0197271671416337,0.02070364917903901,0.018215802389050552,0.01752402067049832,0.02043591820761336,0.021294382076881335,0.018760264572778487,0.017813457630496715,0.02150168691100413,0.021895486943758,0.01975133097275224,0.01898097243461563,0.019999816606097436,0.02159897303563444,0.01917136806059438,0.019430632031424817,0.02046988062923951,0.02153413829406068,0.019143449732509046,0.019069728142555628,0.020268516237931463,0.022952793661046356,0.019893963668068327,0.02003811966014011
4,12.0,0.018871171147143855,0.01800932118722057,0.018687104278255998,0.01871065302200293,0.020512951225795273,0.020071974478723914,0.02058973169893463,0.020052047989923633,0.018709240485127576,0.018792298683021236,0.018763908494354817,0.018785196027733014,0.01870269412655819,0.019351923319080182,0.019322509422204166,0.019310412874644464,0.020520170983183983,0.019901477609113486,0.020412402039252462,0.020628758888562568,0.018964671873616074,0.02003302192352545,0.020759497144654644,0.02095999079293634,0.018804846269742242,0.01968935551521163,0.019854374150097904,0.02021548087895722,0.019207259789350777,0.021429169306331337,0.020887611342232118,0.02118777137597417
5,13.0,0.01645564760963518,0.014662600270162598,0.016546696669461965,0.016767251251930817,0.017800787898719316,0.015898970049330097,0.017570312970098985,0.018121063549651917,0.016166622874625926,0.01582533226629807,0.01704307301227072,0.017157270343676326,0.01568499865970853,0.015975849065338932,0.017054817160633524,0.017348049978395775,0.016740132535617187,0.016208826715829402,0.017141237416848202,0.01796398446941991,0.015467686600803224,0.01656901358188596,0.017936655254198835,0.017875250035296247,0.01572191726101661,0.016262493440684124,0.01752031982525721,0.01750861513953628,0.015830109412376555,0.017613675951292956,0.018515586262836833,0.017985204329756498
6,14.0,0.014792329211791319,0.013294681618653973,0.01583607805627807,0.01658431918622435,0.01675684305613761,0.014436302196495726,0.016729599595733082,0.018191746531353636,0.014873097520000064,0.014028119837200405,0.0162129260621645,0.017171951266023302,0.014464870568632793,0.01388896842654359,0.017452036152499732,0.017563654479084315,0.01567053287740727,0.014665110311457804,0.01696643633436615,0.01826499538498213,0.014161019226746853,0.014934620206514771,0.018198404891724643,0.018181744972384048,0.014483620074304942,0.014330049758149922,0.017835859305150633,0.017460709454999408,0.014349867446622722,0.01540261835828414,0.018718677669110347,0.017661171487222075
7,15.0,0.012890139241968164,0.0126523805165773,0.014778879062867721,0.015057377520756065,0.015006459655133711,0.013421032063185297,0.014997009385068339,0.016601806053053777,0.013149414209480447,0.012895535930387688,0.014634379391983785,0.015459888662256798,0.012848344904686542,0.013061372287441596,0.016607910228715834,0.01534440336830524,0.013979770445275529,0.013669012447049649,0.015518150941908242,0.015939046800914892,0.012450285294897607,0.013966219686949404,0.017104835307613978,0.01577025900208708,0.012957420261919223,0.013249636187745845,0.01668241627114756,0.015357892560982217,0.012688531247921667,0.014223195279619705,0.017726902935353006,0.015528002728160288
8,16.0,0.012240781057857891,0.012289590002837924,0.014148178999800736,0.014438669042662914,0.014975152494720069,0.013014794061684667,0.014031550941009757,0.01641085875952534,0.013191420295629778,0.012621735771601715,0.014275823829669715,0.015270440866488516,0.01303851372685774,0.013530864642885368,0.016177139465967008,0.015427913454642868,0.014531253081120188,0.013327746955512225,0.014586247644270082,0.01619580614760363,0.013034512936907687,0.013671881038150799,0.01604022920588094,0.016326478284647346,0.013498485935713558,0.013263875987069022,0.015955659537090144,0.01594694531411403,0.013213326615501293,0.014135731018630138,0.016822002790636156,0.01622190603945827
9,17.0,0.012072761889231955,0.011862040896932689,0.013315385482719277,0.013816951671142204,0.014631998299686587,0.012365992549266111,0.012815688090326292,0.015917249361270095,0.013528901713904164,0.011925877986138913,0.013304929765753681,0.01457010553949358,0.013317882645036189,0.013629755368099482,0.015060613882563204,0.015011178633635965,0.01410562215599592,0.012221478325468611,0.0129033525745725,0.014952026987596791,0.012735611760965465,0.012977670846503923,0.014241255674926774,0.015225302132584946,0.013966765614994266,0.013058622713684425,0.014628919169622499,0.01582735282006439,0.013294295033305524,0.013841478404234506,0.015327220765779772,0.015648368491937025
