,freqs,gc_ab,gc_ba,gc_tr_ab,gc_tr_ba
0,8.0,0.021130403274977914,0.01862355977926879,0.015150569759052171,0.02078706444740323
1,9.0,0.021288299227143818,0.02155213589332373,0.017642675760295653,0.021908504360657003
2,10.0,0.022852823324252935,0.021946458085823305,0.02037427587473946,0.022790261951708697
3,11.0,0.023836576449560526,0.019422202054555793,0.02261204058983505,0.019248738126439534
4,12.0,0.02227979422879551,0.01828124089455853,0.021512493615549192,0.018373996157435447
5,13.0,0.020572190773367312,0.017417731084160216,0.018658843478442336,0.018104916583791215
6,14.0,0.01981648735496727,0.017506842552603475,0.018185748718015673,0.018370945320777467
7,15.0,0.01702366380214035,0.016748780529296042,0.017105447293690648,0.017003413056010004
8,16.0,0.014319867467832155,0.01558652297869392,0.015353591316757488,0.015843614617163073
9,17.0,0.012290284524528088,0.013716245460978913,0.013159204138192855,0.014507443094658677
10,18.0,0.011286023098333282,0.012691190118246709,0.01208480710053082,0.01370291282306307
11,19.0,0.010571690329839558,0.011721526107677767,0.01108412391683841,0.013042027888587807
12,20.0,0.010394557473295585,0.011419196578627782,0.010955841614331302,0.012615035653157145
13,21.0,0.01061499454076355,0.011205137502650005,0.011121590121093084,0.012110668065798974
14,22.0,0.01123166817236291,0.011196650917330233,0.011973245048834867,0.011673344667225765
15,23.0,0.012321068946759647,0.01097563677018517,0.013202660686053915,0.011414856973650071
16,24.0,0.014620674043676587,0.01046958052385722,0.015612532617436677,0.011374919287405206
17,25.0,0.017456520144989395,0.009639332020756144,0.018304229684036572,0.011299869869819455
18,26.0,0.020590684697332218,0.008770655468929382,0.020829992349036357,0.01117990480114616
19,27.0,0.022109919029913768,0.008071716835291535,0.02153640979152287,0.010972837646863031
20,28.0,0.022304758942203372,0.007533700583607831,0.020941364672944912,0.010693696763978782
21,29.0,0.020705870531385683,0.00717659688747246,0.018707008309592654,0.01041196878448579
22,30.0,0.018009176777054953,0.006827934734147923,0.01571466153725692,0.00999349233679497
23,31.0,0.014926463925781355,0.00653699033386528,0.012525407076689768,0.009562325110685535
24,32.0,0.011940832285696546,0.00620351444847711,0.00975240438851069,0.008992351208599392
25,33.0,0.009675051697171299,0.005895254203618129,0.007765859603390749,0.008419340199826925
26,34.0,0.008032034778432125,0.005592121755414015,0.006501149981491492,0.007807354977802267
27,35.0,0.006988089283483102,0.0053371163758846535,0.005771919546932438,0.007234105839906309
28,36.0,0.006300302872420473,0.005111608020534074,0.005359269442892363,0.006699992999497518
29,37.0,0.005835593027408945,0.004902212027377378,0.00506683211272495,0.006253079039157228
30,38.0,0.00548936003027165,0.004684806700739289,0.004843091778591508,0.005861582779012865
31,39.0,0.005207813299899096,0.004446851525691212,0.004599863429582709,0.005534855353596455
32,40.0,0.004971185474510715,0.004205658134504339,0.004397094064113047,0.005231118684441685
33,41.0,0.004765817366546358,0.003959475000951716,0.004177138531855663,0.004972761120647421
34,42.0,0.004616150571396435,0.003769354428889095,0.004047381120074035,0.004765054481049235
35,43.0,0.004503980744437309,0.003617147573680077,0.003931562274948098,0.004618224181815749
36,44.0,0.0045782607566070424,0.0036564047243309947,0.004035304072250305,0.004663504864848125
37,45.0,0.004748041716429611,0.003800208521220387,0.004212310382429896,0.004824972841933942
38,46.0,0.006257600593200662,0.005187807582647953,0.005697089720909956,0.006332958372003878
39,47.0,0.007558999643074151,0.0063089687109302425,0.006932528136066297,0.007594154492497107
