,freqs,gc_ab,gc_ba,gc_tr_ab,gc_tr_ba
0,8.0,0.021796524245131513,0.046936221362296804,0.03427831177504004,0.026821629448689727
1,9.0,0.02272621585218304,0.03742834602127219,0.02988585573773317,0.026497009944978354
2,10.0,0.02467369805331896,0.03358549955079549,0.031462893892432,0.025326740520763474
3,11.0,0.030371619602726326,0.025343436783379393,0.03229513708882124,0.02148781488741429
4,12.0,0.02886042296510252,0.02251352434852272,0.027695403561164098,0.022292731148117112
5,13.0,0.022545722632204016,0.024541492020630145,0.020677737487756424,0.027057528623103674
6,14.0,0.017529458448476302,0.03153217464845881,0.016831327328458302,0.03186318601133798
7,15.0,0.014458809333520159,0.03259040850535473,0.015146552278694403,0.029187669119586437
8,16.0,0.01295594901516769,0.027629918106042747,0.014976162236789676,0.02288859649046355
9,17.0,0.011807431334018851,0.020851414945398265,0.014384796655170158,0.017077808754111107
10,18.0,0.010988837823350512,0.01576097083920376,0.013511697199458814,0.013192073695369448
11,19.0,0.009972225498744896,0.01290682132511927,0.012215091753615164,0.01104388680293145
12,20.0,0.009392363940469464,0.011113877382452146,0.011335615268412869,0.009792299025250235
13,21.0,0.008880985156967615,0.009943669562149827,0.010678783416647209,0.008881251511524265
14,22.0,0.00867319344966931,0.008865892764171959,0.010212295323098291,0.008120959556252581
15,23.0,0.008332170889013004,0.008158328287339173,0.009674380650462501,0.0075530428533215664
16,24.0,0.007948903551962984,0.007503786089183133,0.009068839174100028,0.007108109229237696
17,25.0,0.007449838274138626,0.007146776883105864,0.008466139318207892,0.0068077667873685304
18,26.0,0.006944459558910693,0.006783294473258447,0.00792613765330342,0.006460089506407413
19,27.0,0.006510261236834012,0.006571356303240839,0.007487216878327729,0.006182521140658765
20,28.0,0.006157061418038182,0.0062711407564921854,0.007124966342737331,0.005845910686345185
21,29.0,0.005919267728553544,0.0060305537313154614,0.006814388416963346,0.005610094654886641
22,30.0,0.00573477346609699,0.005710744845689444,0.0065418646985729466,0.005344451883684207
23,31.0,0.005605985606270427,0.005487569789041117,0.006323697125961108,0.005163392291041845
24,32.0,0.005490914218878124,0.005210662789610657,0.006122184201739688,0.004954194369703325
25,33.0,0.005414285721373091,0.005028159030853068,0.005969925242060307,0.004823623093177542
26,34.0,0.005300220322984223,0.004781510387916731,0.00578613853150054,0.004649061284432325
27,35.0,0.0052165816961246645,0.004621540472365884,0.005640823068911706,0.0045460981968223225
28,36.0,0.005051557276031331,0.0044065673104302875,0.005453225174619235,0.004365226191973683
29,37.0,0.004932965293086183,0.004275148495259059,0.005321107667293469,0.004245722893230521
30,38.0,0.004746107367918749,0.00409421269765978,0.005157211536626697,0.004053162317818566
31,39.0,0.0046200949238992374,0.0039897715019701074,0.005056065680676408,0.003920937144373885
32,40.0,0.004457516370717021,0.0038434544657753276,0.004931197013926707,0.003748242003793661
33,41.0,0.004345489564541646,0.003765084375455638,0.0048610524830794075,0.003626588253120671
34,42.0,0.0042405459559787554,0.003675855863335454,0.004797269429250066,0.0035137877175055736
35,43.0,0.004185916104965098,0.003655708862334017,0.00478863212527688,0.003454997142401081
36,44.0,0.0042739488463783264,0.0037562028195798937,0.004926338704681222,0.003536613326721086
37,45.0,0.004468070610281001,0.003972384576887582,0.005167945133791237,0.0037239987598489607
38,46.0,0.005929785163842326,0.00542072139676811,0.00673836926159381,0.005128984168111914
39,47.0,0.00719792703504387,0.006622585919507712,0.00810893122696165,0.006277519411176588
