,freqs,gc_L2-L3->Fp1,gctr_L2-L3->Fp1,gc_Fp1->L2-L3,gctr_Fp1->L2-L3,gc_L2-L3->Fp2,gctr_L2-L3->Fp2,gc_Fp2->L2-L3,gctr_Fp2->L2-L3,gc_L2-L3->F7,gctr_L2-L3->F7,gc_F7->L2-L3,gctr_F7->L2-L3,gc_L2-L3->F8,gctr_L2-L3->F8,gc_F8->L2-L3,gctr_F8->L2-L3,gc_L2-L3->T7,gctr_L2-L3->T7,gc_T7->L2-L3,gctr_T7->L2-L3,gc_L2-L3->P7,gctr_L2-L3->P7,gc_P7->L2-L3,gctr_P7->L2-L3,gc_L2-L3->T8,gctr_L2-L3->T8,gc_T8->L2-L3,gctr_T8->L2-L3,gc_L2-L3->P8,gctr_L2-L3->P8,gc_P8->L2-L3,gctr_P8->L2-L3,gc_L2-L3->O1,gctr_L2-L3->O1,gc_O1->L2-L3,gctr_O1->L2-L3,gc_L2-L3->O2,gctr_L2-L3->O2,gc_O2->L2-L3,gctr_O2->L2-L3
0,8.0,0.022119151811260132,0.020479512354553534,0.02346374030589534,0.02429964228085794,0.023335503312326353,0.021578944739614,0.02494864808513118,0.025045343076659888,0.01936945737034994,0.01919733215584617,0.020983254946506453,0.021315344003183693,0.022206258134878906,0.022138116291610298,0.024017713384524547,0.023777211345789223,0.020956547671152775,0.019504092254239148,0.02143788267118816,0.023774883829092836,0.02167845105437541,0.021102247059126927,0.02073937801414654,0.02619461836329549,0.020204138795773246,0.023242002461807403,0.02251137424589562,0.022143886784333922,0.019999167891379337,0.024560241296314973,0.023556617939530452,0.024278949601089356,0.02168162371636404,0.022870960384289384,0.020789433254883874,0.027070424935841525,0.021257511042111425,0.02554618614198244,0.022502379741096024,0.02761141425954337
1,9.0,0.02283548685566687,0.020640909669492852,0.02349581246123084,0.02511367586812915,0.02315371190319555,0.021224975102563964,0.024162596151360072,0.02549138656525215,0.020303389212943244,0.019180444674014266,0.02232638975827523,0.0231835278908575,0.022163971823477183,0.02152524860990006,0.023986459650531783,0.02495446101349807,0.020727485429071525,0.01968046407748665,0.023588971941671248,0.025642697360187632,0.020330660546970757,0.020406694301764804,0.023778114248250163,0.027143775174610335,0.019960753985037546,0.021740745727711498,0.02527752994996754,0.02499016099886903,0.020123923893539262,0.022541864340799116,0.02435873200074811,0.025705320263277875,0.020457164435430865,0.02199359061811532,0.024857075926707033,0.029287828196397817,0.02064940075652568,0.0233457043057848,0.025045490712862262,0.029167752368778194
2,10.0,0.02137052491366331,0.019998192496406154,0.0214024681463855,0.023046786220979193,0.021282140633208824,0.020602296145987457,0.02194578634669321,0.022593851209217954,0.0202394894711934,0.01879153446097988,0.020671653716643753,0.022261736935812505,0.02089564213744151,0.021232580737711622,0.022569203879957426,0.022271368481916916,0.020132537709877062,0.018860263534863364,0.021904952272409378,0.02429286169489699,0.018688000932911796,0.018680602421222877,0.022513080941724207,0.024755347240056104,0.019013532472587708,0.020433796800752538,0.02309103166494597,0.02235026546286561,0.019183382900145728,0.020921779856334557,0.023076497532596565,0.023510948662012927,0.018877398157888407,0.019975296040637653,0.023810423509829107,0.02590827979888462,0.019437892439254426,0.021602817521018215,0.024042944108131698,0.025226130103585768
3,11.0,0.019124770622714837,0.018623215833230938,0.018600068180677626,0.019514665292624883,0.01873004674526267,0.019250817839576488,0.019467262022277002,0.01910411264137992,0.018451841038368444,0.01729893550686691,0.017783196929871646,0.019230965861792057,0.018612938541411682,0.019995558326637814,0.0203710167895048,0.019522299970179163,0.017876658817233566,0.016947552980825464,0.01848114080835447,0.020379571565328006,0.01703401489943074,0.017036858631161517,0.019226070159072163,0.021420799751486606,0.017231143312068438,0.018656831792817696,0.019849171505437642,0.019871212178706077,0.017780619687725083,0.01925578883132219,0.020017473486155297,0.021271439171988416,0.017346165300442473,0.018436944383523394,0.02052390211130092,0.022901792014832917,0.017974858641871094,0.01996094038639538,0.02093451866609685,0.022624729590468396
4,12.0,0.018511020441610498,0.01844240485947699,0.01847069786632181,0.01884922389066215,0.017965457031366077,0.01880158305500581,0.01915824914651779,0.018403013852361833,0.01746408782152254,0.016802595279982763,0.0171799032324496,0.018187715473376956,0.017992455609212216,0.01887778205772864,0.019346770099434415,0.018820430223649237,0.01679443096231608,0.016062176937353075,0.016786839312050696,0.018439308846314298,0.016707971008920828,0.016076074488561385,0.017012289237449945,0.01971399215783921,0.01730132995815972,0.017619370020531763,0.018042635780556617,0.0192517786904801,0.01802232559517501,0.018197127308814176,0.01841147056973036,0.02092161611380161,0.017345610681114256,0.01751031761460386,0.01815727159115954,0.02128849723486373,0.01798880819503894,0.01878613085715131,0.01894892695344647,0.02170761678399411
5,13.0,0.016955801802524186,0.01667431326422197,0.016919073926733655,0.0171713704969912,0.016718972390867545,0.016867917092187552,0.016976501669504287,0.017088287233036306,0.015460426975134662,0.015296423297313884,0.01583567010302689,0.016025390458835807,0.016822638927123757,0.01683089696186675,0.016920372286300955,0.017493481364563093,0.01520034495642856,0.014455547789195918,0.015248535637268142,0.016785282996280793,0.015715357193918478,0.014625738045172847,0.015143258496588097,0.01838141277480301,0.01611540601913314,0.016022432434361508,0.016513761496982873,0.018057932880330353,0.017039254568581727,0.01667109503098152,0.016853419360402487,0.01980937037550207,0.016514302854791486,0.015598484007437326,0.01593624872847525,0.01992967574778073,0.017100532009061243,0.016938244478700622,0.017156125447176904,0.020641396240495966
6,14.0,0.015847527705866,0.015222336284972422,0.015572667406154466,0.015913530048503755,0.015691608483360892,0.01540290933095952,0.015372245784284214,0.01589385022191859,0.01454028546109609,0.0144330150170288,0.015043886443705566,0.014868185714013235,0.015604223277610622,0.01549225587662354,0.015472877925749159,0.016063315151148127,0.014363577359551296,0.013985300124320798,0.014842453077403313,0.01589067926951512,0.01477339903595572,0.013690270062797974,0.013940033843107406,0.017014637320316092,0.014843958724883139,0.015237335531403714,0.01564978895681481,0.016341621966641476,0.015677492332454458,0.015595350103087388,0.01621589910003894,0.018018193878212244,0.015488052584068665,0.014271652578282583,0.014529886683859378,0.017949182087335237,0.015795149366470397,0.015515007707473693,0.016098928540563905,0.018581239670601192
7,15.0,0.014378799776213758,0.013569395935161318,0.013858604970386814,0.014489481428820112,0.014331892095011602,0.013769185087337793,0.013692825318634087,0.014494194289291863,0.013130918960221855,0.013075983381847171,0.013577694407100611,0.013453544646393648,0.01400436798827576,0.013847347987443626,0.01412983099988627,0.014422158176453183,0.012985076323470077,0.012822213230622893,0.013901863860459482,0.014550750830941006,0.013442114058842502,0.01244833609756257,0.012792447699402291,0.015482383068662307,0.01334201129772534,0.01372588632209757,0.014624895229608057,0.014764036560174179,0.013853703849116225,0.013961816552487844,0.014894509422313126,0.015998032561656803,0.013920512122913682,0.012625713285389422,0.013014640296292365,0.016128064209773287,0.014084685428030319,0.013599948858513367,0.014457863840458706,0.01662006682428427
8,16.0,0.013481484505935571,0.012797159880351483,0.013068395142900365,0.013591784015276288,0.013322948696151278,0.012937646575273245,0.012873148488969347,0.013550949076637547,0.012273739436479435,0.012332686722692587,0.01277506832723487,0.012621319156673623,0.012840642002299948,0.01255594858872434,0.013179417695353395,0.01352301338540833,0.012301742785903864,0.012053634438167116,0.01310450313150717,0.01377699531434691,0.012731059774673224,0.011863458546518539,0.01217479875066184,0.014378195814454658,0.012088934541610133,0.012395561219070766,0.013549827050052938,0.01366825749158103,0.012554533966489055,0.012702358861385047,0.013737638013022295,0.014564005644210681,0.01295593929366562,0.011700374229883143,0.012059808259332236,0.014759228849526719,0.01295585492094223,0.012371491028691542,0.01321561517316543,0.015166109346232979
9,17.0,0.012276760410414537,0.01176352867433064,0.0122924277030746,0.01240125861486007,0.012205957600019562,0.01181644833952892,0.012024834458700269,0.012569410258831093,0.011328607349561001,0.01135574382330747,0.012014548917878941,0.011714537848167044,0.011675247068179986,0.011164399381892065,0.012183443151180326,0.012894449863206555,0.011409753804115722,0.011119812731805876,0.012259309754319088,0.012963457783886993,0.011950101465938423,0.011084407605328151,0.011598906919603783,0.013518538340776225,0.011101260998671194,0.010887397846989659,0.012471834914760914,0.01336579466805316,0.011630846988596441,0.011364322650815377,0.01262082514300306,0.013981439251753047,0.012138306173952593,0.010895387708827337,0.011429449184332842,0.013927849589873342,0.012062509366623465,0.01133767497820494,0.012269960021125265,0.01444757298402511
