,freqs,gc_ab,gc_ba,gc_tr_ab,gc_tr_ba
0,8.0,0.02007694689014711,0.026805069391709267,0.021349665303171936,0.026293042506188427
1,9.0,0.0213787461419691,0.023962748383622706,0.02275401822351346,0.022135146862229622
2,10.0,0.02134771611038221,0.023966098789227,0.022120790436307994,0.021776195069249524
3,11.0,0.019537277501619724,0.019688261402854266,0.020589674042626478,0.018454355618884907
4,12.0,0.019307524789898417,0.018537435862909284,0.01951785926252803,0.01860543876226864
5,13.0,0.017614059616073617,0.01635733751696841,0.01742692237128362,0.01676678634000411
6,14.0,0.016136799607703037,0.01557884319819264,0.015713127448336375,0.016094218610528337
7,15.0,0.013890784644616417,0.013510987832637636,0.013433286500410696,0.014319157863875314
8,16.0,0.01233964133704262,0.012100282559078567,0.011878297127079008,0.012974452048152636
9,17.0,0.011050418335211034,0.010758014519069504,0.010797089269398565,0.01126830742639445
10,18.0,0.01006751618801382,0.010235546581109284,0.010293349978907672,0.010135292833131977
11,19.0,0.009368976552678463,0.009733502663849286,0.009574429833471237,0.009437577429420006
12,20.0,0.008889067302285208,0.00956922644954152,0.00894125338450737,0.009191401276382224
13,21.0,0.00855498671856541,0.009290443507244823,0.008485557452215032,0.008974990820640192
14,22.0,0.008124999911525944,0.009045875630420596,0.008250899201667581,0.008585499263198546
15,23.0,0.007790497993636717,0.008667544876857024,0.008117658096102045,0.008127395798872509
16,24.0,0.007449039654540332,0.008175894329070956,0.007966772207441832,0.0075502931728513405
17,25.0,0.007136495854844246,0.00759234878841424,0.0076707248503127936,0.007025073221155496
18,26.0,0.006887168355299884,0.007001486927474182,0.0072610575996747825,0.006609179697329599
19,27.0,0.00656228070371096,0.006472403532839933,0.006759683586240932,0.006266205523344513
20,28.0,0.006326737661984014,0.00602138316601886,0.006324568409702355,0.006036758604209287
21,29.0,0.006050648946354536,0.005672208492800653,0.005970122853885653,0.0058264709859345
22,30.0,0.005860477450131653,0.005392236267353393,0.005725356615263852,0.005673488254285293
23,31.0,0.005660639140122688,0.0051689695873082505,0.005496217459149247,0.005539155402577141
24,32.0,0.005467746006574907,0.004961823270133923,0.005279999416477927,0.005364900777505324
25,33.0,0.005305602209026174,0.004784613467495079,0.005039386853120669,0.005217888206363671
26,34.0,0.00510402131683407,0.004589302677639121,0.004804245277009076,0.004979179029428942
27,35.0,0.004949615222675905,0.004451785977527366,0.004610819052326857,0.004809588992759653
28,36.0,0.004716407975218872,0.0042955460411672735,0.004435492274320047,0.0045472927290416045
29,37.0,0.004540473989850594,0.004216695012356397,0.004318220048172082,0.004381931537200033
30,38.0,0.004294866861154576,0.004093349393231262,0.00418424142992646,0.004135099367596016
31,39.0,0.004135056255408268,0.004035037573100422,0.004094666914316872,0.004000899748417409
32,40.0,0.0039249421269487,0.003907683424377894,0.003966684743399116,0.0037926615880245714
33,41.0,0.0037964785071576738,0.0038414318718123677,0.0038760897345573595,0.0036888297981581856
34,42.0,0.0036382338919625718,0.0037312658643312347,0.003768538803357196,0.0035356106364155854
35,43.0,0.003552620424515128,0.0036940563426497565,0.0036976292402113357,0.0034820375844109154
36,44.0,0.0035500214297794546,0.003727745990762057,0.003715381233537516,0.003489711160707742
37,45.0,0.003666496296850372,0.0038843254385043766,0.003817639774626096,0.003639616977739903
38,46.0,0.004812725859776871,0.005001932441487842,0.004882562108971212,0.004788667210862834
39,47.0,0.0057892973344759804,0.005967826940191345,0.005760366932760924,0.005800725420265358
