,freqs,gc_L3-L4->Fp1,gctr_L3-L4->Fp1,gc_Fp1->L3-L4,gctr_Fp1->L3-L4,gc_L3-L4->Fp2,gctr_L3-L4->Fp2,gc_Fp2->L3-L4,gctr_Fp2->L3-L4,gc_L3-L4->F7,gctr_L3-L4->F7,gc_F7->L3-L4,gctr_F7->L3-L4,gc_L3-L4->F8,gctr_L3-L4->F8,gc_F8->L3-L4,gctr_F8->L3-L4,gc_L3-L4->T7,gctr_L3-L4->T7,gc_T7->L3-L4,gctr_T7->L3-L4,gc_L3-L4->P7,gctr_L3-L4->P7,gc_P7->L3-L4,gctr_P7->L3-L4,gc_L3-L4->T8,gctr_L3-L4->T8,gc_T8->L3-L4,gctr_T8->L3-L4,gc_L3-L4->P8,gctr_L3-L4->P8,gc_P8->L3-L4,gctr_P8->L3-L4,gc_L3-L4->O1,gctr_L3-L4->O1,gc_O1->L3-L4,gctr_O1->L3-L4,gc_L3-L4->O2,gctr_L3-L4->O2,gc_O2->L3-L4,gctr_O2->L3-L4
0,8.0,0.023875018173264484,0.021989795763419688,0.023884474217161437,0.027995736274814154,0.022619037889241706,0.021044244860187918,0.023198784791689228,0.025165618098827842,0.023175939560567634,0.02067887354575609,0.02331936008168129,0.026722913938634085,0.021598471628491506,0.020228074696533906,0.022233705307514378,0.02322782029117457,0.020074100143106267,0.01964433064858165,0.021838336074626822,0.02152652047729728,0.0197110236082187,0.019773338894302234,0.021577417343242474,0.022471256848007267,0.02108048539452243,0.019324342725217217,0.02166897347207612,0.022700199818173842,0.02077242661302336,0.02022247203164918,0.021170834558797123,0.02239513006386814,0.019709750848096622,0.02122918707093159,0.021143678217045728,0.023232468145964087,0.020410725897230787,0.021986045688440387,0.020721033816783495,0.02299479580221053
1,9.0,0.021683679520272735,0.020846484334286004,0.024467468405523336,0.026385847141390213,0.020558032880211755,0.019662636462858117,0.023721909945763293,0.024700480708811902,0.02119445038163744,0.020056136359980437,0.024000018162829578,0.02509141578395021,0.01994132435035852,0.019048467181913577,0.022804220675933688,0.023089674402343056,0.019010580231348186,0.019110181025240196,0.023371338274563128,0.022141827139404227,0.019081104467075508,0.01874940679796143,0.024682216020409375,0.02435427994297642,0.019354888019071866,0.018746983608554053,0.023128983603532514,0.022804577300293758,0.01876541304496263,0.018953275872007166,0.02484950778710821,0.024626193849863948,0.018778243325498486,0.01982361400493827,0.025322947172367088,0.024804644029737956,0.018399833312652047,0.01992358383445585,0.025586482535879224,0.025102744765005566
2,10.0,0.02001645511923498,0.019468530774258867,0.021360168825019114,0.02238292594628597,0.019284791480863494,0.01902251548152184,0.021344077485022296,0.02139245352581506,0.019750089468348143,0.01925332562470938,0.021342232149903086,0.02191764790902577,0.01906893690113374,0.018887940723194406,0.021284957752503216,0.020648103680879555,0.01832190748581853,0.018926751020540342,0.021737867712606454,0.020980817078789602,0.018495671489156307,0.018698505304368642,0.023113283684212373,0.022200155223575765,0.018835803227860916,0.0187314149223065,0.02218776430995505,0.021251485644203774,0.018020435365155223,0.01884909747049021,0.024015087449642626,0.021514573953474756,0.018364978304795918,0.019181086832359088,0.024389609508060146,0.022248886585405313,0.01760165734161701,0.01910418397551859,0.025019446424810018,0.021796793369797313
3,11.0,0.018034658531319823,0.017845273099566482,0.018304406546544916,0.01879295116429807,0.017659660258775772,0.01775603266634878,0.01826210252553353,0.018029468784189887,0.017749827837533247,0.017485792105788718,0.01813788324263739,0.018257657983531378,0.017158553974542974,0.017644222185894676,0.018197400051366434,0.01723688242975462,0.016547665515239472,0.01710922011843445,0.018428420509873072,0.017992695686482582,0.016672353606619214,0.017321291051030634,0.01926518266782199,0.018898372621017828,0.017246575718666723,0.0174307298835965,0.018906747340828898,0.01799772215893222,0.01665567472324839,0.017493533640531377,0.020146416984502518,0.01835168010094879,0.01636650667913713,0.017512269743304023,0.020017300237440333,0.018846878330798275,0.016055927904138963,0.017363136473661396,0.02062948916354626,0.018674757470214267
4,12.0,0.01806995526485776,0.01777105707094295,0.01739706356564174,0.017949051769559337,0.017835107170558247,0.01792802350770222,0.017467341426721555,0.017294217332344278,0.017638583780868012,0.01738161672491475,0.01716248252133423,0.017366039101666262,0.017325043403365985,0.01780793547422775,0.017305187939964977,0.0166973497103407,0.01644508962972958,0.017192518011250938,0.01765411759493798,0.01688725295215342,0.01680339180773226,0.017296601954220298,0.01762461774430638,0.017270990017648397,0.017176917627106623,0.017534950778293496,0.017876894228146367,0.016983504440947806,0.01717331760248785,0.01739768085327823,0.0179501636796775,0.017225768636540628,0.016465150144611893,0.017272536050026443,0.018040149041397,0.017390876253864016,0.01636084151596062,0.017057079615770444,0.01804501092537541,0.017299531562636
5,13.0,0.016348335121016924,0.016282779018838702,0.016091611568738937,0.01633517246347438,0.016284740518386187,0.016479475270479667,0.01595522707412772,0.015548412586958419,0.016121417590424608,0.016159934311596007,0.016105317098339192,0.01600710619104382,0.016276246977357935,0.016491862355045937,0.01564010989031812,0.015241278212747532,0.015488155741208867,0.016212815103529413,0.016228623375940752,0.015310508089380658,0.0159573624439252,0.01596497266282292,0.015591809244716372,0.01569968303892305,0.01661139751664079,0.01643950262338646,0.016024437039507722,0.01578498264194014,0.01646242225531448,0.016203921447382495,0.015828552523136828,0.01577156340584654,0.01577728362854221,0.015799081248400338,0.015702647926464676,0.015865000957526597,0.015719217091528254,0.01581832195765721,0.01599484963381808,0.015802815009568084
6,14.0,0.015452871888920462,0.01547612749493866,0.015396465812245975,0.015280425336061972,0.015506221154546461,0.015552156004985211,0.01489892099899124,0.014477292588291375,0.0155748068950192,0.015668095188050346,0.01586225231022054,0.01548887551793282,0.01574586946321178,0.015595638682921157,0.014438650700898113,0.01428295365733882,0.015117248971776857,0.015578650411880057,0.015596720564469715,0.014870498851415222,0.015566146136274382,0.015293476247902876,0.015016360275197912,0.015029877472337872,0.01630132904038876,0.015680334521476633,0.014871896215737304,0.015136230375410448,0.01599513359431947,0.01548866142129115,0.014732814970930036,0.015001523281845942,0.015516089954173801,0.015188510357323094,0.014896477372970434,0.014918197940801719,0.015489611765831737,0.015310808901348933,0.015046565667011798,0.014939018011034165
7,15.0,0.013924869461294452,0.014293284661830634,0.014187097714568105,0.013738553286388976,0.014068914804592669,0.014054480483086619,0.013388137649029666,0.013121584700894307,0.014172628489511117,0.014671161194242357,0.014896740884956194,0.0141460458684465,0.014152351190882814,0.014193452315039545,0.013044792524301572,0.012729083384327424,0.013857049554398922,0.014321006772638553,0.01463953386645294,0.013915138063383382,0.01426116507479931,0.014208736683502685,0.014374418406845344,0.014201556205855366,0.014943021413126062,0.01444663917010648,0.01352340469237538,0.013803036199906804,0.014831549833237546,0.014225820651612096,0.013608188877319542,0.01417768335048203,0.014351609302250368,0.014025733484816161,0.013936705857685203,0.014016396719492999,0.01454618028961719,0.014194846313828247,0.01385107640193705,0.014252962993481725
8,16.0,0.012928452176236598,0.013433721235262028,0.01297183009140768,0.012617218656419368,0.013030542291654432,0.012966432332871104,0.012279775592890752,0.012229859723685331,0.013204944086656427,0.01378057256100105,0.013676699678763801,0.013077879286063802,0.012993966244547793,0.013209683176635432,0.012178425732694188,0.011834804430587126,0.013005805883982617,0.01329994788866341,0.013824274106646925,0.013184437694721912,0.013264318621996405,0.013494929243239662,0.013808372201473592,0.0134100043269687,0.013793957595552176,0.013363768957996397,0.012524054854048028,0.01281057712169288,0.013937132882503664,0.013342398407218292,0.01280253007947578,0.013368207203086152,0.013494150495390978,0.01333203942897418,0.013307121437252848,0.013254648023668818,0.013728433356383147,0.013300192585020765,0.012882564640622984,0.013402638521534498
9,17.0,0.011720174565014521,0.01239295613246331,0.011893952870440557,0.01154532344466706,0.011598116020280122,0.011769718651859412,0.01130196758295134,0.011149814543784765,0.011936079909980152,0.012608146518443736,0.012488963191589094,0.011911529570224568,0.011557140660655617,0.0121065912952995,0.01141673097833656,0.010882117850247095,0.011911720570653617,0.012145645424819228,0.012852012912371726,0.012151710438545123,0.01228311910476685,0.012343969443540853,0.012788843838247245,0.012439692937567099,0.012443798598545327,0.012105329632155423,0.011594377217714443,0.011846480698978257,0.012704219870207334,0.012189127570247269,0.012057506108454227,0.012429840600509846,0.01250532117451619,0.012128855828724337,0.012354397418394315,0.012381437613489584,0.012577706925028118,0.011981734491388273,0.011968459076748192,0.012425940573229738
