,freqs,gc_L1-L2->Fp1,gctr_L1-L2->Fp1,gc_Fp1->L1-L2,gctr_Fp1->L1-L2,gc_L1-L2->Fp2,gctr_L1-L2->Fp2,gc_Fp2->L1-L2,gctr_Fp2->L1-L2,gc_L1-L2->F7,gctr_L1-L2->F7,gc_F7->L1-L2,gctr_F7->L1-L2,gc_L1-L2->F8,gctr_L1-L2->F8,gc_F8->L1-L2,gctr_F8->L1-L2,gc_L1-L2->T7,gctr_L1-L2->T7,gc_T7->L1-L2,gctr_T7->L1-L2,gc_L1-L2->P7,gctr_L1-L2->P7,gc_P7->L1-L2,gctr_P7->L1-L2,gc_L1-L2->T8,gctr_L1-L2->T8,gc_T8->L1-L2,gctr_T8->L1-L2,gc_L1-L2->P8,gctr_L1-L2->P8,gc_P8->L1-L2,gctr_P8->L1-L2,gc_L1-L2->O1,gctr_L1-L2->O1,gc_O1->L1-L2,gctr_O1->L1-L2,gc_L1-L2->O2,gctr_L1-L2->O2,gc_O2->L1-L2,gctr_O2->L1-L2,gc_L2-L3->Fp1,gctr_L2-L3->Fp1,gc_Fp1->L2-L3,gctr_Fp1->L2-L3,gc_L2-L3->Fp2,gctr_L2-L3->Fp2,gc_Fp2->L2-L3,gctr_Fp2->L2-L3,gc_L2-L3->F7,gctr_L2-L3->F7,gc_F7->L2-L3,gctr_F7->L2-L3,gc_L2-L3->F8,gctr_L2-L3->F8,gc_F8->L2-L3,gctr_F8->L2-L3,gc_L2-L3->T7,gctr_L2-L3->T7,gc_T7->L2-L3,gctr_T7->L2-L3,gc_L2-L3->P7,gctr_L2-L3->P7,gc_P7->L2-L3,gctr_P7->L2-L3,gc_L2-L3->T8,gctr_L2-L3->T8,gc_T8->L2-L3,gctr_T8->L2-L3,gc_L2-L3->P8,gctr_L2-L3->P8,gc_P8->L2-L3,gctr_P8->L2-L3,gc_L2-L3->O1,gctr_L2-L3->O1,gc_O1->L2-L3,gctr_O1->L2-L3,gc_L2-L3->O2,gctr_L2-L3->O2,gc_O2->L2-L3,gctr_O2->L2-L3,gc_L3-L4->Fp1,gctr_L3-L4->Fp1,gc_Fp1->L3-L4,gctr_Fp1->L3-L4,gc_L3-L4->Fp2,gctr_L3-L4->Fp2,gc_Fp2->L3-L4,gctr_Fp2->L3-L4,gc_L3-L4->F7,gctr_L3-L4->F7,gc_F7->L3-L4,gctr_F7->L3-L4,gc_L3-L4->F8,gctr_L3-L4->F8,gc_F8->L3-L4,gctr_F8->L3-L4,gc_L3-L4->T7,gctr_L3-L4->T7,gc_T7->L3-L4,gctr_T7->L3-L4,gc_L3-L4->P7,gctr_L3-L4->P7,gc_P7->L3-L4,gctr_P7->L3-L4,gc_L3-L4->T8,gctr_L3-L4->T8,gc_T8->L3-L4,gctr_T8->L3-L4,gc_L3-L4->P8,gctr_L3-L4->P8,gc_P8->L3-L4,gctr_P8->L3-L4,gc_L3-L4->O1,gctr_L3-L4->O1,gc_O1->L3-L4,gctr_O1->L3-L4,gc_L3-L4->O2,gctr_L3-L4->O2,gc_O2->L3-L4,gctr_O2->L3-L4
0,8.0,0.037005664292758665,0.032896307442177884,0.036934829077611656,0.0389719931393195,0.04867592156170275,0.02105661412031168,0.01603935029311714,0.04703006756815853,0.02525998389820856,0.04119817066293337,0.04998448963667244,0.027470452146254588,0.04634216898839512,0.03116791635543592,0.027113127111872616,0.04687546083607401,0.019599722055779978,0.059930443993776804,0.04497690077375864,0.016447179768898222,0.0039438160987771195,0.0331241256158485,0.01898554341432899,0.0021316348531527753,0.014085506689504257,0.05524298410133781,0.06441158134073674,0.014028510614419787,0.00641259259552811,0.04679750167588352,0.038874896501643975,0.005552620905997685,0.01292190361064911,0.016122210130041024,0.006067347820711433,0.013101990759234638,0.015595565005591538,0.021201003351687574,0.011156094437698272,0.015953783429836933,0.02505394025964449,0.06756094373673989,0.07246404724565281,0.029738166908767738,0.012835618926447268,0.057931332777425126,0.05750369297597544,0.020343619444997074,0.024086707754940307,0.037167473498232795,0.03906993535088503,0.025738928656253535,0.0519604660929545,0.04961869590878507,0.051841440220682954,0.05863051124980245,0.025385899162085935,0.034648899011984466,0.03690559994518949,0.020236680106396676,0.040182450544398306,0.037176076191918386,0.0487915936692481,0.030011469047515504,0.052882158998154696,0.029410472010787458,0.026262118545038505,0.05989337898765186,0.03695372676296884,0.02020999720504548,0.013684160981976135,0.039213803090218845,0.050463914026483536,0.026695761534142548,0.037423416723896,0.039360815252984335,0.050170206226989936,0.023866444884804848,0.016596496412464034,0.036346353205108525,0.010218306537566946,0.011657078856275404,0.02344801010208215,0.017530560521102957,0.016013458309573993,0.007732812805594591,0.019776784722733254,0.02251076722011689,0.014464434483231514,0.013994230011753216,0.02032590109130794,0.018291189084664695,0.020809119355987348,0.008511620052338742,0.017047165429537613,0.025890110795667453,0.02056368728025575,0.026358608017891073,0.03199534922781808,0.021958412486643653,0.008009624939175808,0.010239895696573598,0.012732814060029796,0.007632612928734517,0.011650524060988232,0.010639346929505678,0.01785432174318231,0.007423010680374631,0.009310387688203293,0.019174699898327673,0.021116101456259175,0.00558454050563526,0.005715591447529533,0.00682738016400819,0.009120589566848025,0.002435381144273663,0.00806415612445619,0.011777064430283701,0.012144593935528292,0.007458976861347111
1,9.0,0.04117963246930856,0.02584666484207716,0.022909504380042734,0.041826078050680594,0.03898834992250215,0.011778753800626873,0.011453492422545963,0.04151668102757924,0.034801418954490515,0.031104822662844357,0.03043962896141821,0.03515773368438815,0.03350327014195429,0.014196780991004942,0.013151155204460706,0.030960457209011593,0.02841627997680689,0.041444424687762195,0.04217534144626782,0.03411760572851961,0.004331852711462858,0.02731096483940192,0.03068498704004128,0.007261473810272178,0.019138205706901345,0.038550023543329814,0.036852947399253114,0.018338886585934234,0.014264536919130677,0.03977206870838046,0.035916652968563056,0.012802558374033168,0.005669957053574137,0.027559733516160635,0.02134203755658177,0.007926773879889737,0.024309782710847827,0.03352508610423115,0.024032929130578397,0.01868253246547553,0.01838712278177823,0.06539774449136644,0.06230245548730764,0.018044533973262132,0.017127450154810476,0.05119409198560589,0.043751643248895536,0.014359247224085436,0.01625290602959666,0.04706861467843524,0.04498469852399865,0.014283884264273183,0.03580697963150357,0.043603211819056756,0.04417987475182059,0.036810008230911254,0.020643651070591316,0.020661474404779768,0.024356796325140095,0.020195188314493608,0.03621925665560681,0.03369301607105442,0.0486503230390376,0.036445657633295526,0.04978804414502917,0.03739229112676057,0.03910745744148301,0.04980564329822741,0.038268895088661735,0.022797814248177416,0.0223536909567116,0.039438481801470714,0.03274825647929447,0.03165426016764954,0.0418121905797804,0.0364978372595921,0.04029221070290205,0.021150465673756714,0.01817255045522188,0.04208634739509023,0.015599544209173644,0.025708361865188323,0.02381703811950686,0.013938916126689804,0.013863195826192509,0.015278556274274279,0.016627473681700165,0.012753694166429597,0.014099433086368407,0.03523047288638992,0.03591546509888062,0.01636273510081594,0.013798548856355808,0.01975590977698758,0.01974199495345914,0.013325157225942519,0.01369095922707686,0.03689182658448544,0.04385299092838082,0.016505589340066962,0.01692721756169746,0.037032590297918944,0.04536765723993952,0.012727028224265524,0.015967213320912776,0.03420006241408515,0.03466663325222754,0.012410811799689725,0.025899595850375334,0.049981210307946354,0.04199253996693671,0.015998171296755716,0.03142639062935473,0.029140057281846054,0.03060373670095302,0.019180881481661062,0.03505600084732592,0.03928761773413214,0.027528584325832384,0.01941986495120531
2,10.0,0.03259286339060665,0.02347195182528452,0.022820658717547813,0.03278943925467317,0.027859510807179078,0.01034945593294907,0.012117183726370228,0.024913342146356144,0.02628259583509589,0.032659200640623706,0.030015253162474664,0.02672357918523218,0.01990192912778497,0.013304659654701113,0.014915456856311949,0.018917436151827616,0.028990156470778315,0.027231210140111272,0.026598648477133224,0.025697981868790975,0.008946907836990193,0.03202420260611518,0.03519174948148276,0.013150086500935031,0.01365951918201489,0.028301522833793058,0.030982781524851077,0.014181087642611345,0.011934022084304274,0.03202173112341171,0.03319648906616024,0.01373584639983889,0.009546921343346781,0.03137474997963992,0.03446442768159841,0.011023335596846096,0.0236827566393913,0.03810251409252032,0.03565263080393279,0.017470125003060843,0.013164744394215689,0.031197381890358856,0.03388253832775447,0.013537061759413405,0.01630123488879818,0.026544307412616062,0.027696578449338462,0.01502407495963709,0.012686553588457628,0.02619459444608623,0.02356765623561401,0.011174644602933626,0.017249610469249176,0.01952379605984831,0.023603577666527542,0.021369359258230247,0.013654094759428404,0.00907450270746395,0.008463689371619409,0.014234031510174817,0.023434565779349725,0.02704053569308442,0.046015172122976365,0.02917645242029181,0.027563683276166272,0.021562262812214072,0.024935662186756247,0.02943958920741423,0.025385992793994207,0.014582152400058845,0.01973816384402056,0.02941660614569912,0.01997824637151311,0.03084853910055472,0.062150442972403394,0.03328632193321397,0.01614655519654278,0.022565753438905746,0.031566407391473206,0.03144619436011453,0.03688281379416054,0.024372131822111242,0.024432357282809392,0.024268108571796888,0.01640830890756533,0.011128845984070778,0.010810489968633163,0.015524623899586486,0.03748292099954824,0.04011176085822114,0.0372444874820161,0.03017327889337267,0.011916106584317276,0.02176399291420452,0.0192593434362216,0.013138452873547379,0.02409181313039994,0.037641151220246624,0.03179590711944798,0.01884829513594468,0.01776119799080078,0.04037976271203121,0.04065964483235618,0.015677687914339343,0.02222260906569957,0.031018946152069304,0.029731535339485048,0.01580528589722121,0.028779734259873634,0.037974509125844234,0.029972467334629726,0.022300005569476155,0.031352697775882635,0.037650627628092084,0.03479191633283989,0.02963882473274495,0.035279366776443055,0.02987321243598586,0.022166392571152473,0.023258849574676787
3,11.0,0.02071226116397895,0.008207771980416823,0.011701911219842742,0.02526651826586459,0.01514613952820767,0.008789794323104871,0.010769882644422779,0.018202946711769384,0.02274443731297282,0.014499129268850908,0.018450804525368625,0.0262509330286278,0.015240825786529655,0.014540459168333797,0.01515699306723448,0.017978750393766063,0.02519906254067905,0.016458993366551766,0.015612984129377594,0.022369006771761235,0.009035179470642163,0.017739423463470416,0.02290092834516031,0.009217300586880129,0.021508348935867616,0.025520219092391726,0.023397445799231774,0.024099039133066213,0.015304648719072843,0.018026860367590557,0.02078740738300411,0.017345473166090385,0.010124361522050407,0.020050353641842378,0.027807235501769157,0.009741916186298738,0.018480107161234827,0.02466177845534361,0.028134242766334694,0.018862368289230602,0.006605296455797572,0.016178061832253832,0.021418148797179272,0.008814851542039292,0.008798774231451745,0.017032578764968064,0.021201001462769396,0.009947712633358918,0.010438114241188855,0.013619080746859424,0.014302246308793797,0.011325972854889699,0.008776680085735223,0.011696950613125524,0.018231508595986413,0.012340311523856683,0.01620614551713473,0.005959880512710925,0.005207787187065804,0.015745894689709418,0.016695466021137407,0.017370249395145265,0.019083873220361626,0.027696310000098378,0.010001586345843094,0.016724930875759013,0.024739319468981336,0.014588132954237665,0.009108662748560903,0.015826085057608453,0.021678094156192172,0.014477979167012479,0.013802310948855024,0.020209464356005923,0.03424260410548428,0.03268189791435248,0.0038023001514815745,0.01875491028653258,0.02375406436894707,0.01672620226485506,0.034153432532264105,0.009375479037735345,0.009976296182360756,0.024403238191699473,0.030167386324903588,0.00427314987741525,0.003559281041568596,0.026385132915631004,0.0267323129581186,0.02010862465928156,0.021736386728419176,0.02044747686089963,0.029782153258556578,0.007117866001047446,0.006676307453313513,0.02665672008371871,0.01738261932278178,0.01913883742743607,0.01434683714953664,0.015328736483110816,0.01609352892394398,0.02859639929783242,0.030827165781276734,0.017340864816659973,0.03357762332355137,0.016872778227925524,0.01423551794110196,0.02343989504361872,0.03224890632988249,0.017230759660982642,0.013917894279804699,0.02625002511399117,0.027380469889872215,0.03463914781586084,0.03630446408089938,0.03125018353689555,0.03262037790433965,0.022852550504753565,0.018170730532765588,0.029729746410486514
4,12.0,0.01815724095281368,0.012463703263244951,0.01744790739472819,0.020653753363816918,0.01027690287471401,0.011459700702148013,0.012304924272513063,0.011207111124529944,0.023968973868202424,0.011036936634351947,0.01671159064478047,0.025191558750745458,0.014766968661468382,0.015405972504159138,0.014997845716751357,0.014847795564666911,0.01657205470648364,0.012174284481233144,0.010744029735254656,0.014637147387106354,0.0082656097167785,0.014584053097471638,0.017776113917422974,0.009466678981926435,0.017813215079400636,0.02250230066564072,0.023274931555276622,0.01913437918078955,0.009626278270405918,0.011454999749120277,0.01768947582565943,0.01422795288081673,0.010822453775504925,0.019734856618126174,0.027269790147611418,0.01495992646579083,0.0097820695343394,0.01546301181097931,0.026754862509459798,0.020672134212921377,0.0052511930701697905,0.012963764426864088,0.015880175302488198,0.0064740558710326464,0.0068963910566338885,0.015295808750532557,0.016511678595725242,0.005799298002368403,0.011957711527919912,0.015528076898689847,0.018698624851378298,0.015221489117988795,0.00551603043367308,0.014818530644087956,0.01729990285776637,0.005031403718759009,0.01646461538305246,0.00834438641084887,0.00878695287083886,0.01729858737208758,0.013094852723892814,0.012946943641716757,0.00947834044853053,0.02854724200745764,0.0033326920332783063,0.02904765681182724,0.0355566466677729,0.006801226622800982,0.0034970115273893045,0.02155405536186521,0.031029490578983143,0.009614280748328952,0.008291526417752238,0.015306372148244662,0.021932806548547033,0.026564179335543513,0.002996846295834388,0.014172895499454085,0.02497804002271522,0.013382725844726195,0.02384224611584713,0.020694088401267408,0.018203450074491912,0.02243628233199004,0.029435959302516322,0.014018945622731848,0.01127191799639391,0.02624449354329954,0.021877623256911248,0.01583616931818952,0.018169433701858397,0.01787994891231861,0.036401455993956236,0.010259954271408134,0.008647348711610192,0.029610970861251928,0.015516577177699276,0.010457525011167234,0.010454912296130204,0.01439667884831337,0.015210396030635565,0.018762495561896485,0.02176575253073736,0.01744746327638751,0.02852128218693011,0.012665987498000675,0.009204440939095804,0.019702431313334757,0.02009625214369919,0.008918596867236773,0.010212656729063952,0.023658862671543802,0.020738039643735107,0.029130881403384025,0.03379192059027858,0.026010015445261558,0.018576380473134434,0.013001918433110405,0.01749349984038915,0.024593733768692515
5,13.0,0.01353848667133235,0.01732216859563849,0.01851117331573775,0.014023253807621927,0.008840225804220125,0.015194286890105246,0.014049207979844169,0.009587963992661486,0.01848722482212182,0.01770398626091989,0.018397580630511355,0.016664158576762133,0.013883334654575918,0.01582731128439079,0.014740628816772272,0.01408671359487812,0.011355446416170168,0.015180294822026496,0.012779445772801523,0.009201617930963125,0.01230880323091057,0.012634455314052672,0.01499280111014727,0.013930968059634096,0.012602156568086543,0.0236084835642437,0.025862730343311567,0.012479150867356736,0.007099892646984074,0.012402831862453213,0.017686017817591448,0.008717285203879044,0.011174944584796264,0.016528991479979282,0.01996395862937561,0.01374935962450934,0.0051725158908134,0.012350863125138289,0.021851848602508994,0.011663568355381671,0.005382874471919053,0.01501064658150213,0.015650057934950466,0.006090486656265171,0.004509914301768702,0.016668587053301563,0.01792142357981561,0.003435991990860998,0.015083640539329224,0.015593659711229436,0.015030403628910704,0.017439172510540148,0.0035672055953540394,0.01579765521150378,0.017477085198231636,0.0036447812241704016,0.020329748112677494,0.011237771565414788,0.0129736958750982,0.017915009849178175,0.006762291485453176,0.01287365947645398,0.012013499216999434,0.015355751466948675,0.003802474571626391,0.02794829878894802,0.03531348686324946,0.007570250630018904,0.004731241606921089,0.017672221832450673,0.028605641347803613,0.010425617881389116,0.0036507105802854765,0.011626456383802974,0.01299248807350537,0.014011409374173667,0.004526930156539777,0.01112977436953173,0.019281400779789237,0.010807403186620945,0.017864150195180884,0.025412366670297358,0.02362831619152104,0.01962345375854966,0.020765324515097206,0.015673579961583074,0.014051948743129827,0.022156460507125785,0.016930678159931746,0.014498636787228491,0.01597815068030215,0.016308625275839716,0.02691653759883863,0.010794655346627024,0.010302721549059157,0.027669862377455702,0.012449366274100981,0.006778855995785449,0.006878159184527277,0.013528902193598213,0.01637209915131521,0.011109966464103848,0.01285815221333877,0.018327085651336717,0.01934845754076022,0.010508034513947707,0.009868859998069723,0.0187941354482831,0.012836429005577087,0.012128506051392662,0.014230719748543664,0.01761374115950929,0.01705677585883052,0.022014145578223322,0.025611107596591152,0.02076606054522756,0.009039207750426215,0.015739464230344426,0.022981865659542678,0.012286647701012754
6,14.0,0.011683569513983371,0.011520718517191142,0.00967099236615212,0.009306693766664154,0.008832552986429931,0.012373588511896827,0.010360926868271747,0.00887659199054056,0.013614326204306337,0.01076237554646653,0.009311676532165336,0.010587982706728383,0.012029134515120176,0.0129744531846967,0.011739760084620344,0.01274046564883662,0.012833891243979424,0.010184636850943462,0.009259055396147886,0.012131220452808122,0.014529305294278316,0.011121176980156378,0.011147499550268235,0.015147961964816404,0.009942374886786353,0.025366223324916604,0.022744525906241365,0.00906404823538196,0.007701688288863551,0.017974760942201583,0.016723755591723233,0.007489269145325039,0.010904798437625374,0.015376570867999106,0.01569324401430592,0.012057484139462815,0.00545399946024574,0.01775983476642935,0.020694286655562878,0.01067765921680106,0.004393648350711743,0.016320686717240563,0.013300504996947637,0.004416703864768579,0.004751289564295292,0.018361955103552673,0.016228858277462878,0.003493872089974559,0.014051543312061909,0.0152761812607622,0.010842800032971667,0.012845384342097787,0.005039515796551086,0.01511641806992614,0.01617543331699025,0.005786950604463215,0.022970466056101202,0.013360019877358553,0.014464393850333579,0.019709024097011252,0.008219929432436147,0.013842990054952509,0.018971441722447226,0.014042982860330965,0.008651170242950456,0.02421766881353733,0.02899848343903102,0.01117854279123449,0.007259342387624201,0.014982866711108756,0.019748381747365328,0.010561093824703249,0.005737490604467155,0.008499916274583796,0.011741300742612282,0.014361205578526182,0.005737040865966492,0.009447664381020359,0.011693452827301342,0.00946858984830925,0.017070210000827757,0.021717290875597685,0.024010940355277198,0.019057592715834203,0.015142631429211661,0.012749922215676435,0.013742894683839069,0.017835742477121386,0.016204593680968316,0.012663922822785167,0.015843829220538907,0.019148414244255462,0.01957861660640887,0.010803547703585537,0.01257628675619813,0.02525219664699918,0.015895081337588834,0.004755878703890914,0.005012337399287503,0.01890614706878182,0.016161131974406117,0.008335943114382616,0.009129160822273264,0.020202456526610034,0.01438128733872901,0.00835726978959599,0.009486294054394762,0.01727349044186539,0.013541481641912868,0.011257573671910137,0.01214062772805775,0.016737144542990735,0.012898209609800659,0.015694783698078398,0.01852446086059345,0.016787575584918103,0.0057636584726772355,0.015619046866223129,0.018168165565381145,0.00683316064453976
7,15.0,0.007260664242161851,0.0069798269900239514,0.006716834346908484,0.0043127946219605915,0.00714186249216624,0.010648280438859814,0.009579599327881994,0.005709489407010437,0.005739238314205153,0.008584697848045409,0.00814019373839514,0.0036704879762154974,0.008789576626961804,0.011092807247126756,0.010951223981841451,0.008449076371586272,0.012539095654044985,0.01044822154517604,0.011197771624534881,0.01251556588316589,0.01287715148450701,0.006602953244286169,0.006394508488646267,0.01285492875623433,0.009577736871410992,0.021907203033207878,0.02123428463349697,0.008549249781700042,0.007251905716444895,0.01684760439219275,0.01379836665395473,0.006713589430880518,0.008420714888602276,0.008892611135434691,0.00816522509083768,0.010035995656969731,0.007454104748803303,0.015980401248609867,0.013516011379441296,0.010441481669036533,0.007447367703650088,0.015010171351891444,0.011075781839665667,0.006073659024795575,0.004368059724140494,0.01658632711093162,0.014892727991922072,0.0038471721152916415,0.011910991060508991,0.014500729428197445,0.009895780614922956,0.009005988777861518,0.0071014710825402,0.01221222996404805,0.012269504908213236,0.007770577364343723,0.01957274068366601,0.014683885494270753,0.01661062271714897,0.0181825913780564,0.005590394985589597,0.01519075554057565,0.025100143265894558,0.011081660102234991,0.014606801400749703,0.02115885702357332,0.022361069069192753,0.015013358816020173,0.0060441607625563165,0.014149160631100699,0.014269010049304854,0.008729056443905847,0.00766988744486099,0.010416975180645239,0.0172132293135121,0.01750219271785767,0.005384897643195785,0.00745394894491227,0.009631685505905097,0.009578065274872927,0.017782027135373822,0.012921403635436946,0.015827054975518708,0.018615870832701376,0.015835867891109245,0.006465330256245494,0.007713628697441521,0.01770542642823969,0.011320790636096945,0.0115813951040046,0.014144063906307736,0.013765793322998121,0.016769386540767074,0.00829883786444654,0.009967581650251845,0.022254816303207293,0.013017069205064047,0.004273975482308146,0.0054539303454340885,0.016502621964574617,0.012470764887191167,0.007609267042075629,0.007853840794802381,0.014463631066687554,0.01604405636512638,0.00708595083287662,0.008205940879025065,0.01855779366144006,0.01534580282749758,0.01119021325764109,0.010613746065160967,0.015041267458060049,0.010424932949750599,0.011571864754426286,0.011906876760937024,0.011354631456666908,0.005186347338802477,0.014556905908378326,0.010800103288465123,0.004500073287438511
8,16.0,0.004633508345069259,0.0044420924670170335,0.00484306205149565,0.00442987686520695,0.003380056777974971,0.0062301264933559255,0.006515909553104393,0.0027445739714636375,0.004854823491915283,0.00833400154449393,0.008027685738262135,0.004140361771388967,0.004885236434310514,0.007635152633533693,0.008204761804366712,0.004455226969145798,0.014001399504994794,0.007804748519606619,0.01027648003764412,0.013835008632708678,0.013076156457439935,0.004231861478510979,0.0044838245634089445,0.012102042990633066,0.006981795296489679,0.013826277767099526,0.0151151707112696,0.007898421785338883,0.005413207209868887,0.011499654851690622,0.010613806908692425,0.0057661366208705545,0.010610122273428146,0.005302649690318617,0.0047965253887220175,0.011260407854045695,0.008251376036594139,0.012268634450062165,0.009869844565479725,0.008543156919162697,0.009626702959401,0.012532172907815919,0.010016750562057553,0.007406456558854302,0.005056406200287,0.01647650087042223,0.016052265176733017,0.005406391428859081,0.00830588406584809,0.010030093137882546,0.008485092126334592,0.006178543649771484,0.009477761785653627,0.014111382375704551,0.013174989163677963,0.009606630540973526,0.012256723006994718,0.010801511233768935,0.013464261277280797,0.012574524193007619,0.003061143365543728,0.01516447378388861,0.023664329597693268,0.0064794116729565586,0.016089155433058267,0.02145572122245909,0.019727803384230212,0.01613190895307639,0.004800448839411331,0.01487269815020369,0.012456835444530157,0.0076718249452518705,0.00890876897912989,0.011831625107678434,0.018160500283200775,0.017166583622187658,0.006730542802334582,0.009035901345132658,0.011442523722007537,0.011817863652252925,0.014869792684815053,0.008586766321434425,0.00977321901518451,0.01679172938589204,0.015453737361752928,0.003025292768744947,0.004235071790397171,0.01867567320492398,0.005795147045986937,0.009535174620059905,0.010191155306100087,0.007493860138286834,0.015709863332183716,0.009538656174013482,0.010291130007507832,0.02078853925751716,0.010900320119792185,0.006064464508457235,0.0072187288199380365,0.013871526733334605,0.009209815066977,0.005285988112206752,0.005484834632151348,0.010054606185992299,0.01843624122035763,0.005579906811690449,0.00607013544157411,0.01947842412313321,0.01519127889274543,0.009429048262796868,0.009379168287233597,0.013094637071077386,0.00841770478900159,0.008320812615502859,0.008103306499463513,0.008244345701523059,0.0059289436879893746,0.008628485008348008,0.0050103150164389374,0.005084782353389272
9,17.0,0.0036556427234515354,0.009241649641436566,0.00825253094364058,0.004518000794267607,0.0015535322844598908,0.007609579621196616,0.008077942682061235,0.0015127319837255015,0.0038045202537176693,0.010880900492652047,0.010713348513868936,0.004024267959486139,0.00377979746186341,0.008349135554773568,0.008741816775267353,0.0028344535252493586,0.012433258079654763,0.004905259982984944,0.006920287209817388,0.011716278882813213,0.009956179323055637,0.005228228637581367,0.00614642951815938,0.008465720922330888,0.005650242070844769,0.010044106399623587,0.010217915430663993,0.006353984757676301,0.005717344341972819,0.006602428342161915,0.0062373923315476535,0.005823449207726839,0.00822067336203034,0.00462460218075833,0.005362851595626239,0.008242542214939873,0.007674980204680537,0.008045576665186616,0.006387525279798467,0.006827094223663721,0.009058249523037177,0.009581715360431531,0.007559605258114032,0.007360439578907574,0.005996042464601459,0.013424125487796345,0.01267008339051543,0.006211267752672711,0.0053984878421971414,0.005445336933740208,0.004788810945861854,0.004699389749418259,0.011642372842761973,0.011410474627622591,0.009633976706599157,0.011313104321399692,0.008056488481481239,0.008711721141659013,0.011330461260438084,0.01001060863153853,0.0027111279594869584,0.012772654744974687,0.016307938897100627,0.005373291212884368,0.015509000316409071,0.016388406796932743,0.013702556604297911,0.01530111951484372,0.0052804681196910504,0.01060432650677896,0.008251223569676114,0.007373037048983377,0.01241818503082115,0.011401769038234732,0.012570787180482056,0.016411184235043664,0.009134086236202422,0.008610909057653516,0.00870984542533577,0.012765095513329782,0.009928345896867797,0.008751803832085158,0.007633670887572918,0.011163380197659478,0.012097167589315205,0.0030055841091922277,0.0037057871461989578,0.015383450249676401,0.003078162539667062,0.0068553406640141645,0.006237470369470799,0.004221626052106586,0.014138738283975983,0.010248806209866502,0.01032603862452106,0.018526669931198825,0.007202703554487044,0.008933318088522667,0.010115135396924302,0.009611949163087986,0.006011158805567618,0.00457646916627894,0.004484832173989872,0.005959719371195859,0.016017505005720523,0.005585341133842547,0.005254528876430698,0.017479758463440475,0.011697285256275336,0.009960859937494604,0.008640544988276844,0.0093691236671809,0.005808623776366773,0.0069925177678435094,0.006547301645886705,0.005289165756573766,0.006169009603661379,0.007305586108815732,0.0050875119063725546,0.0057920705049014035
