,freqs,gc_ab,gc_ba,gc_tr_ab,gc_tr_ba
0,8.0,0.021305738156479685,0.023616587809299233,0.02136587527877125,0.023919914979049068
1,9.0,0.02316350371300481,0.02313550659110705,0.020484312121286454,0.02568868835159691
2,10.0,0.02175521349915583,0.02154369052762318,0.019349825367126365,0.024245203375402886
3,11.0,0.01797967348721809,0.01800693540325439,0.01723626795654529,0.01940982230367518
4,12.0,0.016374607760788536,0.01680833228679754,0.01627372952331048,0.01798232925172457
5,13.0,0.015625378733327932,0.016076610893438134,0.015474106298390865,0.017659365301798208
6,14.0,0.015142589586214943,0.015681149002575806,0.015062993611497408,0.01694383187577954
7,15.0,0.014203105443270646,0.014114760756523539,0.013476690336366679,0.015375224896157879
8,16.0,0.013095992820498946,0.01290296272881078,0.012358261227007976,0.013921536548779357
9,17.0,0.011874857879449507,0.011778591828631047,0.011138157590061199,0.012658156634469769
10,18.0,0.01134821509837789,0.011305279577769544,0.010408908859988771,0.012155503197153764
11,19.0,0.010956370734660485,0.010971991032314703,0.009854077253173183,0.011817654222147742
12,20.0,0.01089622347255351,0.010854947350961784,0.009909099186127255,0.011638621862911895
13,21.0,0.010714953247455783,0.010679325221415084,0.010117523970489891,0.011288374542388544
14,22.0,0.011250583854174755,0.010556409791540248,0.010818200809198167,0.01127408604159869
15,23.0,0.012529212467417018,0.010351531374870656,0.012096155113727537,0.011491144971017596
16,24.0,0.01564641758374455,0.00984943601479761,0.0146711324098037,0.011791944650238678
17,25.0,0.01945804492481215,0.009056357967260306,0.017845825176189795,0.011495640516175567
18,26.0,0.023214390145297917,0.008299439147545192,0.02089747215481784,0.010973207858311039
19,27.0,0.024830996405508638,0.007739991500575485,0.02222277135072832,0.010356322797347281
20,28.0,0.02470430765094646,0.007270666763604386,0.02197665443175877,0.009860299649099818
21,29.0,0.022592495470850744,0.006988120900104256,0.019993511868127346,0.009502705833894717
22,30.0,0.019411300951689726,0.006715087310519053,0.01702606653029711,0.009219884321870242
23,31.0,0.015824577757559535,0.006539995223721635,0.013775092915530468,0.008983996242894478
24,32.0,0.012469497788661603,0.006304939104034984,0.0107521801203433,0.008649351830141714
25,33.0,0.009885187406663592,0.00609448903442537,0.008505203978332139,0.008215948961974496
26,34.0,0.007999500851640098,0.005782885275319931,0.006862977050927721,0.007626934007293767
27,35.0,0.006785396761142952,0.005478081320838145,0.005870404310624764,0.0070258345367975655
28,36.0,0.005935760921670043,0.005127746969705533,0.005194869452825892,0.0063959796726754305
29,37.0,0.005391726318637446,0.0048428521445172965,0.004826105103866373,0.0058828392657436146
30,38.0,0.004973114562259588,0.004551702137530905,0.0045487811523606606,0.005413753282516362
31,39.0,0.004689894047319248,0.004334623193368216,0.004398354306779428,0.00505743570843336
32,40.0,0.004463534468916807,0.0041203528827235625,0.00425432485401535,0.004737621947008781
33,41.0,0.004309308391070253,0.0039706177808431576,0.004164098689999139,0.004496231590844079
34,42.0,0.004205662064812179,0.0038516194261326822,0.004083315504501181,0.004311205014722769
35,43.0,0.004162698855249792,0.0037976019798792657,0.00404818272679138,0.004208241359420926
36,44.0,0.004274210182692991,0.003891095960805271,0.004150652971863037,0.004278542712414262
37,45.0,0.004508179786429958,0.004095174142628879,0.004360129739702204,0.00448639413525122
38,46.0,0.006044223307150686,0.0055539950559670695,0.0058705250132132635,0.005996249320859695
39,47.0,0.007385329509348204,0.006712893064272555,0.007146676883977497,0.0072517682714556275
