,freqs,gc_L3-L4->Fp1,gctr_L3-L4->Fp1,gc_Fp1->L3-L4,gctr_Fp1->L3-L4,gc_L3-L4->Fp2,gctr_L3-L4->Fp2,gc_Fp2->L3-L4,gctr_Fp2->L3-L4,gc_L3-L4->F7,gctr_L3-L4->F7,gc_F7->L3-L4,gctr_F7->L3-L4,gc_L3-L4->F8,gctr_L3-L4->F8,gc_F8->L3-L4,gctr_F8->L3-L4,gc_L3-L4->T7,gctr_L3-L4->T7,gc_T7->L3-L4,gctr_T7->L3-L4,gc_L3-L4->P7,gctr_L3-L4->P7,gc_P7->L3-L4,gctr_P7->L3-L4,gc_L3-L4->T8,gctr_L3-L4->T8,gc_T8->L3-L4,gctr_T8->L3-L4,gc_L3-L4->P8,gctr_L3-L4->P8,gc_P8->L3-L4,gctr_P8->L3-L4,gc_L3-L4->O1,gctr_L3-L4->O1,gc_O1->L3-L4,gctr_O1->L3-L4,gc_L3-L4->O2,gctr_L3-L4->O2,gc_O2->L3-L4,gctr_O2->L3-L4
0,8.0,0.02170233886305586,0.021691383188519524,0.023018832706467696,0.02388854377509369,0.021098536984922846,0.026724220740258434,0.030808621152261483,0.024967498584072757,0.02176300575862027,0.02219400858212669,0.022882738113386116,0.02361518123837945,0.02047796366259536,0.02818182183129003,0.032871056114717224,0.024265352797041517,0.02500716688799924,0.02446185220973289,0.025143809742678484,0.024744587151080903,0.022878285608905983,0.02542772356897618,0.02615111440148927,0.023141595796836036,0.021825617604112786,0.028605047729392926,0.03423016534355108,0.02678748223849592,0.023205898255891515,0.02599800525542777,0.027815309497392776,0.02581983419836132,0.022178651280046355,0.0246845657581652,0.023772490092601007,0.02171819283423692,0.024144545203054042,0.023487449986878187,0.023026953959916246,0.02380235370617839
1,9.0,0.0212079327104283,0.021957585429553055,0.022015409669812334,0.021060025645208168,0.021685493568425078,0.023538787335742384,0.023757658250644385,0.021731369645851272,0.021522950856815836,0.02333846731297124,0.02280744531156087,0.02101263479217825,0.021398176403015452,0.024069501591691526,0.02461152518645104,0.021428861393508823,0.025043896665423525,0.02584185098340745,0.024086150499900087,0.023384212828671484,0.023404519009402956,0.024162818333152963,0.023134586081689987,0.022491047966879237,0.023365637516416234,0.02626968303929889,0.02519101872706772,0.02225145976944233,0.02439995468789642,0.024421524982079987,0.021920166465033676,0.023632081619090913,0.023387960864427303,0.022840181800507713,0.021676270318514785,0.02230256058094752,0.024660456443767707,0.02341417357240196,0.021923149730252982,0.023792053580604353
2,10.0,0.019910605351102104,0.021618625636774646,0.02166020827834624,0.019380732079181066,0.02008994981668526,0.021764664119933327,0.021858050602062105,0.01926557932944346,0.021514984930788066,0.023474257870916067,0.023549200862322362,0.02047307262271175,0.02005167482460862,0.02218603748001709,0.022419336003750782,0.01895201525103276,0.02493383080911536,0.02722840665613648,0.025660317595497202,0.022678356088489733,0.023849504193597135,0.024531886962423997,0.02375189435245657,0.022230810681841108,0.021930189066301668,0.024871999868392912,0.023705725311542913,0.020356911392865006,0.02344808943952728,0.023601323744713958,0.022422699312068032,0.022441882006991622,0.023737740232731175,0.02245862402197779,0.021611902159795426,0.022803384360503928,0.023436733596497943,0.022934740935337105,0.02221911718989588,0.023025189985094317
3,11.0,0.019085221176590478,0.020171675236063148,0.01858625361912362,0.01712274432276147,0.01958694680374085,0.019873961132596294,0.018343802982487424,0.017025135536894827,0.02049942259299678,0.021365369958406846,0.019633468965520963,0.017998741974502602,0.019682279443055173,0.020330256268343682,0.01852635276676861,0.016923802749154768,0.02190139315279699,0.02495773802289072,0.021919010405780318,0.018473218879152885,0.019501742372110747,0.021386479486709204,0.020816841409912558,0.01825154502860763,0.021078416610959258,0.023633978709929622,0.020333925576217802,0.017217553695426907,0.021409386579353706,0.02207363543664561,0.02097857135684894,0.019838574680793128,0.019045117117317906,0.020241641719703912,0.02045868363265751,0.0194392202963483,0.019481631502694163,0.020175033275687582,0.02106878542907183,0.020614875590186404
4,12.0,0.019496933783959943,0.020684272409733247,0.018286249071120014,0.01707370060932849,0.020115635647217855,0.02006654734628938,0.01796660785297342,0.01757306161486317,0.02012293643527201,0.02156690288913433,0.0187249628001283,0.01701450278532025,0.0193299045961149,0.020277678371852806,0.018011392368301515,0.017014764526371143,0.0213792394782361,0.025308617818946923,0.02128889191805561,0.01775276263220292,0.018193141228487315,0.021395193742314182,0.020970433360367236,0.017528651290667784,0.01914949742557514,0.02336693425144212,0.020605690192699068,0.01647626970625133,0.01958292478360584,0.0219689231741723,0.021881519551288354,0.01918857769633976,0.01757309818676625,0.020250084724331024,0.020748133851443664,0.018228416582562287,0.017781237160977816,0.01973795434853796,0.021265411626254407,0.01938858064532265
5,13.0,0.01725865672477932,0.01862590049354242,0.016417252780203107,0.015782005825546383,0.017849536536861815,0.018148066801092686,0.01592553116464063,0.016202761844372086,0.017106068279613865,0.018400541519239238,0.016256650211878332,0.015034205385959903,0.016856878530788946,0.018099964453765733,0.016113570837106093,0.01567551767081024,0.017859940035078552,0.02151759741129592,0.01868297186450815,0.01537292962753948,0.016140690100280748,0.018528181850988906,0.018392903888928325,0.0158971961586076,0.016670515963016653,0.020159469351206962,0.01821736992202382,0.015142054303112055,0.017213633936406254,0.019933236258453203,0.019592425875873343,0.016857891851185983,0.015455097462839941,0.017686796117907685,0.018160978775165013,0.015964871244220264,0.01597658563506401,0.01740145985170398,0.018394530062312953,0.016872726643973757
6,14.0,0.015152363721639403,0.016790848304499832,0.015802215730116944,0.014977672839323084,0.01569304727465251,0.016069148477708982,0.014989783309053704,0.015291756759166764,0.015128358741344375,0.016065606116878607,0.015500384357077034,0.014523506804070519,0.014948453560291475,0.016043426272024444,0.015670373010793204,0.014892101125248884,0.015616699454171388,0.01853715506071781,0.017598372789714822,0.014823268558009145,0.01502982659561237,0.01687859188660183,0.017580049349276556,0.015621557491538884,0.01531221825815715,0.017664516247367586,0.01733236951266344,0.015146263010799788,0.015594089683537414,0.01788597613813887,0.0180563830393081,0.015938969551199594,0.014275237651779309,0.01567527226577377,0.016482679318291782,0.014927446660393476,0.014347193334305211,0.015568976069913304,0.016298246482372714,0.015192608679736345
7,15.0,0.01366484179823965,0.014837584636917317,0.014313379856184822,0.013828638093021409,0.014571875429654896,0.014059275117287991,0.013598021102763027,0.014216932115255229,0.01359564719431512,0.014325351172366213,0.014210717278612527,0.013605409087433505,0.013890594480678031,0.014011486159581116,0.014416881785709271,0.013851185345387906,0.013560255340676728,0.016066207869254768,0.015987156962972333,0.013393470314677176,0.013559073715801563,0.014856775779463049,0.015916821297950298,0.014222883852944141,0.014052170805097993,0.015402825540471227,0.015632434518811716,0.014061597393017336,0.014193040233514946,0.015745047298978285,0.01620401179873509,0.014302278163150968,0.012992521593381191,0.014244454941378977,0.015000881431813433,0.013433972157100993,0.012905020252087358,0.01394308983102872,0.014664842132575361,0.013392098588950073
8,16.0,0.012210079724765125,0.01321566074177668,0.013088775200282426,0.012807602467135715,0.013279196013157163,0.01283293414133481,0.012944210265811076,0.013491827755849166,0.01223527529498932,0.012898502408752264,0.013123295290701359,0.012750741020142562,0.012811570826840092,0.012956309553254493,0.013775617836108195,0.013055813053841608,0.012108687353114211,0.01456373978414067,0.015032796760224862,0.012531741818756811,0.0124115598121941,0.013808563084026615,0.014687439768244907,0.013072716022305857,0.012434274961530812,0.013998768639520789,0.014448679765865783,0.01253117828481735,0.012804726532073521,0.014563652650339166,0.014764147056871015,0.012564003655937456,0.012227591429934064,0.013736800203492106,0.013979311646424903,0.012491853307334846,0.011771325877340526,0.013245410622220387,0.013425608084318346,0.011781509116598187
9,17.0,0.0112800722626396,0.011813702273942942,0.011796800101973929,0.011796005652118654,0.012007348671288883,0.011878006602290025,0.011965058986123833,0.012235648692311306,0.011234700820671116,0.011534033388988446,0.011781898111268254,0.011747560987554126,0.012099253873637772,0.011871975306067532,0.01235126105650603,0.012126399121820806,0.011104902153729319,0.013219512860707001,0.013678701045965058,0.011632513447519519,0.011474234909408505,0.012572635854999464,0.013171550367940293,0.011982311084730034,0.01138419993305651,0.01267927195774158,0.012661389165124392,0.011176215217505432,0.01199073431512285,0.013569126128636599,0.013087427797632743,0.01136820618059602,0.011493296110612807,0.013028491684213581,0.012950156603159848,0.011597594284319316,0.011211150857720632,0.012566174374163457,0.01217542853504134,0.010917922072197337
