,freqs,gc_R3-R4->Fp1,gctr_R3-R4->Fp1,gc_Fp1->R3-R4,gctr_Fp1->R3-R4,gc_R3-R4->Fp2,gctr_R3-R4->Fp2,gc_Fp2->R3-R4,gctr_Fp2->R3-R4,gc_R3-R4->F7,gctr_R3-R4->F7,gc_F7->R3-R4,gctr_F7->R3-R4,gc_R3-R4->F8,gctr_R3-R4->F8,gc_F8->R3-R4,gctr_F8->R3-R4,gc_R3-R4->T7,gctr_R3-R4->T7,gc_T7->R3-R4,gctr_T7->R3-R4,gc_R3-R4->P7,gctr_R3-R4->P7,gc_P7->R3-R4,gctr_P7->R3-R4,gc_R3-R4->T8,gctr_R3-R4->T8,gc_T8->R3-R4,gctr_T8->R3-R4,gc_R3-R4->P8,gctr_R3-R4->P8,gc_P8->R3-R4,gctr_P8->R3-R4,gc_R3-R4->O1,gctr_R3-R4->O1,gc_O1->R3-R4,gctr_O1->R3-R4,gc_R3-R4->O2,gctr_R3-R4->O2,gc_O2->R3-R4,gctr_O2->R3-R4
0,8.0,0.023937495076671342,0.026470580075157145,0.0244460884813062,0.023844861923240913,0.02370946284575862,0.022588847996645605,0.020886204693620826,0.023143187218379362,0.02249987414359978,0.03400648702005994,0.03564072762470409,0.02589892414427241,0.023250021476737995,0.022171026394222876,0.020282152169547256,0.02181585149628422,0.02383124599079384,0.06899354196559765,0.060685067466891805,0.024780846162365956,0.023142985602365863,0.043831339259674994,0.03249327170762962,0.02058869435610621,0.023956898908853632,0.023804704916389623,0.019928108135472904,0.02002016293322904,0.02216551659071247,0.022494605204381322,0.019110865166018592,0.01908494642355666,0.022810604223238898,0.02324601047128527,0.019801429609661674,0.020393389385311208,0.020992163563814874,0.02100005049827176,0.019307447240806342,0.01909560503555617
1,9.0,0.022598774982893432,0.02955124392609834,0.03192691664351117,0.025713556559798758,0.02254325205238274,0.023897121901922797,0.024755177967915494,0.024350438405654398,0.021425053761471146,0.0412628522147409,0.05708435197260052,0.032102450987670283,0.02237642871775877,0.02131991274112858,0.023322056087562392,0.024710255509041486,0.020557825416807257,0.07113824655324222,0.09411810144026264,0.03190986803908589,0.02124228860931007,0.04768831876715463,0.04687060422316478,0.024151836348717884,0.022000694775052492,0.022273658842145543,0.025240657115662667,0.024864114421532062,0.02107501081603128,0.021638602994560812,0.024256670171212316,0.023533812235314398,0.021060725589952933,0.024315120747952126,0.025127226708924668,0.022854424707704678,0.019482738644670126,0.02053359578013545,0.022758805620135245,0.02180478257429606
2,10.0,0.021397988558748703,0.02767996064559274,0.030066212636063745,0.023014223958234756,0.02148322197474804,0.022535953144108105,0.023798283550739006,0.022491323345212463,0.020036534539986002,0.04232858117645388,0.05407423179276674,0.025894440520917886,0.0213533473939749,0.020525676506105504,0.02236524543870002,0.022789055558264302,0.01901286233989568,0.06557771182922671,0.0859510019907288,0.026571955650637292,0.020004794902389038,0.0469522451304871,0.04782817851315142,0.022033454730961476,0.01951028295453151,0.021405541902456325,0.025430934126755445,0.022765308633792187,0.01960876677859529,0.02105119243405992,0.02421854844732551,0.021894482969921053,0.020724866967930144,0.0246775264592177,0.02497497726164954,0.02117755766138786,0.01920505086383373,0.020561847511405384,0.021486313251922438,0.020000145249339366
3,11.0,0.01849449883030011,0.021566891371221877,0.025549502790581904,0.02139064644632549,0.018481329839020736,0.018353153606332308,0.021337623219215854,0.020844674639843658,0.01799220646305538,0.03376315944499884,0.04325936861254905,0.023936918892919656,0.01788382771234738,0.017860392125813633,0.020948236087434645,0.020643311391129255,0.016571698742179532,0.0526668014156305,0.07173707860719705,0.02571999133246494,0.017213028653728205,0.03824876634177695,0.044173273543431237,0.020551398242310406,0.01557168087449351,0.017954965960379158,0.02430609861739472,0.020904461168687726,0.015927855106218674,0.017753302140853376,0.022856212601482028,0.01996958294289544,0.017801604894041555,0.021268212511072603,0.023239047242492917,0.019301104472157327,0.016682788499146613,0.018028361889201268,0.019826604921929104,0.018297596062265015
4,12.0,0.01763241342211156,0.01893240792933296,0.02319871549784487,0.020520242042560383,0.017277508776798397,0.017106550397729226,0.020523041605581372,0.01998323371978356,0.017518902958632357,0.027455658138362003,0.03282431911421829,0.02170268486678633,0.016411594370999615,0.017177532845463563,0.02018596151741564,0.019064430186087392,0.015715961870787852,0.043154519876776036,0.0502635701180292,0.021645645550100102,0.015973237720149882,0.03206368032685843,0.0377253344346229,0.018751496631941544,0.014598441502377374,0.016637169252762977,0.021567299297452512,0.018776641555164217,0.014761231983383787,0.016485781092128293,0.020559647986832644,0.01803707676067092,0.016762470450922218,0.019262626152198682,0.02115715511831774,0.018292622588113913,0.015720590526111786,0.01695400152026539,0.018395479551674233,0.01674797436687094
5,13.0,0.015521859133325586,0.016157974062431423,0.02130826298916457,0.01924622882250928,0.015099747878714681,0.01499580168664818,0.019319285536221413,0.018572510681792158,0.01583959298893579,0.021690802562746546,0.026533373471864977,0.020070056184406937,0.014383096441954518,0.015145763002425799,0.018747892794624417,0.017539746860235926,0.014520477280580289,0.03305826715072755,0.03624605523372397,0.019653613109101287,0.014293134264008255,0.025539577216337865,0.031716561042032076,0.017541546954672155,0.013561258521009723,0.014721646715114405,0.019243271871862522,0.018068758422706034,0.013408491721627934,0.014603892464858595,0.01841632037345582,0.01725692546257,0.014994707415602845,0.01734182025972715,0.019872307014852267,0.017140315888700096,0.014064270637325895,0.015092979662351907,0.016606742420026566,0.015334274802925086
6,14.0,0.014416558028198004,0.015100883068294733,0.019613499106082795,0.017596259240773834,0.014073096736591168,0.01394218657376566,0.018022323798897847,0.0171685297837045,0.014646257285327278,0.01921410652839818,0.02236950267524879,0.017758042646327726,0.013680891767566839,0.013950514157472487,0.01726593208164134,0.016407553290248005,0.01399167057872041,0.02750397831853964,0.026848963113309966,0.017381635131635337,0.013540943265070667,0.0225618833944902,0.027333919930063608,0.01631448989762543,0.013399034514866482,0.01371304818356839,0.01694960116271997,0.016735959649256078,0.012997718331163961,0.013570243888417825,0.016334944561749866,0.015963710720962587,0.014435280359467678,0.016480400844671735,0.01875050887400355,0.01617985536997971,0.013341464251723306,0.014035485354391601,0.015048365361373755,0.014198406189417187
7,15.0,0.013191521654910242,0.01382584188866939,0.01704570179070762,0.015452846511709263,0.013019409767615309,0.012819017738079948,0.015932592032255215,0.015241475941320151,0.013363803471118105,0.016811456246043903,0.018717939415032317,0.015796880048111694,0.01279220725454228,0.012714761108540173,0.015625388981075523,0.01509787657701438,0.013146399833589822,0.02201133507063063,0.020685785073927956,0.0158122489785044,0.012532934318043051,0.019132067018149495,0.023232219513635185,0.015152377647910874,0.012773395046604323,0.012455738053651803,0.015138208689480785,0.015233999141615773,0.012244208981087112,0.012266748672172485,0.014599427636628583,0.014425464842035315,0.013308733968917007,0.014963186407409965,0.01708706714883184,0.01494445459629737,0.012181534829643733,0.012828410054969685,0.01373841309748872,0.012820215178464751
8,16.0,0.012790350195172068,0.013422142458980725,0.014368502432082434,0.013241146518518933,0.012766917330422298,0.012626498318226733,0.013770512501920911,0.013248170383142572,0.012691646937006128,0.015559036500577987,0.015198879166918053,0.01332139209280327,0.01263612188290662,0.012399804411828363,0.013770722757018083,0.01356807250172989,0.012446322145305295,0.01913989752510189,0.016413963659030764,0.013557720424430642,0.012248122764156035,0.01755576008017789,0.019511446119515965,0.01361894096925197,0.012539572822537483,0.012071997339334879,0.013291631959939723,0.013354980381291461,0.012000143169034791,0.011828553160034344,0.012780932053465335,0.012654436949046149,0.01284171728947,0.01423175820232352,0.015177787343034058,0.013449303882354692,0.011768194776895162,0.012238141256334687,0.012372636302651029,0.01161115647921517
9,17.0,0.012140498787672519,0.012491003835410814,0.012192658734805767,0.011646433400143099,0.012135258682642291,0.012015919917381067,0.011915219016829046,0.01156354528262153,0.011912935097681519,0.013950987597309054,0.012699482220120085,0.011893895612016876,0.011929455433979056,0.01177988184414,0.012145226384882525,0.01190014483391518,0.011650901235509572,0.016225215898461334,0.013351083672803082,0.012030080909097832,0.011548549309672541,0.01518535608911833,0.015784939022407126,0.012015300501632766,0.011761726732487217,0.011480573748175718,0.011766911081617667,0.011689290957415114,0.011333210965922802,0.011273795492966148,0.011218951517630476,0.01119040904028819,0.011880050686685923,0.013021183284056548,0.013182215149609097,0.011849524277213882,0.011102710299890095,0.011332611756771431,0.010964700719652816,0.010517581479388586
