,freqs,gc_R1-R2->Fp1,gctr_R1-R2->Fp1,gc_Fp1->R1-R2,gctr_Fp1->R1-R2,gc_R1-R2->Fp2,gctr_R1-R2->Fp2,gc_Fp2->R1-R2,gctr_Fp2->R1-R2,gc_R1-R2->F7,gctr_R1-R2->F7,gc_F7->R1-R2,gctr_F7->R1-R2,gc_R1-R2->F8,gctr_R1-R2->F8,gc_F8->R1-R2,gctr_F8->R1-R2,gc_R1-R2->T7,gctr_R1-R2->T7,gc_T7->R1-R2,gctr_T7->R1-R2,gc_R1-R2->P7,gctr_R1-R2->P7,gc_P7->R1-R2,gctr_P7->R1-R2,gc_R1-R2->T8,gctr_R1-R2->T8,gc_T8->R1-R2,gctr_T8->R1-R2,gc_R1-R2->P8,gctr_R1-R2->P8,gc_P8->R1-R2,gctr_P8->R1-R2,gc_R1-R2->O1,gctr_R1-R2->O1,gc_O1->R1-R2,gctr_O1->R1-R2,gc_R1-R2->O2,gctr_R1-R2->O2,gc_O2->R1-R2,gctr_O2->R1-R2
0,8.0,0.026252334041708437,0.025042426277556602,0.024627979336913623,0.021169493190127894,0.023303284174272413,0.022938936537710303,0.021711850326533493,0.019924128056071605,0.03119426851795149,0.03285532834346752,0.03179821286714377,0.02635388438821881,0.022335365319597882,0.023453452227963585,0.02118303432041497,0.019441801402076266,0.03535517322262537,0.029311692672254582,0.02320541973916959,0.030020375595535755,0.030729562632186347,0.024948420472246956,0.020228209073988625,0.025372179355651676,0.022422357908404102,0.02511723599711971,0.02022727539177539,0.018220744552712626,0.02169767101978965,0.02382928593709915,0.019652075745474125,0.018357071245856813,0.024522741058683087,0.022306993517824707,0.019085303557153786,0.02098029546038055,0.021554987172019476,0.022412420276509026,0.01937974174358502,0.018901445759931263
1,9.0,0.023377612009636933,0.028377421535109776,0.028546162210353932,0.02386347386099034,0.02091262596173709,0.023795744972835226,0.024046175184787404,0.02181847378906196,0.02772198257958697,0.036527953982494886,0.04184280768256451,0.03236491477309952,0.02057091757077273,0.021768281038532886,0.023703420313379856,0.022525256058826656,0.029831574262158034,0.0434795218536673,0.05386623757925522,0.041091994390451005,0.026180797685425597,0.033403192394702436,0.03942469916762398,0.031685656956937466,0.020230347865387664,0.02191631759768531,0.024485461482867815,0.022999313389065017,0.020364035840265526,0.021092024752292445,0.023607959188078093,0.02299243790037235,0.022261166287399752,0.023223657780709252,0.025553657824441908,0.024380392161224174,0.020328794373346518,0.02085189448675315,0.023222798765768198,0.02243035308281127
2,10.0,0.019601995604006158,0.03212285146692744,0.030167440145791605,0.021179548194450375,0.019189130931170535,0.02539088030138678,0.02478456701993889,0.020736502244762967,0.02070594189627689,0.04251239283996741,0.04465179796545206,0.023604098500365295,0.019614199304620578,0.021566112702660057,0.023240303757117258,0.021738079008521715,0.021001036968883717,0.05418267965748422,0.06928661373099955,0.027418222779044436,0.02049953131337386,0.03906008817051639,0.047981962439934855,0.024140084641172538,0.018509552860204705,0.02140010113629058,0.02455269094573791,0.0223944763413705,0.019073243867582745,0.020640628797306368,0.023368674522475315,0.021877172843955208,0.0200607137685771,0.024558831640539843,0.02714915576582674,0.021617930989273997,0.01960097900214201,0.020103061435639214,0.021679161000010976,0.02083598001150104
3,11.0,0.01629980382623281,0.0266634462060519,0.028852335417761468,0.019109261611668427,0.01572673165334432,0.021633657836465776,0.024314534497790877,0.0189325228143301,0.01731299320963109,0.03447085151413006,0.03970110396384311,0.02089607464091223,0.01572174349983631,0.01841987210500433,0.022089271917569524,0.019563598742212248,0.01686776856389031,0.0437838214273774,0.06279513137584818,0.025270821987650734,0.016385209430062643,0.03049890794388261,0.04222358578753562,0.02292965127201424,0.014665484504068379,0.01734749469035987,0.023612684163633945,0.02111490727705168,0.014954487342253948,0.0166267345732403,0.0218289215552758,0.02023211866067869,0.0164098452733834,0.02054320717000334,0.02515048343573086,0.019975974907058106,0.016169056820536508,0.016635542510012476,0.019238993125624677,0.0190330067637843
4,12.0,0.01528253533535595,0.023079996911237032,0.027626610365603856,0.018739231807731353,0.014838264008047402,0.019714050900681766,0.024479274549688325,0.018603297752052453,0.01621694236697173,0.029908093567960727,0.03457864536069838,0.019228007882984455,0.014789450671579853,0.017484764671817202,0.021951472368010403,0.018487003613807663,0.015895976661838906,0.037915904966191835,0.04846361038013783,0.020820923637100277,0.015477525494846673,0.02608718081082103,0.033861562451888566,0.02019801760206345,0.014093404705574426,0.01592086822745481,0.021551032706319785,0.01924288797324224,0.014267506501571431,0.014995611563447609,0.019634782041976166,0.018733400279426823,0.015350337440357653,0.019142112757677403,0.023198237763343628,0.018313260069146256,0.015401716542039302,0.015680492741858548,0.017624617868998684,0.01763734867366073
5,13.0,0.01361902774064507,0.01798951595485859,0.023663887874483147,0.017215402261375804,0.013390929741988253,0.01643056883472475,0.022330554683326027,0.01731668435179654,0.014150540606687006,0.022673198349066524,0.027146520689962435,0.01714249040544854,0.013495231454073177,0.015401779537102145,0.020645329538815045,0.017318334970323708,0.01433385159239715,0.02854762441184144,0.03328751395527203,0.018996586665658698,0.014111034608717238,0.02031335697706081,0.025629176243212714,0.019018410729498423,0.012863364517333335,0.013855532266696228,0.01929772013803017,0.017508233982629896,0.012880257142943876,0.012983263790291034,0.017380578147479356,0.017144324808188352,0.014130962714085697,0.016562621331846144,0.02004896384735703,0.017151382866330774,0.014109186513795731,0.013962818836918222,0.01571497701787535,0.016134854751010824
6,14.0,0.013048299056886346,0.015561505018140926,0.019692000377590776,0.01608900215303108,0.012939536480698724,0.014769053797039949,0.01935391072962945,0.016349088514717922,0.01343747027986446,0.019138534227845876,0.021659671923946074,0.015571802046900746,0.013234221742492142,0.014204583271002243,0.01816986456431809,0.01637545558593913,0.013879058299095809,0.024500494079206847,0.024797166818926204,0.015990522574354748,0.013671008791653179,0.01829236219255135,0.021117362540696176,0.01680808677506096,0.012735358779688245,0.0133202030719788,0.016795236360150626,0.015869726230378613,0.012671105639381354,0.012718668410965741,0.01545937578092081,0.015415486225721892,0.013968185232372064,0.01556704502170289,0.01758106381426594,0.015815549298341093,0.014013429809488227,0.013431582993384308,0.014167620561473433,0.014884059869845097
7,15.0,0.01200391831119887,0.013605278184035969,0.0163668216542893,0.014123213523375764,0.012003271085883184,0.013193199316435998,0.01640923001590806,0.01451399697724922,0.01225088511633654,0.016177134806098524,0.0177035868837988,0.013931030944068883,0.012289901534111011,0.01279983550325108,0.01575855432970913,0.014919269436740492,0.012820044772888114,0.020143685667455058,0.019173959700125014,0.014651177408917308,0.01262572696174923,0.01604349062778536,0.01769472615092007,0.01551126546673235,0.0119714811117256,0.012323095241972138,0.01487750164231071,0.014400548421286448,0.01183381703550147,0.011918713731582957,0.013845197553871803,0.013812793965480267,0.01295804654657979,0.013913789500969657,0.015192778056675543,0.014478238958826335,0.013132015968769832,0.012426174886038276,0.012895425521535496,0.013638905575457497
8,16.0,0.011678107444074163,0.012707836637109284,0.013586891526337826,0.01240012704057734,0.011725376306867782,0.012528318039482574,0.01372112750587295,0.012742716597450462,0.01207507490874134,0.014581393005776006,0.014637381871366347,0.01239941386736277,0.011978830080265786,0.012325065555775326,0.013561059617561742,0.013310735176885871,0.012433827646837767,0.01788913642591309,0.01587683008634614,0.012753426858966063,0.012368013442323914,0.015160616676171777,0.01520021511493692,0.013531751712711097,0.011805726459003109,0.011999783701563637,0.013106179868696562,0.012903544538258297,0.011626946673117504,0.011576867746500717,0.012135533417813663,0.012378223260834,0.012458586683778944,0.01306075849747595,0.01330225466915052,0.013018578115825883,0.012638492581458584,0.011873009678007728,0.01164178810306184,0.01247835904663963
9,17.0,0.010990968977260894,0.011530253234670206,0.011439127904409388,0.010884914013185093,0.011149012718197368,0.011528462407211853,0.011614667516434937,0.011239229299456902,0.01146819927644894,0.013198347581053966,0.012524610362712962,0.011026181459033625,0.011361341270467076,0.011477735397471654,0.011818375073455002,0.011921741286268328,0.011718768694703927,0.01568556097056822,0.013354558753322912,0.011630285888148417,0.011726023704127385,0.013821447915815998,0.01310640028981607,0.012251372545625921,0.011233742517803636,0.011294502355026511,0.011581624723881058,0.011624156300664332,0.011083830162463577,0.010861606133754127,0.010717996364075283,0.011177244223860742,0.011589765459343546,0.011996287169887267,0.011747245311031372,0.011695350758452235,0.011602874179576688,0.010868960511049663,0.010432783049930765,0.011182050427336209
