,freqs,gc_L3-L4->F7,gctr_L3-L4->F7,gc_F7->L3-L4,gctr_F7->L3-L4,gc_L3-L4->F8,gctr_L3-L4->F8,gc_F8->L3-L4,gctr_F8->L3-L4,gc_L3-L4->T7,gctr_L3-L4->T7,gc_T7->L3-L4,gctr_T7->L3-L4,gc_L3-L4->P7,gctr_L3-L4->P7,gc_P7->L3-L4,gctr_P7->L3-L4,gc_L3-L4->T8,gctr_L3-L4->T8,gc_T8->L3-L4,gctr_T8->L3-L4,gc_L3-L4->P8,gctr_L3-L4->P8,gc_P8->L3-L4,gctr_P8->L3-L4,gc_L3-L4->O1,gctr_L3-L4->O1,gc_O1->L3-L4,gctr_O1->L3-L4,gc_L3-L4->O2,gctr_L3-L4->O2,gc_O2->L3-L4,gctr_O2->L3-L4
0,8.0,0.023441055896947356,0.0246868184865849,0.025203303493138055,0.023822546625293355,0.023567381782295897,0.026431899367951154,0.025370084734245145,0.023011130666581628,0.026340276330937277,0.028255515200291285,0.027799278907690517,0.026518843420036256,0.029704198654859054,0.031486112130486556,0.030973906313271838,0.03199298218906964,0.023191714505583078,0.025233747357078,0.024544308249607825,0.02321563128453189,0.023837992337369388,0.024912959588787236,0.025159041142502486,0.024836981250300184,0.027270656354917922,0.030307068720367154,0.029277006827025446,0.0284344652229579,0.02515021666972522,0.026318454308225114,0.026000803386901705,0.025896684461742227
1,9.0,0.022944234927864793,0.022356539645594014,0.02218600856208052,0.023296950546677287,0.023350215796720062,0.022558512959091403,0.022177117694057114,0.023735102078556978,0.02548915484728876,0.02470585402661978,0.025288062275859308,0.026861673338767003,0.027522375098372413,0.026732259722176587,0.027901382495501916,0.029931787159060128,0.0228844013340898,0.022429974111050476,0.021988589846928256,0.0232625908467573,0.02341142449751372,0.022474896906548844,0.022232990557777027,0.023926842154280686,0.02492892129413443,0.025809230907549423,0.026693251240841757,0.02713769469062621,0.023467674806051497,0.02313215403987074,0.02392231340830041,0.025134933904283018
2,10.0,0.022327341808326823,0.022110682394993683,0.022180624029190788,0.023027571107097602,0.02245782613913353,0.022600175998022064,0.022445187225184536,0.023323066447380424,0.02300736623066879,0.024011039679671536,0.02464251799502064,0.023978640693594355,0.023051510581686977,0.024843625984732123,0.025743543146781928,0.02426790478555936,0.021975728562925862,0.02235375227215774,0.022209915079877542,0.02254073377291688,0.022048533082371362,0.022109910764341042,0.02222967995874327,0.022711499696040794,0.02230641607487942,0.023560638721657264,0.024216511286775714,0.02362049597233289,0.021951657702956724,0.021967597187539503,0.022591068278082507,0.02303780372890352
3,11.0,0.02008831945218553,0.020371923577389577,0.018327134857261212,0.01864243257582118,0.020068261504185395,0.0209628241956423,0.01924921554630105,0.019246320592583785,0.020725092026076156,0.02173784585040377,0.020086061947062386,0.01951795742376833,0.0211815888567941,0.022762208813849744,0.02122845036444713,0.020085465366601597,0.019901943711248263,0.02107639158152688,0.01929609213316639,0.01868762444496952,0.020003992037316558,0.02120522012233344,0.01945057168021492,0.01869372087242743,0.020463179157453472,0.022086252086269676,0.020735011336478842,0.019610951281757615,0.020161101472739282,0.02109102856446383,0.019715933915944058,0.01903487669301181
4,12.0,0.01972860884789715,0.019951477956518263,0.017894134573502477,0.01790429793523884,0.01959474022030902,0.020730168719282762,0.019197148417127448,0.018559822970957714,0.02010527231508732,0.020951944615252873,0.019197670240787692,0.018325754204715217,0.020739476596276722,0.02204874576498765,0.020513854750591302,0.018871623753098282,0.019543413366762463,0.020867914210219163,0.01929395732223858,0.018106088019433027,0.019541803285165624,0.02099734208754951,0.019414047614370183,0.01799165154590122,0.020302401265593007,0.02197559524862688,0.020241270539263077,0.018518460917196528,0.019952737048800455,0.021168598265278706,0.01940655459883835,0.01816463441292426
5,13.0,0.015338244975778457,0.01547853638873613,0.01882396309058704,0.01842951629198486,0.01537169662995292,0.01642262040158913,0.020404220591966477,0.018923083451877758,0.015502066001164827,0.01629764157507704,0.020259447273125158,0.018708339598323437,0.016216433993463814,0.0175009207461281,0.021711105553780398,0.019242107555667066,0.015347180577907913,0.01675760920957563,0.02024243828486376,0.01801789647621038,0.015416519289960367,0.017386952275729957,0.02036547998715535,0.017598331650285147,0.016122526636674586,0.01805503029771886,0.021203909849758423,0.018249186697025348,0.015889174194005578,0.01778024656113222,0.020253051843857645,0.01766051125654483
6,14.0,0.012443341850765727,0.012867996350526026,0.021423185296858424,0.02051958152334699,0.012800408340773384,0.013600975173011016,0.022625251627320406,0.020674622805717132,0.012551999430691695,0.013338032181402518,0.02206294751274608,0.02045579502278168,0.013142680474960549,0.014094046839874178,0.02271155983304507,0.020676967038744547,0.012861403281804072,0.013887089107646137,0.021895609676954253,0.019603182590057167,0.01300634217295688,0.014527692782162734,0.021707231882614232,0.01901066168389604,0.01335707525210989,0.014819491445390581,0.022046775280674506,0.019269725866848584,0.013259926342598812,0.014926180180465742,0.021340563297133602,0.018585653826575857
7,15.0,0.010347310420682649,0.010985222163210611,0.019624017955742982,0.018858252246386358,0.010848036266093571,0.01146920410165155,0.02037362809142841,0.019024394295742757,0.010747756882465051,0.011485756487384712,0.01995066997024338,0.01901889823488446,0.011261424256349522,0.011998102523524182,0.020092087863265242,0.01932402787391017,0.011010515525305714,0.011787568016793442,0.019680232434741332,0.018164106047187663,0.011306226776644954,0.012402411642759254,0.0195171772107635,0.01772451223032343,0.011436404127343003,0.012583369026714798,0.019646023091489908,0.017955496326731653,0.011393070212303954,0.012819255495897946,0.01935563320982434,0.017224290916781047
8,16.0,0.010014491143250433,0.010812634688265075,0.015844859785444202,0.015284648503747495,0.010474841257835599,0.011174493206047367,0.016231074910109965,0.015450589684889918,0.010457094841833922,0.011032253288810934,0.015736918982357306,0.01526316573055938,0.010777423149250365,0.011243774256830265,0.015529985798345964,0.01541981744284195,0.010656788253605028,0.01139002679579016,0.01586041529672204,0.015041340057439947,0.01093211415387933,0.01175522427926125,0.015718742986575395,0.014823486010315762,0.01094970630711561,0.011649829615317894,0.015482245436699158,0.01478078630220243,0.010903841221195627,0.011929458748980878,0.015576242625368162,0.014381385298908004
9,17.0,0.010198080182687638,0.010985800303412315,0.012827457701459329,0.012474852346885728,0.010627962764879536,0.011357859477811873,0.013159851898266208,0.012664438163868138,0.010621878537239813,0.01098765074159835,0.012723129243384194,0.012523722651343695,0.010887384558201598,0.01105033965838402,0.0126264736446441,0.012826167267114996,0.010688755726011261,0.011458123638305338,0.013053425855768965,0.012488016754956373,0.010851410245427535,0.011701019535086387,0.013145411801672896,0.0124388772405698,0.010860451786729081,0.011321135389312372,0.012773841014282743,0.012470159637001365,0.010724500519164456,0.011614614748180605,0.012986725840333974,0.0121646455984041
