,freqs,gc_L1-L2->F7,gctr_L1-L2->F7,gc_F7->L1-L2,gctr_F7->L1-L2,gc_L1-L2->F8,gctr_L1-L2->F8,gc_F8->L1-L2,gctr_F8->L1-L2,gc_L1-L2->T7,gctr_L1-L2->T7,gc_T7->L1-L2,gctr_T7->L1-L2,gc_L1-L2->P7,gctr_L1-L2->P7,gc_P7->L1-L2,gctr_P7->L1-L2,gc_L1-L2->T8,gctr_L1-L2->T8,gc_T8->L1-L2,gctr_T8->L1-L2,gc_L1-L2->P8,gctr_L1-L2->P8,gc_P8->L1-L2,gctr_P8->L1-L2,gc_L1-L2->O1,gctr_L1-L2->O1,gc_O1->L1-L2,gctr_O1->L1-L2,gc_L1-L2->O2,gctr_L1-L2->O2,gc_O2->L1-L2,gctr_O2->L1-L2
0,8.0,0.020340562538101504,0.019262697854946394,0.01906503743079906,0.021778954794992336,0.020453259179135316,0.019255590520581237,0.020561521522039133,0.024038596548835445,0.022829802877692543,0.020874192159109493,0.021323709811491443,0.027049840621058408,0.016961593686299854,0.021134988860561713,0.02368615715871226,0.022471767987025784,0.019221575794677963,0.019654015245238507,0.02270205128486971,0.02401993180536703,0.01781310599396623,0.019367097311736133,0.02346157655293359,0.022688118310623288,0.017315960299789084,0.019675240103220807,0.021605242809192366,0.02212484503444742,0.017729218919495082,0.019132964516983486,0.022335655706062996,0.02210383969620418
1,9.0,0.021900964627280566,0.019317670426458565,0.023510103104516,0.02828988429955645,0.020256286166940453,0.018908017890511594,0.023922740792374806,0.02623336108755514,0.023242828791404074,0.02101468696366935,0.02615578215026388,0.030339922942875474,0.018425611383566198,0.021763938395565976,0.026646362681453345,0.024526353927795154,0.020422282428253863,0.020633315948510776,0.02370504034203973,0.02439004818819239,0.019074608262107263,0.02040388852135524,0.02413245945737994,0.023426640610962248,0.017826525832863947,0.0204146605339692,0.02452401648108184,0.022705694126426184,0.017784743920599543,0.01990768586162862,0.024609083706157272,0.02324061050831846
2,10.0,0.02325581418767574,0.020986197422948997,0.023390040539446565,0.02718157025006495,0.019954888887571028,0.01953577335884757,0.02393563367218809,0.024590349615581552,0.024336557913249682,0.023388297624501397,0.026288457255025894,0.028397677709861176,0.019139130989579516,0.02215131691106696,0.024572596880273717,0.022829462669643703,0.02018194336567084,0.020435346797640138,0.023123453327943144,0.023172225416258994,0.01925750898873224,0.020162861508483697,0.02237505978046558,0.02229174261470359,0.017690124956153273,0.020296780177999775,0.023224814778074816,0.020875443522315847,0.01759045201525124,0.019787890652515478,0.022569279140355916,0.021081048202332166
3,11.0,0.023380093428513243,0.019995087313330606,0.019913344878496036,0.02280695829322042,0.01928789049020326,0.018055441525664833,0.01996148860534235,0.020312703087438856,0.023118829424411118,0.021924448829313322,0.021510304148844292,0.022637364740281225,0.019748418305482487,0.021021489342908733,0.020391642771970128,0.01947955838573716,0.019877772348504786,0.01831577896493581,0.018700069596762833,0.019625663825482326,0.019357689952435062,0.0182019460332921,0.018331805003075467,0.01917553900039443,0.01809045178948981,0.019435493653110005,0.01955501342702939,0.018360860645979037,0.018360463669214674,0.018450684503579465,0.018689222229788086,0.01872870866416249
4,12.0,0.02281917102443367,0.020544187247069075,0.018240981303782076,0.019716508380094033,0.02076459054313526,0.01750090375475233,0.01624451919643047,0.019578986687813906,0.0216771508630962,0.02114041128852255,0.018991870528664224,0.018913579874204715,0.01959448538111519,0.020358888492307752,0.01853948925941369,0.017873082895524035,0.020637670030868704,0.017284292921241104,0.01612284506489716,0.019260401617302754,0.01985863834502511,0.017036829427235754,0.016091220516085435,0.01873420402605085,0.01855599550457013,0.01883768416599997,0.017510730657957243,0.017581690335396298,0.01888837979073475,0.01751417975865469,0.01640110846469703,0.018064959583706706
5,13.0,0.019897933713726564,0.01861834032957998,0.016488302341941926,0.017989141242320567,0.018451922109024365,0.015007883879135434,0.01435786097913848,0.017147008241099083,0.018119302220588412,0.017419468990645223,0.015408883201999275,0.01625219959023661,0.01710164271526634,0.015638699688113062,0.014618230903928373,0.015741086968127302,0.01820220428010678,0.01457404829737099,0.013901316905521351,0.01681363926546531,0.017458089997686083,0.014482905007723292,0.013786932218108774,0.016225716143974875,0.01695992800044363,0.015195721356558905,0.01425622269102897,0.015752221894397886,0.016520907538491468,0.015191774911169707,0.014311490721931252,0.015569867068493873
6,14.0,0.018907489630357086,0.01802360668076143,0.01687472392099701,0.018730934888436794,0.017290755126750056,0.0148262798986429,0.014855356145730525,0.01670706815082138,0.016915854170220734,0.016452641257557594,0.014849567228372518,0.01635948179788712,0.01577496368524466,0.014479237967000534,0.014102183062211112,0.015030991573401618,0.016915169319174733,0.01405573963504654,0.014079204890655138,0.01647153124617176,0.01603206198538346,0.013775178215278691,0.013666515526662058,0.015446418379469376,0.015467855775753454,0.014147803145104082,0.013853951580285328,0.014809232157168263,0.015104783679397613,0.014286203080842863,0.013750763282759152,0.014528666720649354
7,15.0,0.017501249298587148,0.01605170725616217,0.01647718805363089,0.019597334418878107,0.016300193254173347,0.013717394887371266,0.014731277511848408,0.016849363944813164,0.01606929184423313,0.014547522898241228,0.01393427335055224,0.016854074735571947,0.015049036621817223,0.013132364846605588,0.013018683335073982,0.015244348206733831,0.015678923800910436,0.013014271641880688,0.013728597005533466,0.016208537767337244,0.014742110101568003,0.012769486544154711,0.013074937044553888,0.014847815818127871,0.01441631076445482,0.012710434906879462,0.012883058235264245,0.01455230246816983,0.014120795518596857,0.012716225023626375,0.012727235260458146,0.01419480978455896
8,16.0,0.016467845962967662,0.015180567179631668,0.017599305247824264,0.020169880488200436,0.015875696996614255,0.013089325143167439,0.014968602100940568,0.017580074930492136,0.01533918194230984,0.013404424664165589,0.01412174923503721,0.017387337057011096,0.015160872665049497,0.01261181551786591,0.012761731204805941,0.01616351959357689,0.015095814982815729,0.012317885645317243,0.013860837926857593,0.01689957311651547,0.014478752854904943,0.01219789138181131,0.01279246153906122,0.015282695678483909,0.014449186051784302,0.01247595197678526,0.012648168250504563,0.015057777495468631,0.014157963257077324,0.01194746996145165,0.012097809645968549,0.014629174774969247
9,17.0,0.014739422547666981,0.013875649267230828,0.018521735150765356,0.019935853984680438,0.015516343753103916,0.011840757549919027,0.014673869772613302,0.018681421788688694,0.01384181394420295,0.011984275691954744,0.013951415320760465,0.01712534038671769,0.014746777501300247,0.011397004168390271,0.012199055889270914,0.016634559265135164,0.014393662354132367,0.011475874405803213,0.01354594140812299,0.017644401338097197,0.01413430040671823,0.01133206824891901,0.01209605446431424,0.015773133410853228,0.014246082266919272,0.011695149103712622,0.012009729729340411,0.0153645816153313,0.013942043848831322,0.010900588055132766,0.011195226321808312,0.014917389562465385
