,freqs,gc_ab,gc_ba,gc_tr_ab,gc_tr_ba
0,8.0,0.028249360146825577,0.0368501564425136,0.029782159215430544,0.0379371064855636
1,9.0,0.027752844843204966,0.028690944668420818,0.027566543776203007,0.031402007825545794
2,10.0,0.02279710538086119,0.02648442812197672,0.023183439564322297,0.02612953619487238
3,11.0,0.02102939696409275,0.022019771959833647,0.02132028199300285,0.02203256637034899
4,12.0,0.020587953303299288,0.021413706716193918,0.021231090952058697,0.020542761734182343
5,13.0,0.017812665331378753,0.01845441925317824,0.017785242794079708,0.018368910266918132
6,14.0,0.015680668631471873,0.017520474322822673,0.014990472022383938,0.017191980073894934
7,15.0,0.014066449130376434,0.01536947812341689,0.012509139558127864,0.01586321621249142
8,16.0,0.013351924812630363,0.014081260824442459,0.011688144692855793,0.014619705436201313
9,17.0,0.012544206262043429,0.012210921049920862,0.01082194495102751,0.013192550564835056
10,18.0,0.012118428887412592,0.011127139362441125,0.010486302851589148,0.011969227272161457
11,19.0,0.011101686302938325,0.010242213486480212,0.009773136241874281,0.010857141989428923
12,20.0,0.010186585003290878,0.010057169327900751,0.009465160646905542,0.010054728041147376
13,21.0,0.009081631878664285,0.00976035037322437,0.009052398054438877,0.009293651342375649
14,22.0,0.008427552068119903,0.009381312190751983,0.008788211420308641,0.008599868236045723
15,23.0,0.007862471930394231,0.00867429321237527,0.008254098044909652,0.007939665201660022
16,24.0,0.007599765080516023,0.007929275290108924,0.007842391946735071,0.007368824001688337
17,25.0,0.0072640946679520925,0.007294590328998977,0.00749618618519245,0.006937635602629902
18,26.0,0.007040209718788456,0.00674669652669324,0.0072668418611837515,0.006577464836653219
19,27.0,0.006720761993637735,0.00643166964493871,0.00707238586443026,0.006313858543106035
20,28.0,0.0064469981109800505,0.006126627457425004,0.0068662345962265375,0.0060160060561375356
21,29.0,0.006182265705246525,0.005916862336201679,0.0066206778594756375,0.005843559754774343
22,30.0,0.005985073858449885,0.005650964595931955,0.006315102971913404,0.00562596622028136
23,31.0,0.005843292047193344,0.005413581990693007,0.006006492806717788,0.005507885442919671
24,32.0,0.005708661287674191,0.005171026109852872,0.005735018161955767,0.005302607894562938
25,33.0,0.005589882525503151,0.004938769168136709,0.005508879311346403,0.005164507213382994
26,34.0,0.005453025358841868,0.004730852122478944,0.005312068419498703,0.004959936668169335
27,35.0,0.005308995401453317,0.00454436401269975,0.005140340598419693,0.00480961171959788
28,36.0,0.0051358310097627,0.004390235156129944,0.004964286783932499,0.004598456473188082
29,37.0,0.0049408720728069035,0.004278533719557116,0.004833173007054549,0.004426545714718307
30,38.0,0.004731706804314655,0.004159977563989218,0.004671133254527508,0.00420735157457065
31,39.0,0.004531364245479828,0.0040698173517836455,0.004564135634823374,0.004045212425236478
32,40.0,0.004363888242553575,0.003934356199428697,0.0043989906807050325,0.003874042312726495
33,41.0,0.004219037953311477,0.003824376791626541,0.004284365433298901,0.0037659297551435786
34,42.0,0.004144646610411013,0.0037036965086339533,0.004140887391518788,0.0036907195463039832
35,43.0,0.004086680033452682,0.003639459703934041,0.0040759887615834664,0.0036721160978103245
36,44.0,0.004211973345157847,0.003711840319138677,0.0041288923345058496,0.003803893944023639
37,45.0,0.004410799330655139,0.003921466710594872,0.0043379907128702965,0.004046432419527332
38,46.0,0.0059707106560655384,0.0054179286063225,0.00582467321675295,0.005614329624987586
39,47.0,0.00725040881666095,0.006677635384505356,0.0071227836631876235,0.0068971821079533285
