,freqs,gc_R2-R3->Fp1,gctr_R2-R3->Fp1,gc_Fp1->R2-R3,gctr_Fp1->R2-R3,gc_R2-R3->Fp2,gctr_R2-R3->Fp2,gc_Fp2->R2-R3,gctr_Fp2->R2-R3,gc_R2-R3->F7,gctr_R2-R3->F7,gc_F7->R2-R3,gctr_F7->R2-R3,gc_R2-R3->F8,gctr_R2-R3->F8,gc_F8->R2-R3,gctr_F8->R2-R3,gc_R2-R3->T7,gctr_R2-R3->T7,gc_T7->R2-R3,gctr_T7->R2-R3,gc_R2-R3->P7,gctr_R2-R3->P7,gc_P7->R2-R3,gctr_P7->R2-R3,gc_R2-R3->T8,gctr_R2-R3->T8,gc_T8->R2-R3,gctr_T8->R2-R3,gc_R2-R3->P8,gctr_R2-R3->P8,gc_P8->R2-R3,gctr_P8->R2-R3,gc_R2-R3->O1,gctr_R2-R3->O1,gc_O1->R2-R3,gctr_O1->R2-R3,gc_R2-R3->O2,gctr_R2-R3->O2,gc_O2->R2-R3,gctr_O2->R2-R3
0,8.0,0.02872053805510088,0.02903305024665265,0.03425116285711295,0.03721911320442925,0.035787701298573504,0.039722889607739745,0.046603659504869784,0.04244574308838671,0.03342213578585773,0.039877090393262614,0.03646607263407395,0.044253746837868646,0.03742948981133929,0.04084881511855978,0.05007305113028322,0.04121723221823668,0.041366184667713926,0.03071858156350726,0.035251105720215586,0.05459888225259101,0.044320084300673364,0.030739781231312824,0.046758042040538086,0.06430354509129102,0.040307665845322464,0.04516544513318381,0.0472902191359028,0.040166744778374945,0.028938515528019328,0.027266614021369266,0.03472968852434494,0.035439381125732285,0.03964506898125287,0.0342959432259312,0.04018729723683821,0.04538347188635583,0.04037067180710073,0.03841585012843397,0.040295029780683125,0.040084221108666995
1,9.0,0.02315938883683778,0.02349227629153618,0.03465752090167629,0.03546149617185731,0.025376872384341217,0.023959719686451334,0.03752971092601271,0.03586550264535531,0.023809326529334547,0.02700169238355224,0.03589378472078968,0.038360402900809165,0.027390127667599344,0.02676371172713788,0.04014609104456092,0.037304929626500255,0.03126557323709769,0.025492124223127525,0.037287087508315206,0.046466769060060455,0.029642792426454147,0.02552926759602784,0.04011721549948281,0.05047220146145839,0.025899881528293336,0.026040356098666482,0.036868715124802255,0.03455018348089635,0.02336691164515283,0.020839512906580322,0.029233705866587783,0.029280246096975045,0.023094939062175128,0.025488974616246395,0.04149189591586495,0.0431380117964685,0.025496878192843114,0.024497563906626826,0.03985705375015207,0.039269794259958545
2,10.0,0.01973814487214614,0.02058349790362658,0.02522478597798153,0.024178835935086868,0.021411603833153596,0.020011608414676803,0.026342548223736575,0.023685023721153962,0.01942295173795898,0.022828291380731808,0.02704974241747037,0.025630059492087593,0.02247045442035305,0.02245909107998954,0.02702536197557454,0.024821992303485873,0.025431710380153297,0.02494444263435527,0.03149536188378193,0.028009895575558875,0.024702579211229005,0.02542184397153467,0.03188200819900575,0.029577734765929568,0.0216512035384885,0.021881141924656452,0.02598944976637522,0.02446012580114682,0.021805789490720272,0.020838621414279924,0.022376303425743923,0.022026441663283946,0.01975254049093039,0.021336800289497557,0.026635944190283874,0.027222905509572647,0.021225332712814356,0.02141417016808009,0.02537908565363911,0.02383691494721787
3,11.0,0.02063811738515468,0.02049947776337892,0.019608383030642055,0.01979689332898528,0.022744660750532126,0.019152883452695807,0.020034363105416238,0.018857621397748867,0.020471396710681992,0.02192063910741526,0.0204487167103605,0.021075836942838485,0.022960790524493287,0.02093915297286486,0.020420583817466212,0.020452386505652623,0.024555638239432732,0.023691237241753454,0.02240085271493371,0.020658594029243603,0.02295303462660343,0.024191743066090378,0.022930975320150458,0.020839235844138996,0.02183975468463199,0.020586586303498914,0.020367092944844494,0.020186158686188494,0.020633453191925402,0.019452150995106665,0.01775256616103406,0.01707726200637763,0.018760125282857608,0.019589040989819693,0.020028682393337417,0.019780305305689264,0.020829391793201434,0.021901333659130006,0.02029270936201808,0.019130451864444505
4,12.0,0.021250823672518654,0.0218014503685749,0.018326904267218575,0.018387279989557668,0.022915563294441058,0.01918035634500894,0.018572726279574365,0.017086456517025506,0.02112212402620315,0.021904491751690094,0.01871515704411813,0.01891405231381793,0.021763984129536548,0.020128798326562617,0.018162047364546685,0.01813778501859469,0.023787826987757544,0.02415257881815912,0.019903874726679944,0.01744477786806147,0.02129386574743151,0.023212699967859265,0.021718673239305004,0.018018824641638738,0.021206864897072967,0.01974305571074353,0.018010959180999972,0.017844096433752978,0.018956674869859254,0.01746710062887365,0.01678447913708578,0.016307351454759315,0.01798812461081995,0.020531232524827546,0.01860259119144119,0.016269618144909976,0.019504413545201167,0.020548420410970998,0.01714111779127745,0.017565955753798764
5,13.0,0.01866637432527836,0.019350428523915327,0.017728686328427803,0.01714334176988938,0.020719489571747778,0.01700389232893014,0.01762505505955179,0.016307212330251418,0.01822998113418373,0.018719389195919842,0.017036298574048106,0.017361292068785703,0.019241319619526895,0.017690257364578542,0.01688211587902055,0.01753991713704776,0.020279703175259203,0.018580965528863104,0.016539329431327104,0.015380092327444509,0.017756328365232266,0.01861186252868776,0.01901635952298811,0.016710312852994152,0.01854078253881354,0.017370807721717327,0.016956857805657973,0.017105325983521404,0.015566971825629017,0.014777063522238202,0.016204805655518337,0.015435758051279749,0.015606525836653767,0.018952284823643868,0.018140642177811556,0.01553212390504181,0.016389364983286882,0.016627802947427363,0.01664617245698335,0.017145042368989335
6,14.0,0.016360321835340502,0.017272726707093025,0.017750436548740787,0.015981488200360383,0.018292785067738838,0.015314315360570704,0.017502561557793225,0.01582448879442779,0.015800911247676578,0.016637230410763364,0.016354627835420004,0.01599270966623369,0.016850347007928514,0.016017150379094774,0.016492650057499177,0.016443787034533263,0.017078141378668445,0.01532734152206264,0.015428336789824432,0.01421243250162454,0.015536039202704452,0.016014517090038406,0.018684449441808894,0.01632540802997214,0.01655116301607653,0.015899734690334632,0.016544935421789815,0.01664764860635432,0.013884598241301081,0.01331404540972054,0.016265289796726926,0.01593695056255968,0.014593645427876403,0.017119945389400988,0.01769541242502187,0.015832352582056498,0.014479767438476763,0.014471743483473831,0.016452546366126673,0.016193727350565682
7,15.0,0.014273698808395206,0.015007436290750869,0.016763420342045546,0.01515772465125251,0.01616490234673107,0.013147529299588854,0.016445652769633837,0.015056724686870639,0.013655380262659394,0.014942492204131345,0.015458923462260608,0.015073215837698009,0.014758727530899294,0.013905141017370407,0.01586568500363047,0.015378169036363363,0.01402273308460158,0.012815590941544998,0.01467365176504389,0.013313448912822918,0.013743044281679226,0.013897194629745013,0.01735039093311564,0.016048846747848004,0.014664902411199244,0.01409340828818997,0.015745867272611902,0.016029464388265233,0.012603788841116924,0.011922092833022334,0.015981496224906005,0.016255284053808064,0.012848061565621427,0.01469124580008802,0.017356101480386393,0.015999149624213522,0.013458196238848214,0.013473490203112053,0.016979423179417474,0.017019003964346777
8,16.0,0.01255772548248052,0.013921378244070576,0.015620503994637623,0.013940561619705808,0.014290185179769987,0.012157732738621979,0.01552194146737945,0.013912478852483789,0.01228096361821292,0.013957298009387917,0.014572562952232528,0.013652184417809299,0.012851424397129349,0.012804512693397994,0.015048571778111986,0.013836308813452913,0.012407939752907458,0.01166813358407003,0.014163039812208029,0.012774450615806046,0.012580874641829555,0.013130027661432578,0.016661719191180726,0.01512055766457253,0.013228971993114425,0.012899865036785725,0.014524670621346882,0.014574297750915939,0.012326678708254258,0.010777276764277286,0.01456464643432805,0.01583595038825665,0.011476164938282053,0.013773760529606886,0.016887434379367443,0.015134103285752732,0.012863447032243333,0.012441364483301952,0.015982655913135167,0.01726291825836102
9,17.0,0.011351457806419801,0.013056915563380374,0.0146757626819955,0.0130260026982793,0.01310851866291976,0.011499127804801045,0.014706626139856205,0.013011908033000012,0.011337509630682314,0.013304789587785044,0.013858766488016226,0.012574838002089934,0.01180400825988741,0.011930084315756779,0.014321866144324773,0.01296186713841428,0.011406609046236098,0.010935814966521877,0.013737292894909254,0.01225701427694026,0.011745112380585405,0.012370509620529399,0.015354487707550567,0.014182896449848343,0.012233903390676312,0.01181297168877755,0.013465359905032146,0.01333831295557055,0.01200718837812654,0.009969907234534638,0.01356799585107269,0.015178785363392865,0.010228451116047163,0.01294942720438081,0.015978263657096904,0.014149807411184708,0.01215255876352324,0.011513734934564255,0.01563591692139373,0.016895593368858687
10,18.0,0.010777188582715818,0.012561369209527846,0.013575519956041848,0.0119610775874059,0.01260317278884236,0.011149204349434718,0.013745208311030706,0.012078499013016199,0.010826081475470413,0.012666904294679421,0.012767551909689789,0.011257241662271992,0.011248015402464397,0.0113227205798194,0.01319503942885947,0.011923069595757936,0.010910780554589569,0.010559128794614145,0.012912131449896544,0.01130128791844602,0.011431052017598668,0.012062902702692925,0.013970292407539355,0.012578843366868356,0.011514563217938105,0.010996673806256496,0.012072097850951886,0.012021417591344908,0.011695885042487477,0.009454608009401793,0.011858054766254665,0.013461135605382809,0.009663947600327544,0.012234167408481012,0.014385142012967419,0.01293117487558653,0.011499690521136691,0.010705821862449071,0.014189775868062145,0.014886663211942321
