,freqs,gc_ab,gc_ba,gc_tr_ab,gc_tr_ba
0,8.0,0.023960234140210066,0.042796878559988705,0.026093516132600404,0.03853570796209602
1,9.0,0.024705269889666027,0.029669101314764676,0.023335390830377417,0.02965510662001201
2,10.0,0.02723433195310613,0.028866574172425784,0.02713575681294771,0.026403312228807957
3,11.0,0.03301092892348728,0.023492929080012007,0.03265459440692268,0.021037109903804065
4,12.0,0.03007252774480538,0.02426739421604222,0.03061416594437708,0.02173705973213877
5,13.0,0.021941859013855116,0.029840893455195177,0.022802103452379655,0.027041867725530352
6,14.0,0.016100288260010684,0.0420460361223917,0.01788510806888614,0.034963180349207215
7,15.0,0.01305888656669359,0.04369033718605987,0.015378758500722912,0.0343058966640515
8,16.0,0.011831086425149132,0.036082024263947465,0.015128597350697593,0.02768395593514282
9,17.0,0.011243682543379938,0.025514764226620756,0.014705618435115584,0.02036060898129393
10,18.0,0.010878730446886689,0.0176787566024621,0.014108542348264775,0.014967748942578686
11,19.0,0.010216832229728018,0.013429922396262355,0.012700729767747183,0.012251891210223154
12,20.0,0.009779738684061352,0.01106626695179315,0.011463142115131105,0.010649313730080923
13,21.0,0.009445540329356487,0.009697515910917652,0.010486946284235974,0.009680543386490614
14,22.0,0.00933443808452326,0.008691381372023514,0.009934653812554888,0.008834682501065406
15,23.0,0.009027585813470851,0.008131426251533569,0.009452527648498741,0.008249159006384583
16,24.0,0.008641319404852013,0.00772050224065772,0.009051027003903955,0.0077580217671009855
17,25.0,0.008092518970756106,0.007491202731072006,0.008568693314078332,0.007442509610958198
18,26.0,0.007588717246246756,0.0071943275857900045,0.008098927418986154,0.007120213537769869
19,27.0,0.007109945530087518,0.006966523474034423,0.00765179887662828,0.006832857966938479
20,28.0,0.006729958340892892,0.006653474999011967,0.007281202224336104,0.006457899190818334
21,29.0,0.0064316043572529985,0.006404855823282926,0.0069621839835973115,0.006168382318369409
22,30.0,0.006195533206278651,0.006058027456818778,0.006690020836158943,0.0058411061248652444
23,31.0,0.006003321991768541,0.005770517980441987,0.006437698967190058,0.005629143257644342
24,32.0,0.005830741079332093,0.005417675460870342,0.006194991627295938,0.005373004553194506
25,33.0,0.005673425384221636,0.005171536809505211,0.005974548381005282,0.005191714706422294
26,34.0,0.005494041185137616,0.004890072886044149,0.00574871679953721,0.004943715804840925
27,35.0,0.005319306143818448,0.00470935962273251,0.005549962483831247,0.004761606948395905
28,36.0,0.005096158242494152,0.0044839585492222386,0.005340722271051167,0.004510700039156621
29,37.0,0.004903794182350895,0.004329963855739932,0.005159346983071716,0.004335423202580037
30,38.0,0.004672003467469814,0.004128288294148459,0.004968832871717378,0.004096881796714092
31,39.0,0.004497560478667184,0.00398669383306163,0.004806825795897131,0.003933567102441341
32,40.0,0.004304584815929837,0.0038099970105003626,0.004640183977625367,0.003729537646394854
33,41.0,0.004165113647535532,0.0036905253508680382,0.004504335363858615,0.00359108883454778
34,42.0,0.00404659353436333,0.003569239785303316,0.004391714911180769,0.0034586669460274695
35,43.0,0.003981059958017679,0.003519868021347782,0.004325088923256332,0.003394118073120374
36,44.0,0.004062255054491744,0.003591056905367557,0.004406728139692142,0.0034604071689381785
37,45.0,0.004246669246629565,0.003789926496608435,0.004594027702442601,0.003648398455790726
38,46.0,0.005665528710851372,0.005170609420858639,0.0060319445569761545,0.005020467182809648
39,47.0,0.006888126091770987,0.006311453251624544,0.007264086153482636,0.00616558938588544
