,freqs,gc_R1-R2->Fp1,gctr_R1-R2->Fp1,gc_Fp1->R1-R2,gctr_Fp1->R1-R2,gc_R1-R2->Fp2,gctr_R1-R2->Fp2,gc_Fp2->R1-R2,gctr_Fp2->R1-R2,gc_R1-R2->F7,gctr_R1-R2->F7,gc_F7->R1-R2,gctr_F7->R1-R2,gc_R1-R2->F8,gctr_R1-R2->F8,gc_F8->R1-R2,gctr_F8->R1-R2,gc_R1-R2->T7,gctr_R1-R2->T7,gc_T7->R1-R2,gctr_T7->R1-R2,gc_R1-R2->P7,gctr_R1-R2->P7,gc_P7->R1-R2,gctr_P7->R1-R2,gc_R1-R2->T8,gctr_R1-R2->T8,gc_T8->R1-R2,gctr_T8->R1-R2,gc_R1-R2->P8,gctr_R1-R2->P8,gc_P8->R1-R2,gctr_P8->R1-R2,gc_R1-R2->O1,gctr_R1-R2->O1,gc_O1->R1-R2,gctr_O1->R1-R2,gc_R1-R2->O2,gctr_R1-R2->O2,gc_O2->R1-R2,gctr_O2->R1-R2
0,8.0,0.022532154268940993,0.02893150243810819,0.0320906991288078,0.02310984884451689,0.02188763314269496,0.027970541282953114,0.029121659621920898,0.022052509255901916,0.023442764375885047,0.02984542558393982,0.030426383270226686,0.023001985000663607,0.027439816143897823,0.03268870822265817,0.030634139984066982,0.026519965735892662,0.024029405563046724,0.028085057040671508,0.024421855686390506,0.02216969778444743,0.03082858155506574,0.02376465645240935,0.021011393908574382,0.030555211871050127,0.02719798508467256,0.032953240182865155,0.033529420464821075,0.026647712990726862,0.025285296794943565,0.03274596836218945,0.03656503850537969,0.02606033148167327,0.03854643794006319,0.02281911881006891,0.02771472623830809,0.05552090070232004,0.03368300553213772,0.026163251051108487,0.043124436956591634,0.057252250151965556
1,9.0,0.02232457666212689,0.025299227705147396,0.03981648170393638,0.03235695188652132,0.021198237634913665,0.02512150884870274,0.03671800575030999,0.03000146570751273,0.022416957442187083,0.025246270896013414,0.04011500918111074,0.03448803929381803,0.02434760889484983,0.028619611898899958,0.0403356021184784,0.03524158212180526,0.021676292440695605,0.024189416171088184,0.0383320792094922,0.036008571333186794,0.023720702219046562,0.021157526934758152,0.04097429363694545,0.047903644777349444,0.024533842529988824,0.029075652250789227,0.03877673933651179,0.031849144079279405,0.02246490485790727,0.026674270251034932,0.044751254127631736,0.03321413063112161,0.027951594014714063,0.020888475409482406,0.049642597679530116,0.07321418593902729,0.02663489176892542,0.02298709989175445,0.05837862229016199,0.06663265106073449
2,10.0,0.019078733984917322,0.021192157856312007,0.024830084311022384,0.02352973641052217,0.018836918598401295,0.021371823502852248,0.024069920981589988,0.02249213044536574,0.01893976926570985,0.020912967068982945,0.024602466829487545,0.023674397433322704,0.02210056330383119,0.02402299668675551,0.027646625970404563,0.026712314408469315,0.01914079982440039,0.020582456689264277,0.025042650912259542,0.022622959729199008,0.019552911730677313,0.019762626957241857,0.03199550236902997,0.02616670110334901,0.02191359467408948,0.02246994490515388,0.02685784583759059,0.025440976166888188,0.020483379781788894,0.021633630324506364,0.030436105707956313,0.025328121697070587,0.021939057684643395,0.020644037606580356,0.041688901146411966,0.036416724334451464,0.021743531941361725,0.021516067319396245,0.04438780171340075,0.03996182333610942
3,11.0,0.018211537868571947,0.019640856691755002,0.020716333950350604,0.02045467695462599,0.017540137137400425,0.019580030477962296,0.020176394223768993,0.019347698296334884,0.01788665344967444,0.01923595387596975,0.021107150429841952,0.02113155212566874,0.02008985840392872,0.022785169783290513,0.0239955974253404,0.02287885510915318,0.0177594336490987,0.018640238930994715,0.022121372678906084,0.020753689309488663,0.01842368410691741,0.018908937457020995,0.0270633192535691,0.021748391972203934,0.019633751544086066,0.019886701529172383,0.022681766715851644,0.02256427397417974,0.019131756098213958,0.019279465494491728,0.0241073080169957,0.022387619205624106,0.01938728739555914,0.019365704478158316,0.03370393055261835,0.026441743613560748,0.019491483290092697,0.01938159047141068,0.03372057188885767,0.030744423407589816
4,12.0,0.016755193807266987,0.01876684658610921,0.01848203525140656,0.01765324131527204,0.01637859102577165,0.018308871472530273,0.01759424557222381,0.016833885452357124,0.0165623414085774,0.018465531752786257,0.01850869666340524,0.018102877529645848,0.019157232699126173,0.021186926597276595,0.01959689058903929,0.01994110679863323,0.01694252320335218,0.01759376570254084,0.019013625461710797,0.01778857650431299,0.0178501580466732,0.01870186792736837,0.022352846126834275,0.01788970286953103,0.018541030243097,0.018082736190122118,0.01876806365715119,0.019906136637224386,0.01815425526756198,0.017848363719645984,0.019175151030402477,0.018982666136256387,0.017917933374480506,0.01935336690798678,0.02735694737516888,0.019909256612556415,0.017995981336409526,0.018776043546931114,0.026460812995707027,0.023153844162315185
5,13.0,0.01511807232203857,0.01730885199291401,0.017638693759701236,0.015534241232177495,0.014647183407620315,0.016426609315107338,0.016496006408459152,0.014912398820136712,0.015185344475516458,0.016873974511221607,0.01722018092280268,0.01604645681948448,0.017409314875423826,0.018298361475399365,0.016644584856495774,0.01782494202612454,0.015321608835068461,0.0158906694242853,0.017119227315593406,0.016285923986451796,0.01656113453515353,0.01633646594817757,0.018613895979661725,0.017003583219670264,0.01662650001970778,0.01589269216173077,0.016444890719573408,0.01771107372993372,0.01626466619995771,0.015618783629572133,0.016198405026857283,0.01676863744669514,0.016159411590441736,0.01689292293216353,0.020829981117613063,0.017828102176086952,0.016039552706696037,0.01622329090405477,0.019629423105316575,0.018947771196768208
6,14.0,0.014510891625553805,0.016707389044879766,0.01622473094746723,0.013769275595517555,0.013958943505954667,0.015457931611980016,0.014928126013590157,0.013228114806156337,0.014829743682624349,0.016210124270140965,0.015708464796534823,0.014210406715780709,0.017049119767142133,0.016313949286865845,0.014460736967595294,0.016104650741062182,0.01492735492599307,0.015200385932398692,0.015067166430695526,0.01467639161714553,0.01569805121603214,0.015393454779828057,0.016185666249598593,0.015798185875678883,0.015563208993179478,0.014590585707738845,0.014959150032739699,0.016001023070964612,0.015181787316060713,0.014409321459117521,0.01482844148771998,0.015291461051105595,0.015067633976803697,0.015843929449496388,0.01768649691959359,0.016323811871635677,0.014847613901068667,0.014564413026256974,0.01608719626916867,0.01603878949446383
7,15.0,0.013630733738054939,0.015464201717952559,0.014956018693397702,0.01257302169829082,0.01321454975263874,0.014236389139112331,0.0136707126633406,0.012273806973384245,0.013925513007572327,0.015004819431135881,0.014543704804057124,0.012917669228861754,0.016290994486680227,0.014686667181710383,0.013512454794053459,0.01508237878335628,0.013815418535277445,0.013824912922751405,0.01338328085087693,0.013401105665318882,0.014276516690873233,0.013545986464810271,0.013959194070584161,0.014972497996251711,0.014195764900569565,0.013310873423922499,0.014289238157909064,0.01484857325775542,0.013818314734589906,0.013207725377784772,0.014622991930487847,0.014577227159803252,0.013659283790440267,0.013847540848873179,0.015101629161513053,0.01559731007236717,0.013632326225653597,0.013116053011150096,0.014308747112907255,0.01463475115021353
8,16.0,0.01273114448761214,0.014137935363529936,0.013444764676351481,0.01176841042347615,0.012457703125861495,0.013162371975937245,0.012405360425113605,0.011481995844786172,0.013033810244970714,0.01376988467730408,0.013221020798693863,0.011968553117945474,0.01546733473322725,0.014029958868786616,0.012983109474746476,0.01426954626759122,0.013034029968966075,0.012843539411803391,0.012250890644317138,0.01237942666863991,0.013310653892697333,0.012600889250664589,0.012808653569878207,0.014028955643124381,0.013290190340796761,0.012508724504182342,0.013621521328802013,0.01400722224466824,0.012917876346450762,0.012402626674659084,0.014355291693048881,0.01414321278738109,0.012822777446464822,0.012647075683424982,0.0142494038270358,0.015058730209321022,0.0127577472155151,0.012328679285121144,0.014082417745554417,0.014100025253029657
9,17.0,0.011574824983362443,0.01247416544847374,0.01246262406169985,0.01135188580516053,0.011481096919798232,0.011811528218800306,0.011636325989552443,0.011038878358013393,0.011857484934143089,0.0121624065695679,0.012333939338166526,0.011552216287407102,0.014506193946750442,0.013517196854014828,0.012990578113948308,0.014113360458830245,0.011784331619376616,0.01166917524434828,0.011646515019759546,0.011848981618291765,0.01201063530250711,0.011255188803858885,0.012111217683006423,0.013639783366090374,0.012291115472110753,0.011781541373099573,0.013094410414028482,0.01335889125519006,0.01181184727932603,0.011433467412809551,0.014022423949458,0.013782722402203216,0.011644220905327846,0.011171289861057546,0.013690137099969442,0.015139049894271742,0.011660723029932835,0.01112784331953722,0.014025456590858163,0.01439272339653331
