,freqs,gc_R1-R2->Fp1,gctr_R1-R2->Fp1,gc_Fp1->R1-R2,gctr_Fp1->R1-R2,gc_R1-R2->Fp2,gctr_R1-R2->Fp2,gc_Fp2->R1-R2,gctr_Fp2->R1-R2,gc_R1-R2->F7,gctr_R1-R2->F7,gc_F7->R1-R2,gctr_F7->R1-R2,gc_R1-R2->F8,gctr_R1-R2->F8,gc_F8->R1-R2,gctr_F8->R1-R2,gc_R1-R2->T7,gctr_R1-R2->T7,gc_T7->R1-R2,gctr_T7->R1-R2,gc_R1-R2->P7,gctr_R1-R2->P7,gc_P7->R1-R2,gctr_P7->R1-R2,gc_R1-R2->T8,gctr_R1-R2->T8,gc_T8->R1-R2,gctr_T8->R1-R2,gc_R1-R2->P8,gctr_R1-R2->P8,gc_P8->R1-R2,gctr_P8->R1-R2,gc_R1-R2->O1,gctr_R1-R2->O1,gc_O1->R1-R2,gctr_O1->R1-R2,gc_R1-R2->O2,gctr_R1-R2->O2,gc_O2->R1-R2,gctr_O2->R1-R2,gc_R2-R3->Fp1,gctr_R2-R3->Fp1,gc_Fp1->R2-R3,gctr_Fp1->R2-R3,gc_R2-R3->Fp2,gctr_R2-R3->Fp2,gc_Fp2->R2-R3,gctr_Fp2->R2-R3,gc_R2-R3->F7,gctr_R2-R3->F7,gc_F7->R2-R3,gctr_F7->R2-R3,gc_R2-R3->F8,gctr_R2-R3->F8,gc_F8->R2-R3,gctr_F8->R2-R3,gc_R2-R3->T7,gctr_R2-R3->T7,gc_T7->R2-R3,gctr_T7->R2-R3,gc_R2-R3->P7,gctr_R2-R3->P7,gc_P7->R2-R3,gctr_P7->R2-R3,gc_R2-R3->T8,gctr_R2-R3->T8,gc_T8->R2-R3,gctr_T8->R2-R3,gc_R2-R3->P8,gctr_R2-R3->P8,gc_P8->R2-R3,gctr_P8->R2-R3,gc_R2-R3->O1,gctr_R2-R3->O1,gc_O1->R2-R3,gctr_O1->R2-R3,gc_R2-R3->O2,gctr_R2-R3->O2,gc_O2->R2-R3,gctr_O2->R2-R3,gc_R3-R4->Fp1,gctr_R3-R4->Fp1,gc_Fp1->R3-R4,gctr_Fp1->R3-R4,gc_R3-R4->Fp2,gctr_R3-R4->Fp2,gc_Fp2->R3-R4,gctr_Fp2->R3-R4,gc_R3-R4->F7,gctr_R3-R4->F7,gc_F7->R3-R4,gctr_F7->R3-R4,gc_R3-R4->F8,gctr_R3-R4->F8,gc_F8->R3-R4,gctr_F8->R3-R4,gc_R3-R4->T7,gctr_R3-R4->T7,gc_T7->R3-R4,gctr_T7->R3-R4,gc_R3-R4->P7,gctr_R3-R4->P7,gc_P7->R3-R4,gctr_P7->R3-R4,gc_R3-R4->T8,gctr_R3-R4->T8,gc_T8->R3-R4,gctr_T8->R3-R4,gc_R3-R4->P8,gctr_R3-R4->P8,gc_P8->R3-R4,gctr_P8->R3-R4,gc_R3-R4->O1,gctr_R3-R4->O1,gc_O1->R3-R4,gctr_O1->R3-R4,gc_R3-R4->O2,gctr_R3-R4->O2,gc_O2->R3-R4,gctr_O2->R3-R4
0,8.0,0.022851829290016213,0.011948800008372017,0.025785118389099894,0.02709360184640843,0.021740537482693157,0.020008690804372266,0.037269743091250265,0.02433715668774994,0.01678290005139047,0.008741434403193438,0.02502704079913798,0.015394757097375589,0.022802495543292167,0.022796366220339336,0.03574936831299809,0.023666852181545295,0.018576499033247984,0.012203953769770237,0.020613928992409568,0.020127665292602615,0.025420429095816387,0.009668660644616267,0.015856470286151846,0.020400872004336178,0.06211498521673135,0.036065237086903325,0.03348201755665627,0.07244813753971399,0.04554830263803211,0.038964458773313025,0.025159218955651853,0.05865742130197873,0.018853912436387787,0.01183093664718271,0.004769437102328311,0.020326747806161904,0.01633431845810591,0.02868133056298987,0.01782498643146866,0.03092675175172772,0.03496425635115088,0.03774959991497653,0.05179324424907463,0.036076595117731355,0.03188331007074012,0.07768879603254888,0.0883064335721457,0.04236641467620572,0.03143332737730873,0.03234626634720641,0.05127785499237518,0.02702858095280334,0.031797818334985094,0.09062413142706091,0.09350228210727707,0.03592387787438796,0.03235233922004852,0.027442693361839333,0.027035136100959534,0.024387832474308625,0.013277484152910546,0.01349200647970079,0.005579862615184084,0.018751045852075522,0.04053324915162619,0.10196840377073002,0.11271873188513268,0.03822421997637519,0.038311258119396285,0.060954365618096064,0.056940360462731834,0.04734787543171137,0.01855863271423388,0.01957319531747288,0.007714228695367353,0.03374775679631696,0.03675800183380886,0.027782111291824663,0.018058775228848845,0.04555021628544296,0.021326166445282978,0.0181840991469862,0.014282492143262715,0.026028617476575987,0.01720739243426621,0.04189204003108386,0.049391016771466664,0.02410810068892886,0.03454992433423598,0.019629424844529807,0.020535277700746236,0.036788916778297674,0.017163762806141847,0.03085457199766637,0.03363854348783235,0.01836647759948562,0.06927814861401771,0.023988792851015718,0.023788720603963753,0.05551595520515562,0.031534582453395646,0.031337232066665166,0.02827279331872745,0.035811904916225504,0.00672195510421858,0.008730098633733974,0.018573099568190088,0.00958782503245601,0.007829436613913998,0.05219124024766231,0.05426020108061138,0.01569217364633957,0.01899289394400796,0.03626688844763919,0.024215217890263575,0.02538435546944413,0.00929974181366262,0.07678380933429381,0.04496601215614646,0.02042919869210067
1,9.0,0.02071135680935754,0.02085037340401712,0.02731637074767832,0.019215482384646522,0.029630032274123863,0.02291890305595743,0.020686781099016116,0.02218397816553974,0.015134952046964401,0.016713169222170164,0.03223681312268027,0.013691666742138864,0.03261808342482055,0.036020744954024055,0.03467690957144498,0.024565852809641343,0.01654562271731308,0.030278351658436974,0.03895959034392575,0.014381154240283679,0.01576050576862187,0.022482344342861182,0.036370752864223733,0.021025444194621202,0.02445876617399918,0.06233815954272472,0.05784578786248033,0.018540457261442357,0.017050236074130965,0.049130986776663124,0.03777487943824838,0.01873816242561759,0.018640121602958006,0.022277365359611424,0.019139140976768942,0.026524057562811267,0.011638891064357892,0.03364211145961775,0.024132765717045857,0.025447155113343455,0.024571296784056784,0.0484825763881787,0.042538755055149834,0.0156018981954972,0.031676902954903594,0.07302462668428618,0.05788932995783469,0.028619222981181025,0.018940420952451832,0.03405319917088221,0.03563733493042705,0.007611213778405812,0.03208028550656437,0.08153946659988662,0.06641642239946251,0.02771596978994495,0.021259523103910282,0.04670588009136693,0.04082620507537697,0.011148132005197908,0.01923897764607858,0.024553309706507775,0.021752401964891987,0.024243081119823272,0.04322676985959788,0.10002933982168756,0.07939785226395699,0.03219436789260186,0.047666606353499216,0.05700495236984153,0.039505525112267036,0.04228905318702374,0.028213601464842242,0.035747446967702955,0.022582736834942097,0.037060608817248666,0.03816183692817319,0.03407823108229309,0.02417047594833548,0.03866549083787944,0.014715462520019429,0.015629161601946606,0.019859575608697354,0.019972865639109473,0.01515798289994379,0.015301993291674166,0.02383851913604431,0.019751927392881896,0.014828763846399085,0.02378700777527456,0.023685433945002644,0.02302867296511977,0.023175088400056155,0.01850877020464452,0.021075698117570596,0.025616623642586232,0.027598156474315516,0.01998937099921605,0.03182924576889832,0.02605342633876333,0.011088703222483787,0.02508467523203848,0.034108388854756554,0.01573175562346165,0.023455936044808112,0.02944678390568356,0.029712485954588884,0.030432878493117953,0.023047988081175676,0.04925728121956041,0.04561655083050979,0.033312009036924904,0.008065043858768916,0.03283398279600149,0.04023727389658731,0.01776979756847652,0.02671353089257451,0.03836596358993276,0.040561591799443165,0.040782294508932185
2,10.0,0.012379050522432777,0.022973191040440356,0.01741138662223136,0.007782053894666063,0.014713107857071606,0.01823602343500923,0.015681970709704986,0.010649322683349283,0.01043921357559654,0.02125189243534109,0.022380756963642768,0.007034378400758356,0.01841074162666274,0.030782207512999094,0.031033604937577765,0.013275766696584413,0.010945615480859771,0.03498535523043742,0.02617656940874724,0.0036980618424323096,0.014574215755538944,0.02438705666462724,0.03258322893876979,0.012861488910640873,0.008169558459454862,0.04814192779864683,0.03667550459798434,0.003757581792746123,0.01006553925125786,0.03829598047999028,0.029635519274855682,0.011800697903324674,0.017149035166031012,0.030097309801973893,0.030323931228411993,0.021537162516542453,0.017173626104178653,0.030965908923395347,0.02691652321188016,0.03773448279651106,0.017225913406953453,0.03458250051961329,0.02761711990101503,0.0157433199681023,0.025648562897879403,0.03486701422427814,0.036676513372106714,0.023925686683830348,0.01294329796005229,0.025176420016574497,0.02005973499555296,0.009489585019014868,0.019030411202766828,0.0476104781529962,0.04897630078940622,0.016200234238890943,0.012421587424687885,0.04753031524922875,0.03353916386383062,0.008616583000031142,0.028330677697303484,0.04699543283479102,0.03730680294448376,0.031024622326227557,0.02705549498767539,0.06316039947423775,0.05841994037052274,0.023839201467968963,0.03135693686311356,0.03471773156092297,0.03444717843106915,0.03155157122482137,0.033093633592935136,0.05168442255858565,0.045708916438721305,0.045187010082883464,0.03370565001937535,0.029683053882762777,0.03624181654443959,0.04282399797706873,0.01658886031562119,0.013294947673734469,0.021643066986033688,0.016075504455749724,0.011143144191138533,0.01096599578152464,0.021310340077708646,0.013348249286053715,0.009858446262854415,0.030415141165055105,0.0302546708609583,0.011663296503871124,0.012957818165827462,0.024599572695263562,0.031578701067826384,0.015306622316207098,0.016040335419231156,0.023405026897553683,0.024775315226296613,0.011868074557661146,0.012296107652793608,0.024903228316103566,0.028097322934324608,0.022806367341080148,0.036550366015745794,0.03674341328689153,0.041858814540427856,0.04363480523396816,0.04580920081658633,0.04058957182885976,0.039786294554526334,0.05304671227457121,0.01974918696791903,0.020549078968139865,0.02851476792605041,0.041510803854754384,0.04734325445188148,0.021540270865861542,0.02451083146791717,0.06335597885970615
3,11.0,0.014021807463844738,0.013214655805501251,0.014311043431757042,0.015013384332723234,0.00931198995298459,0.02050635456085459,0.025757185415052675,0.007696099824814695,0.017515239294232286,0.013363371981762384,0.013491532341689094,0.017772456632071255,0.011421345583946163,0.03023732400292971,0.034279812523239174,0.007447716650118253,0.019176282792903974,0.022815929465952678,0.01872985495835806,0.01302179640930774,0.013304226644372363,0.020105722015180304,0.02783459712596965,0.013466889457334475,0.009508827851087887,0.041904768806626434,0.04094576705835351,0.00876509136089183,0.011815245532199014,0.03667027759422368,0.042136245804503855,0.018529727964639163,0.012212130651037257,0.031164975575529042,0.03988641206919823,0.016959130421599865,0.011263139143769507,0.04081569214327061,0.04963174926527927,0.03701103321937325,0.008190960425654481,0.01706710284232784,0.014572901075741385,0.012450600321025717,0.012220840338734006,0.020716846428064883,0.02374125483218208,0.011722364499412663,0.011741481713050917,0.01002640607735259,0.009187739686353068,0.014416068352408473,0.011637745631684026,0.03457875254942451,0.04213323501349606,0.009818733495939114,0.009460265458606898,0.021959920922048327,0.02049589979133657,0.011213602182119331,0.020406331926200495,0.03282415348326921,0.03744990557302259,0.026785996046525894,0.016215656538606283,0.03576715332594702,0.04486287172064181,0.01684643898412048,0.015848738918258932,0.016026310116608045,0.029323486179363555,0.026442789353591678,0.027021023216065743,0.03923052093830677,0.049442281924120125,0.04189725445854862,0.02133940968767547,0.019417754129927543,0.043008593875246956,0.050039802249524,0.008956717846655238,0.01168743803779435,0.01220470309016548,0.013748257173131152,0.010045772276136945,0.012899230411696294,0.013138902940647058,0.01196355865150096,0.004960872442452313,0.024733818926094386,0.023889568300017316,0.006783503930686408,0.010478090200943058,0.017968546517559504,0.02080369223161114,0.013158555692310614,0.007190303077999971,0.021057647197425665,0.01955426678693186,0.005270353113710513,0.006782449751463559,0.01620559068093641,0.022398907914882926,0.015424273908451625,0.02295079189156084,0.034161342353358035,0.029652352729284105,0.026358307205313736,0.024082595073427627,0.03348470636035046,0.030352423934002105,0.02871594052399189,0.014548231167205472,0.010707217521388656,0.017388062879846445,0.03186672707583824,0.026275217509403603,0.01658340819976445,0.015924741190386272,0.03860229658200538
4,12.0,0.02251817667179523,0.01400978782066602,0.023586615073956808,0.02869104857772129,0.016445082812558808,0.022416904795145597,0.027416090060796705,0.012731813738759002,0.027900348680586974,0.013944883141987673,0.02303372073679739,0.039450810379041454,0.013286235789404799,0.034270698615291195,0.03152248590174409,0.006141720952056317,0.024705731619392424,0.026623941705991427,0.02871350226717908,0.02103198809781759,0.009106993377091043,0.030586383466297207,0.032110875544533714,0.017714258960762664,0.012878730289952501,0.04666375010911565,0.04759487339798696,0.010592768646490924,0.0185655440981769,0.03973569452541596,0.05905848848205508,0.03347681587080729,0.010370583744149542,0.04628920788738,0.05165397720042222,0.020540124733179253,0.01542135574008654,0.04692050926007383,0.08818174065889792,0.053933285161183876,0.013637146414433232,0.01197539811569186,0.014444778968327654,0.024502859132473985,0.016005603200731144,0.014705831409904845,0.01699857744787252,0.016828405305466275,0.021854245574842678,0.005700564261839958,0.009290188941204747,0.031281813919297005,0.018668543448394814,0.023184885632279162,0.024070632412070837,0.015993198389034548,0.014913938276787064,0.013742384931099139,0.014793551214169299,0.017225756058049057,0.020857260800732292,0.026862533258817933,0.036552531206207564,0.03341561890338838,0.020147842354221977,0.020824498429227845,0.029600561598955723,0.024902053002470836,0.016584168528427055,0.0113412933616587,0.027411839399719896,0.0373733875511725,0.020384042182837448,0.03478727140096609,0.04587199418308359,0.03663754276219677,0.015936616186578333,0.016699733977206678,0.05424187648261949,0.05482749987763853,0.004595984745807158,0.010145698376557988,0.010504365865003251,0.01207057028752061,0.008119990789086984,0.0081121030904022,0.00801837020647227,0.014534240778514373,0.009854311736322074,0.021283274648693153,0.023312076109468904,0.011723558038191584,0.006183955731910373,0.008707512801774443,0.008983743221843098,0.008465237666650438,0.012094737739878524,0.01602828148199791,0.019511771377514718,0.0110652198260631,0.009131570775944908,0.012316628733740486,0.023844564964392134,0.02010343932505876,0.010672834455326807,0.02328571519955176,0.022840739146990786,0.012029129741895161,0.009873817262291595,0.01840913618312996,0.03159891696790851,0.020505705682093377,0.010224377684112796,0.009389287812726365,0.023967950818268947,0.02766951459266238,0.013578386342528148,0.011847140216973173,0.020306704657804174,0.03016692723401846
5,13.0,0.02366471991489618,0.014778809066836374,0.023301909308973023,0.031086668404611117,0.018498676188212927,0.016644539832239503,0.017652334943748117,0.01581602048833446,0.02720527626145568,0.017236908954946985,0.025268235308227104,0.03500220528939622,0.01534600524926688,0.026381964505758047,0.021458085003776974,0.008157440882938261,0.016552784593229574,0.024091722990737453,0.026288245389772414,0.013913623545323616,0.004677387497323338,0.028116538684196966,0.0238428602053375,0.01335233012203858,0.015752476624721366,0.032222125257796816,0.02743196009940476,0.013048812786519193,0.017792576111247627,0.03012563092207543,0.0392629595765797,0.035256960577717676,0.009285029525364053,0.042664255170090114,0.04509467070376658,0.01990951415654223,0.014354519971288938,0.03996651996038025,0.07071896227952976,0.04387043659363954,0.02008093674144291,0.00917409134791356,0.013748707890103162,0.031722383291248234,0.019232422321629628,0.00924820439183378,0.010426544495390998,0.021194653521343552,0.0338481959403019,0.005805194853455475,0.0128479759331114,0.04075983250701469,0.028486999087080987,0.013840539033807886,0.011093165783870517,0.026316515946315632,0.021572019362539406,0.013917222775138072,0.012897343161374409,0.018543709581606293,0.020997809122375345,0.021049165689596094,0.029251769228223878,0.030683693749298156,0.025118491629086036,0.018439754306782418,0.01883794927449216,0.033364121101028134,0.019239605495093313,0.014506429493540907,0.01976346857609528,0.031092226838460846,0.013534921157600622,0.024858565829421763,0.03365869067392282,0.02202621400618554,0.015257865211670208,0.019012254255046202,0.043558067132997993,0.03303551705385388,0.0032110112120378176,0.013110930155383472,0.014118541829519415,0.009762242639956042,0.00796067872652273,0.009359015470609222,0.010388181300296395,0.012255559805535655,0.013424172822091407,0.019375424565877354,0.019429891812207244,0.0155918646983352,0.0057436533623146605,0.011503453554242071,0.012504996486098463,0.007815421761715412,0.012650874241953148,0.016027562475012046,0.018373096020965818,0.014408590392598342,0.011547901958584817,0.01159115128501611,0.018122883365398933,0.02596752502835713,0.007089899625010077,0.017805335763520704,0.02157371599574276,0.008783930312627319,0.005883294104245351,0.015231747097131886,0.03134360417855362,0.015043716398876939,0.008812214165295984,0.011744659300772042,0.023341878822252228,0.028119943811448424,0.005869865761160042,0.01625142257338865,0.028388549176151655,0.022030363246700803
6,14.0,0.021388342492085145,0.014274807329105955,0.017903363111192762,0.02492668628106287,0.016535872367949622,0.008638747528056712,0.009088274513626971,0.01660460963308452,0.023470891924775826,0.019027581459427977,0.01909680894652155,0.0255260438287074,0.0114112807620117,0.01523834162212907,0.012852341700259728,0.007964962073521775,0.00902808235497261,0.01629484098164724,0.016943033619134695,0.0071672661960732855,0.004174779788444738,0.016033248617605265,0.014104322057320217,0.012110117397962483,0.014242024970567257,0.01892009374290282,0.01358806062601019,0.011420442955437694,0.01579530930359141,0.021827675850451554,0.02293113368678732,0.028314145120015864,0.009095751686751896,0.023227882052286476,0.023624503964732212,0.020124796120484234,0.016813613059926524,0.031211629394553596,0.04035201611343311,0.03542589422411595,0.0262779500507051,0.012685678285383518,0.015862284313391938,0.029088123434125635,0.02312175371594307,0.007094752096804058,0.007309236699270372,0.02359367218064179,0.03189077168962555,0.010561600889437273,0.017421369023745824,0.03397033573357575,0.03077389300829623,0.008261689699565977,0.006392936015348028,0.02899721512651965,0.021845475846413366,0.015189443758860933,0.011573140880307874,0.014051063134502328,0.023595073056772265,0.016094535089499828,0.02008152748851586,0.02804977806600988,0.025795749018428894,0.016151054536097574,0.013842438350924625,0.03295306242568898,0.021043884267147917,0.0163614928063879,0.015498891122549452,0.02325418988568657,0.013396816030826385,0.01744002783343319,0.021496266721754153,0.018731671975896803,0.01900703573698124,0.0230023459771175,0.0333932961559853,0.021956946383478025,0.002497768372672482,0.012889410822812409,0.01488734475646325,0.007356784531300065,0.007311661440547823,0.011594825356022654,0.012547173700767189,0.009662539333975673,0.013074560710176542,0.016468508810703497,0.015578881483813234,0.013335121140046624,0.006489792044802556,0.01574456613302786,0.016209530267570216,0.00911695078412933,0.007233574217826088,0.01857452727041462,0.016796120687661897,0.008680966442703664,0.013861094995401401,0.01210833017368742,0.012229132360324257,0.02069800663295638,0.008007249669694261,0.015698799234703388,0.016234841892988072,0.00994150210009721,0.005261953308738044,0.015581684836609355,0.01918317693095304,0.010886985067480736,0.009105629832257022,0.014886769619199925,0.016858488041658147,0.019024483390828094,0.006401101624767591,0.019410389107876826,0.01811892317041952,0.016800483086435492
7,15.0,0.020431408966086907,0.01693016225992281,0.01973502445982973,0.023067815596186137,0.01667375194542302,0.010112045927523638,0.012163507266212292,0.01825173998372733,0.018823404438686707,0.018769889251783668,0.016539806102245792,0.02088025059181291,0.012242754807160593,0.010769367435446497,0.011440943628063138,0.010586588733436032,0.006996081421738865,0.01222972456168776,0.012447042460563296,0.007131162677674751,0.004351842267737993,0.009507551321797791,0.010942064982783961,0.01628611437763041,0.012354656826980915,0.008859106454970345,0.006694660359225679,0.011344569468702303,0.01165053660041906,0.015028535482203153,0.01641512810698984,0.01882949461886412,0.007954525759041075,0.009820923413918336,0.011717863978567777,0.023669919692798656,0.016302059967974004,0.020627750894761477,0.022469218126954616,0.02678715259458784,0.022431758640728817,0.014969528835464273,0.015653479866609386,0.020134793108054792,0.015310242256486362,0.010326610016689131,0.009334911767390253,0.0157768657624743,0.024957082762632154,0.013311075495258961,0.016784764319883294,0.023602850205718794,0.019986936857394964,0.007729804773380522,0.007285636426264119,0.01845466483968039,0.015891589187302914,0.012644438022156378,0.010481951445451188,0.010232680954892714,0.0205068473585186,0.011792849609278733,0.014273508082324327,0.021375947378206205,0.02119133279591523,0.010385806166283373,0.009026956696934008,0.024947042970644873,0.01813958164677132,0.014128500197409011,0.011336197857487917,0.01667529977250979,0.013182999828593722,0.015343727636971494,0.017809458390107124,0.013878872595495296,0.01947052659548021,0.025247385732387783,0.026160118047382497,0.015652880971222062,0.005439224211528426,0.013274959921088226,0.014124809659091398,0.010590866841511826,0.0062270293280271005,0.012467246959102595,0.01073226918205208,0.008386592303850193,0.015074021131243853,0.012255379473017313,0.011174748168664905,0.016195530536778337,0.007713333640766961,0.016285705983751342,0.016002763649224504,0.010920126821001474,0.005984189936166473,0.015543607259402136,0.013611783444089554,0.006606448618519068,0.011070567808049247,0.009660525798272345,0.005822914683232483,0.013083826446509761,0.007073133314250413,0.01148828853612045,0.01167856155194329,0.009430211885642591,0.005311348328041987,0.014493628830916806,0.011745821225090936,0.00825893287483126,0.007310873344673041,0.012900788593250922,0.007109988054720162,0.010116008989432856,0.007338071173561644,0.019661436097986495,0.009195994341387603,0.012721334773894455
8,16.0,0.02057495615505971,0.01640646000612591,0.018387611682574346,0.022586586815866384,0.015211738774758742,0.012699462166125386,0.014497333436025883,0.01915409765150642,0.014109970456085108,0.01699352616762937,0.014261473724073426,0.017465152175747532,0.013830555432525671,0.012275103949364308,0.01273923991151733,0.014303134081541203,0.00859045929074469,0.007992152610883351,0.007977133428387618,0.010648047152280782,0.006563586778188579,0.008376928198783417,0.006801755140541843,0.017398879568525417,0.012618305655228567,0.008874970975111297,0.008957117745150355,0.011861825127763837,0.008184130209097163,0.014303046610868364,0.015955304731281927,0.009731013278224055,0.008748049487549281,0.006404884916435804,0.006597297932575685,0.021676108391135075,0.018371367339646127,0.01604156874189755,0.016990024330875996,0.022771838936783695,0.017804025799537014,0.0152631246841473,0.015028465587578666,0.01887333342227464,0.014747162224112742,0.013627638354407168,0.012226051783892444,0.017121031986762604,0.0178803402371976,0.010905672951206213,0.012904035296162419,0.018865533730343033,0.015739757865332393,0.009807822350216355,0.009792450035487121,0.014869064545364097,0.00983283869737761,0.01010638063066267,0.009275712903165357,0.00863085089012614,0.015014843072571438,0.009137062154385233,0.01111073767186781,0.015118370591639518,0.019319583346678115,0.008236144141208258,0.008006860340719157,0.022723699271966068,0.014366559653448263,0.011635802254470206,0.00953802750942998,0.014411435029082043,0.013989221822608044,0.01720710462968782,0.019235223037792792,0.011181513998937475,0.018213999171296534,0.024459961716218715,0.02401777298919896,0.01413328126429505,0.01087595406315316,0.012786782877724789,0.012615165886740698,0.014676909398734495,0.006828346059543832,0.009691752904817007,0.007501082550047044,0.009327634685522668,0.01714663295845682,0.010596711641458968,0.00947242196533864,0.019698218286621483,0.00829045083203681,0.013321769236439707,0.012191732247121934,0.010114674260822909,0.004243993833669179,0.010331462405714831,0.010069040147969588,0.004191979065632978,0.008447881487829535,0.007550417269079901,0.00505764561447819,0.009392848195619053,0.007884416465705613,0.010045020160022488,0.01047793290458543,0.0072939070821639975,0.008119608099260489,0.012487154320454863,0.009017549547509418,0.008976704883497177,0.006540158740763502,0.01035019588403543,0.005051832441959903,0.009558946584724027,0.010969755027336704,0.01729312755878709,0.007490469437198754,0.012859624918880996
9,17.0,0.017471399101263073,0.014553144115781435,0.015437708086837887,0.018189416986190567,0.010005143222484492,0.019305320288120244,0.01876785407563162,0.01356515285152966,0.009097529681623228,0.013206026721604758,0.010547937589123535,0.013119056400907426,0.008650384712123583,0.01570493534579285,0.014984399221913946,0.011772493270314755,0.00766632958251634,0.004559461710410062,0.004683832652490593,0.009470130383502352,0.009246423288367112,0.00677646688821767,0.004554116023250998,0.016559353097448336,0.0107384747025705,0.008193102117627405,0.010219959987303184,0.010843402881808828,0.006114720134146268,0.010720927189857576,0.011343094689446786,0.005625087355279135,0.009157203695642125,0.006488644041007063,0.005754316686413574,0.01785890825135823,0.019782471210771035,0.011035391064352496,0.012737848038592148,0.020586447575076505,0.015407071410873385,0.015973191398686026,0.014382641534674435,0.01766517495648188,0.013395081133681685,0.014368275205612947,0.011336300200370885,0.01697170491398623,0.017656306395401344,0.0105843640181142,0.014641121358625497,0.018802273348961052,0.013170902091438563,0.007944931124203691,0.009321956670710563,0.013857487575268834,0.009016349508163301,0.011603652801144193,0.01261051682432992,0.010020378450616364,0.010927032211352383,0.010683217629459563,0.014778134800386766,0.011062970739735788,0.016136721702199708,0.006903505319388614,0.007203734066317224,0.019963331057957133,0.009709956642848284,0.01017359093868464,0.009858861641485816,0.010059632476595226,0.013285130245407117,0.019785032485284404,0.023464483439976647,0.009460447622122814,0.013917878106710902,0.020724127788169254,0.022634477713653213,0.010229747563641922,0.012141854122696572,0.009317825123788736,0.009026627581057767,0.013915893149845005,0.006618747563817351,0.006310851273293139,0.005193407742871159,0.009029351677497032,0.014498065544640327,0.009371502336353643,0.008533363968368235,0.016108712153717165,0.008232666794874176,0.009449055632070723,0.00876100817074743,0.008815398472286518,0.004340444852649483,0.006016715058372313,0.0069028010718653835,0.0037270522136047647,0.008685127935326876,0.0063011459822732265,0.007013110197237183,0.008801764635615683,0.007132991475804573,0.008865917264365208,0.009779457719809415,0.004342949753907988,0.007617569951833758,0.009317598586532938,0.009248931084199085,0.006046827291558543,0.010007528802383092,0.01126824255493375,0.008768937669214693,0.012428156407402469,0.01301710568804495,0.015364320885572625,0.010713092918923906,0.011563302223225946
