,freqs,gc_ab,gc_ba,gc_tr_ab,gc_tr_ba
0,8.0,0.02282648608257773,0.03037980561687176,0.028099867794367222,0.025074695733943775
1,9.0,0.02012474349800019,0.027710822944056603,0.02578733381781818,0.02199714457718834
2,10.0,0.019384156996620446,0.026904364385605485,0.02500241040433548,0.021804684409971575
3,11.0,0.018940094183442658,0.02195892145425827,0.02264772743708655,0.020284306619293424
4,12.0,0.019384708116618198,0.020177871091723382,0.020701050676595677,0.020468220371597772
5,13.0,0.016509349133674727,0.01800712739926405,0.016966348138765637,0.01826695258311507
6,14.0,0.01469613881712403,0.017092366801433823,0.015300895346004593,0.016870550574802263
7,15.0,0.012686667912296817,0.016011240592654723,0.013892192040798968,0.015086415616310104
8,16.0,0.011751573530254819,0.014501043252831636,0.012913868488404647,0.013546065895209465
9,17.0,0.010995997714033052,0.012796226708868486,0.011917864912346761,0.011984395924529684
10,18.0,0.010811384732889328,0.011363960047694393,0.01105959313374413,0.011057035658518552
11,19.0,0.010174979177771618,0.01048126422612559,0.010237717200104525,0.010153032258690358
12,20.0,0.00964311938944761,0.010040456298929462,0.009652444295602972,0.009620559367544778
13,21.0,0.008923597234666774,0.009741808937649905,0.00917089778130212,0.009205796728528498
14,22.0,0.00838806393685417,0.009264239092481074,0.00881447059768103,0.0087413336556006
15,23.0,0.007900854412267557,0.00872726867082422,0.008473863526646402,0.008215108974852194
16,24.0,0.007657988025168492,0.00790739379116161,0.008022161207738835,0.007656325685713801
17,25.0,0.007372592220832901,0.007228726548780239,0.00755145759050087,0.007172958020675123
18,26.0,0.0071355610398640655,0.006524312426361715,0.007018701622927974,0.00675058576875391
19,27.0,0.006836419188416906,0.006104469991578468,0.0066270204739874395,0.006394804678651366
20,28.0,0.006572215556628197,0.005767050496379373,0.006309925640727771,0.006075406383654502
21,29.0,0.006295622656241768,0.005616233846824594,0.006169279719904102,0.0058070204473753525
22,30.0,0.005998531011402757,0.0054176565440599515,0.006013694623010266,0.00553222306199666
23,31.0,0.005718466809382107,0.0052965032151021454,0.005912529164800622,0.00530153001956442
24,32.0,0.005432735089374417,0.005081853701897913,0.005702904247972994,0.005029913639920561
25,33.0,0.0052038469190999,0.00493855695700891,0.005533058767027244,0.004821866948340625
26,34.0,0.004954660783684534,0.004725787937570901,0.00528232075462681,0.004574710559740711
27,35.0,0.004764605312964832,0.004600266606434131,0.005103456244093828,0.004412333780003114
28,36.0,0.0045345067574563795,0.0044269377020996325,0.004881464348662746,0.004203679964926652
29,37.0,0.0043705123387235215,0.004326758033007588,0.004732312606900315,0.00407164586905269
30,38.0,0.004173489414436747,0.004189242439105703,0.004559589884349883,0.0038864304741611276
31,39.0,0.0040596769416549345,0.0041017425156215795,0.004438021062023654,0.0037771077181641397
32,40.0,0.003920428681206572,0.003987718140649756,0.004298927525551603,0.003630914158352986
33,41.0,0.0038613066823263774,0.003900788770171665,0.00418335688943246,0.0035666731058932193
34,42.0,0.003798638239883528,0.00382794529161668,0.0040795297972764846,0.0035026385866194537
35,43.0,0.0038111846160807754,0.003777617528300645,0.003993395455261718,0.0035169404423666044
36,44.0,0.003957183293735276,0.0039005514075431268,0.004075824333635876,0.003662902908330047
37,45.0,0.004221001669544244,0.004095232780059113,0.004230687920460486,0.003931609860275426
38,46.0,0.005822567469282459,0.0056809739448038426,0.005780437816521839,0.0055085297024028085
39,47.0,0.0071971998840047475,0.006989936465601187,0.0070542070387651255,0.0068772994933580574
