,freqs,gc_ab,gc_ba,gc_tr_ab,gc_tr_ba
0,8.0,0.01674364575392943,0.024239894599399035,0.018267660412715877,0.02341290632807584
1,9.0,0.019427360320670176,0.02140994759287752,0.020445479963089493,0.02150101400208271
2,10.0,0.02342460554380133,0.020481748620981326,0.02414451789560592,0.02046955721194971
3,11.0,0.03138679279179675,0.016557174568121835,0.03325390127231824,0.016473984206651908
4,12.0,0.028214206191824475,0.016462285473000274,0.029080235506761316,0.01657567635266382
5,13.0,0.020147458370869016,0.018790702927696006,0.020622471410477704,0.018861126432123596
6,14.0,0.014886519564360398,0.02439782887670551,0.015242358857351533,0.023715404292904838
7,15.0,0.012268485108314029,0.025241660247329305,0.012871567913188796,0.02344068496028199
8,16.0,0.011392512081379504,0.021726415027983417,0.012102136197682248,0.019742377275131954
9,17.0,0.010916359841130705,0.017110533503611837,0.01172615746660499,0.015414355625294656
10,18.0,0.01049782993392969,0.013893575303690392,0.011224116325099745,0.012522533045825108
11,19.0,0.009934931678401664,0.011995976599460827,0.01062679483765488,0.01093733212905915
12,20.0,0.009553472356787048,0.01064871171982009,0.010119167403871906,0.009999538754518483
13,21.0,0.00932613633336978,0.009633078115497708,0.009793855510854384,0.009265455121319502
14,22.0,0.009104443169505327,0.008694729233503557,0.009425659072838764,0.00847610953426218
15,23.0,0.008699815806027432,0.008046775923293803,0.008930122822567934,0.007861741416391408
16,24.0,0.008191525789910496,0.007521888858623124,0.008377121386714757,0.007345853012211622
17,25.0,0.007614441497585387,0.0072623632990274824,0.007803057289893717,0.00711559494266324
18,26.0,0.0071244906294971756,0.007035162217448072,0.007336370080943001,0.006885716231453267
19,27.0,0.006723158308169722,0.0069369094182903605,0.00695160102563652,0.006792167289389646
20,28.0,0.006389425772684719,0.00671310296395022,0.0066559232756234375,0.00652394243354434
21,29.0,0.006118374949524564,0.00650306078882171,0.0063844903369551015,0.006311931678734376
22,30.0,0.005876802886141125,0.006154094811986596,0.006148701942802239,0.005937699814175467
23,31.0,0.005677558944049241,0.005867570024391071,0.005916737196856647,0.0056653349770456685
24,32.0,0.00550592740884527,0.005514183894602404,0.005713884830876227,0.0053291327080571965
25,33.0,0.005355279599731465,0.005272145036821167,0.0055218638325914785,0.005122137916535899
26,34.0,0.0052164842280150074,0.0049782638270478435,0.005345795207141125,0.004865198728838038
27,35.0,0.005085686115833204,0.004800144596329871,0.005176800005182174,0.004727500992169004
28,36.0,0.004944473972518248,0.004553381158704153,0.005008041277658018,0.004511623951414692
29,37.0,0.004809273988824109,0.0044074053233460865,0.004843493653896787,0.004396625322966081
30,38.0,0.004653802194247571,0.004180226987038557,0.0046650621077812615,0.004188570605473755
31,39.0,0.0045055718777058,0.0040367489505100905,0.004488031690495844,0.004066332214121968
32,40.0,0.004349955640950182,0.003819604893978069,0.004303947018755409,0.003865329753184908
33,41.0,0.004206095502200251,0.0036791927734923474,0.004128665726439406,0.003745128196134852
34,42.0,0.004102783120935985,0.003516194080046874,0.0039935775825165505,0.0035980070221582477
35,43.0,0.004019462088110404,0.003441546862740125,0.0038840632571136265,0.0035368570889753896
36,44.0,0.004110247660449771,0.0034784963857337216,0.003947856491033975,0.003583343774431897
37,45.0,0.004254947813331773,0.0036482577722120922,0.004084103555899914,0.0037519057446965417
38,46.0,0.00560908514657599,0.0049437688966772406,0.005428623485174837,0.005044413160451589
39,47.0,0.006693812182127815,0.0060359123791661005,0.006533361603219226,0.0061075697685561625
