,freqs,gc_L3-L4->Fp1,gctr_L3-L4->Fp1,gc_Fp1->L3-L4,gctr_Fp1->L3-L4,gc_L3-L4->Fp2,gctr_L3-L4->Fp2,gc_Fp2->L3-L4,gctr_Fp2->L3-L4,gc_L3-L4->F7,gctr_L3-L4->F7,gc_F7->L3-L4,gctr_F7->L3-L4,gc_L3-L4->F8,gctr_L3-L4->F8,gc_F8->L3-L4,gctr_F8->L3-L4,gc_L3-L4->T7,gctr_L3-L4->T7,gc_T7->L3-L4,gctr_T7->L3-L4,gc_L3-L4->P7,gctr_L3-L4->P7,gc_P7->L3-L4,gctr_P7->L3-L4,gc_L3-L4->T8,gctr_L3-L4->T8,gc_T8->L3-L4,gctr_T8->L3-L4,gc_L3-L4->P8,gctr_L3-L4->P8,gc_P8->L3-L4,gctr_P8->L3-L4,gc_L3-L4->O1,gctr_L3-L4->O1,gc_O1->L3-L4,gctr_O1->L3-L4,gc_L3-L4->O2,gctr_L3-L4->O2,gc_O2->L3-L4,gctr_O2->L3-L4
0,8.0,0.019986290347317203,0.023403887475516885,0.02573332301394562,0.020147424011158946,0.020456906305584645,0.022359454330073757,0.023413052196586855,0.020047296322959613,0.021329333693751673,0.022630973666528015,0.02314246805886024,0.02241277971387957,0.021405220945024873,0.022382071442143207,0.021820780057416247,0.020864342430684153,0.021682166107585332,0.02175657104324367,0.02116587594669425,0.020361195727996734,0.021741186801906988,0.02151202720283386,0.02032356106844893,0.02701799495488902,0.02276588613804081,0.021276532122979065,0.01985291633291141,0.020469336949943948,0.021308249958383943,0.021284399113253655,0.019872992942045038,0.020336184176591835,0.020299294760205446,0.02052392760379325,0.01814287713697409,0.019577591700696416,0.02015515735744879,0.02210035840514616,0.019012178622527458,0.01814723520203458
1,9.0,0.018853741331341718,0.02050816451759379,0.03049359665391806,0.027208666820087712,0.018717748939893225,0.02001052595115479,0.02863059152697882,0.02678497012955065,0.020234619380111743,0.020284806831595007,0.02816865039251029,0.028610637900185636,0.01964481776651404,0.02037436228799124,0.027481002437622085,0.027280860538251395,0.02125725606431125,0.02016324850278528,0.026364637781553762,0.026943215898998365,0.020744118524894804,0.01968239406344865,0.025193738135142175,0.033210791681757536,0.020144147652553224,0.01942921915746025,0.0254005068034859,0.026881207014214138,0.019509042937376007,0.019916192879871068,0.026524098195904046,0.026212739305857945,0.019388598282370457,0.019892890960262213,0.023492878280352025,0.02403778301005969,0.01972504527044319,0.022165983650487386,0.025618638989218085,0.023647848143830207
2,10.0,0.017257648658460356,0.01898779570524538,0.02491844473321883,0.022097374183683537,0.016518598688445265,0.017751455664149023,0.02206675494037874,0.021229087563730792,0.018884066988450205,0.018941292884639374,0.022510809879907664,0.024377620430057666,0.01716343049712863,0.018052086628499355,0.02106316955192626,0.02182117237515583,0.020024694617168666,0.019734036343338826,0.02271798891600485,0.022801750740270688,0.019304631014341773,0.019144324128854192,0.023187188806987936,0.025949401296926633,0.01740833013391578,0.017884090690764583,0.021891797430147544,0.022857515589920562,0.018093953310039712,0.019089812582727166,0.02249139974287852,0.022374480861489018,0.017831030862425556,0.01951664638791117,0.02212243417190195,0.020422234816713687,0.019208338582927448,0.021088034502046146,0.0222273682729028,0.020694975096008997
3,11.0,0.016558658878228556,0.018343092366940997,0.022298309189617532,0.018526843289318817,0.01562666215150117,0.0163871745337141,0.01962573820377097,0.017672665692555815,0.017565953255729065,0.017008501011753663,0.01906808857054837,0.020174380541279336,0.01580177930293868,0.0161503842221935,0.01856651804140681,0.018217000011347052,0.01722848954951951,0.016657187401317154,0.02075969667860532,0.02077210044013032,0.01666546404116177,0.017127815526968095,0.021368345313359183,0.02234211143501549,0.014789877577380362,0.015459218830859838,0.020467963319084723,0.02027531521915493,0.01620950122295575,0.01722605498579876,0.019597585578095055,0.01897264527946051,0.01554624349596426,0.01685374400466894,0.01877447837877363,0.017322796793552635,0.01696195316059,0.0176996081106616,0.018137828783691228,0.017827152959988858
4,12.0,0.01743600946299765,0.01937411873478215,0.02026481575645169,0.016451568817210126,0.016264349600560956,0.017467634406960218,0.01790783586353406,0.015800223432124044,0.018149258077174494,0.01742306733561903,0.01703315611115799,0.017659332547195348,0.016723523579176114,0.017119086359463565,0.017122271682306796,0.0164281279522054,0.01666989128823584,0.01564669632041633,0.018902867692876593,0.019126202833498456,0.016357663836200954,0.017237279695000534,0.020034965665883652,0.019574789091931454,0.01525086685478894,0.01533929688033403,0.017956629988259455,0.01829371073125123,0.01631273120048036,0.017025393544803973,0.01728792168657736,0.01671251573569011,0.015308644249358972,0.016887764551522653,0.017522597176914345,0.01588233809212194,0.016220465273857225,0.01759403033948583,0.016633652136653607,0.015828146459981447
5,13.0,0.015655175560892128,0.017572188743876147,0.018476015970541923,0.015353008237264255,0.015148457987160422,0.015656143460052098,0.0159323156998205,0.014853417909446347,0.016250120283577123,0.01586542667768902,0.015095657500010585,0.015582720299277526,0.015440990200264177,0.015711562586354665,0.015254516801434276,0.0147672675796704,0.01515843293982172,0.014430022527347418,0.01666429744204111,0.016605725369050563,0.014905903752963579,0.01614443433081023,0.018097726378053108,0.01851572989917074,0.014174497379503782,0.014507801988804926,0.015421591446334499,0.015521377627086228,0.014525736377602582,0.016058697451829133,0.015771102338940687,0.014610725737666164,0.014163405733808034,0.014875100480333617,0.015658022924267684,0.015379479090784017,0.01450478234905462,0.016480912251513897,0.01576739004096577,0.014633458696267677
6,14.0,0.014459810983425699,0.016446434611856058,0.017973756722761195,0.014358040725697997,0.014493589450077652,0.014655071184553902,0.01512804242051382,0.013995725602125905,0.015064127249910512,0.014717603692576242,0.014274480252478567,0.014405943049086475,0.014732521047743433,0.015297159368084295,0.014161119940583292,0.013401835819294959,0.015211643643848805,0.013988030867712237,0.014799020940399085,0.014804100853822572,0.014781466256028669,0.01606805422086803,0.016890959404458453,0.017397726666667494,0.01408139535382564,0.014765977139103504,0.013306140755579603,0.013284287311740263,0.014257872164658824,0.015581794356986561,0.01425770739210785,0.01371627742853142,0.013424590728024693,0.01407799946847751,0.014516067694988352,0.0145340391763837,0.014049181012201066,0.015883948786837906,0.014929831266957346,0.014187925415662883
7,15.0,0.012982370177669147,0.015021627883214426,0.017704150155944922,0.01355697764658611,0.013292839044124165,0.013290098566231517,0.014685287739451327,0.013297628011203648,0.01353002417333829,0.013361460083134045,0.013706578333612994,0.01356507082775914,0.013506266231432761,0.0138120353177202,0.013291628536705284,0.012609312452156721,0.014643669828710038,0.01302544854189537,0.013848575510721432,0.013751246796825758,0.014007037563217998,0.015322941468355306,0.016183731868489468,0.017019272270765287,0.013602190300816094,0.013594177630578077,0.01198083689790192,0.01242750432078115,0.01349062332282345,0.01434573846934596,0.013401589768097853,0.013294649866676585,0.012128688418980144,0.012778071076901215,0.013369819730702413,0.013585739236732787,0.013220043628627099,0.01455571591143249,0.013974186101060241,0.01374327260463446
8,16.0,0.012542912584442973,0.014494982643774286,0.017396388797607482,0.013115301312328976,0.01271167210259365,0.0123903703168502,0.014167749529675555,0.012860839271586334,0.013206897915817585,0.013066348238021651,0.013446630848443983,0.013402376375873352,0.012992955472389654,0.012672980689382168,0.012607310425987714,0.012293278625104685,0.01430328330751723,0.012809286591807956,0.013220630537504361,0.013086852990243685,0.013813214464556732,0.0152453484690925,0.015900674015063385,0.016663446925040914,0.013654274134200667,0.01253862444260449,0.011133807636573482,0.012295839241594863,0.01314397450543755,0.013313544089429426,0.012470210109188768,0.012912107205744835,0.011297903529764246,0.011939789297024234,0.012420072159887505,0.012702361904066359,0.012851842183947844,0.01369172505954797,0.012857428542361946,0.012957745500069383
9,17.0,0.011731223801298452,0.01362645357729314,0.016945041312231644,0.012799602738616899,0.012135864535509024,0.01119660397593907,0.013552550051410775,0.012743998203220619,0.012379390026047954,0.012418256019251525,0.013300455467515472,0.013305839395442007,0.012498597569952767,0.011333561294700634,0.011932042362333823,0.012239675627602418,0.013499260278167089,0.012219260177404927,0.012866003218218458,0.012787283523651244,0.012986557648182883,0.01491898094247851,0.015891982327167837,0.016538848751618877,0.013266006404597136,0.011574778275879575,0.01081138009624738,0.012352157967563795,0.012595679954585,0.012510357675548365,0.012054366254417036,0.012843049329270807,0.010246754642525875,0.01088527911511523,0.011573490028977633,0.012109093533899589,0.0123027704961429,0.012695165556871692,0.012158157857762825,0.012524813525309242
