,freqs,gc_R1-R2->F7,gctr_R1-R2->F7,gc_F7->R1-R2,gctr_F7->R1-R2,gc_R1-R2->F8,gctr_R1-R2->F8,gc_F8->R1-R2,gctr_F8->R1-R2,gc_R1-R2->T7,gctr_R1-R2->T7,gc_T7->R1-R2,gctr_T7->R1-R2,gc_R1-R2->P7,gctr_R1-R2->P7,gc_P7->R1-R2,gctr_P7->R1-R2,gc_R1-R2->T8,gctr_R1-R2->T8,gc_T8->R1-R2,gctr_T8->R1-R2,gc_R1-R2->P8,gctr_R1-R2->P8,gc_P8->R1-R2,gctr_P8->R1-R2,gc_R1-R2->O1,gctr_R1-R2->O1,gc_O1->R1-R2,gctr_O1->R1-R2,gc_R1-R2->O2,gctr_R1-R2->O2,gc_O2->R1-R2,gctr_O2->R1-R2
0,8.0,0.02870184940967021,0.022798320992463733,0.029336357533393018,0.038017899894191395,0.02518933496450129,0.02490551863551961,0.027758651290974063,0.028862741054351184,0.025749929850234297,0.022909636764017693,0.025829379366055644,0.029097233352171726,0.022094787363223782,0.022831868270674512,0.02787176289076291,0.02740712214188641,0.023892345421280416,0.029904150066250638,0.03599009442812883,0.028443200229110628,0.024835549090649132,0.029815967286522475,0.04248245787048417,0.03603065059539411,0.024471882695946953,0.023662537614631676,0.030065949021044883,0.03232583653023844,0.026036127277850492,0.026053949679751134,0.03630249688807051,0.036589428555536714
1,9.0,0.02268040425436588,0.02085383412088096,0.023883992759170372,0.026666905641625764,0.022392053379508288,0.023100236128675667,0.026421394159230165,0.02597732791196498,0.021553715010218223,0.020532081689178628,0.02374186232716867,0.025262406549415365,0.01998857853323,0.02028932789313521,0.024132317489599712,0.024015966730940377,0.021853700163985575,0.02448754647871932,0.02823498647419137,0.02546270622690873,0.021140050266480734,0.02327290551692042,0.027720147820285663,0.025440127060432173,0.020513347652913277,0.020616124245561897,0.025061524372106642,0.025313530556480574,0.020572937827573932,0.021358808879131455,0.02642321775995171,0.02563104239614985
2,10.0,0.02232812213235702,0.021780443136386184,0.02373089409626778,0.024630468536641855,0.02284249452376559,0.024281844007319697,0.026562240153853573,0.024189029794501563,0.02146301178182193,0.021404391625518996,0.023140363149327207,0.02344819712022125,0.0206245520615807,0.021211723287427677,0.023080278716491463,0.02257771502871177,0.02254209705713644,0.023703273237678665,0.025397989560936706,0.023994939244567786,0.02154880062277983,0.022458014272454856,0.02435140521763687,0.02354348106393477,0.02062925813595723,0.02126350455521504,0.023337887564113757,0.022779882438093143,0.020454835343485762,0.02159655506606556,0.023676600244260618,0.02270565157504164
3,11.0,0.022153133747752053,0.021867517674061972,0.017771266687303437,0.018403869180063814,0.022941697586036973,0.024614500320147083,0.019624357625555734,0.01820492864724482,0.021521992956067555,0.021600864316584784,0.017729048519063345,0.01793818751212072,0.02107945570646976,0.02239128027037456,0.01814021884700576,0.017422479590877567,0.02210830389465236,0.023323061185809853,0.018544507473983004,0.017584627958632238,0.021566715788557646,0.022748941881296624,0.018116729863244373,0.017295472185042005,0.02084646267370713,0.02244252537094558,0.018323165449645018,0.017428652437187983,0.020914605064587546,0.02242660231104326,0.018019376008977874,0.017222780896295968
4,12.0,0.022688932100073524,0.021683695263165645,0.01700662499288425,0.017735350167765434,0.023266414635833284,0.024533758906780966,0.01822323245188003,0.017554579872653346,0.022607774087650533,0.02215891883948201,0.01737835505188974,0.01735873431449552,0.022159526270825413,0.02350558411997901,0.01834039005535934,0.01681725100916728,0.02261740154192694,0.02382759604874048,0.017840347649727025,0.017105447208788194,0.021992445859418338,0.0235918902880026,0.01776457705119083,0.016666478208357347,0.021530032650988917,0.023711494958856445,0.01833900096078762,0.016377763257943653,0.0214185242454896,0.02354274163270171,0.017729271303265244,0.016226541370821593
5,13.0,0.017498885952992274,0.016626833134256686,0.018138914571814234,0.018628541109083137,0.01709263917290008,0.018754717294796188,0.01896367789455442,0.017891576616570877,0.017608347086628718,0.017146967633964443,0.018635245378212064,0.018111876684263156,0.017130757315624003,0.018334798387439507,0.01954682889186824,0.017006680448276378,0.01696807184772493,0.018789099535849424,0.0187818478151566,0.017094423739400733,0.0166070234383766,0.018822310828726145,0.018388373241379617,0.016182383731013043,0.01658705659247802,0.018774408509920834,0.018954759513447602,0.01593850107508858,0.016382912176279,0.018974946757515605,0.018358717522144134,0.015636741141512568
6,14.0,0.013657976148976944,0.013230523073531503,0.02135268816363093,0.02169005527468179,0.012953292260836403,0.014620165648493187,0.021836584249613555,0.019899445930776336,0.013874380939661158,0.013629222457532626,0.021491132359339325,0.020996370945042166,0.01348675603107002,0.014630349322971647,0.022557761415908834,0.01945444617788196,0.013122645942821625,0.014891764234106658,0.0215582855008921,0.018917284946455264,0.012964644792264994,0.015103202315033943,0.021187249981438533,0.017866259169446903,0.013126911828058252,0.015115066261395818,0.021676886771779407,0.017867665360742732,0.012938606229151594,0.015330449035788056,0.021289104012592135,0.017330810788037953
7,15.0,0.011157482220095412,0.011199109746285187,0.02099852300977767,0.020585842070541954,0.01067224760391562,0.012124542761359602,0.021319866166261418,0.019210295130979275,0.011442791924637015,0.01142602551440921,0.020768789835826515,0.020241902374293727,0.011248634367380723,0.012199483729820887,0.02140391010296863,0.0192385833687986,0.010938970722900496,0.012276928192018168,0.020779509167587935,0.018517755636284806,0.010951966851242195,0.012462560386689591,0.020389344825982106,0.01775025545853503,0.011085054447597381,0.012507452445866487,0.02067866245525696,0.018052391236105636,0.011064018396880738,0.012693803719098617,0.02064225179099674,0.017652810133993814
8,16.0,0.01047604509061013,0.010738069443143827,0.017721076139300778,0.0171209097636161,0.010359883447174971,0.011146456955792337,0.017812725943805754,0.0166602395565668,0.010729530485920628,0.010818065382096103,0.01723779451055321,0.016942512597920293,0.010641187945579694,0.011217341574886203,0.01747132046820432,0.016600515783695893,0.010668286135640071,0.011184471825606418,0.01734155438871816,0.01659324150494376,0.010733068073282427,0.011319578856168662,0.01721141237967355,0.016306995219347527,0.010654274801434126,0.011367026304404866,0.01716171933437941,0.016258717515664194,0.010875647427072187,0.01160852013360498,0.0175098265884529,0.016426026392174956
9,17.0,0.010238752590753481,0.010739298052490194,0.014319630019957357,0.013493578256501701,0.01046931003575229,0.010915223978839735,0.014283046255932913,0.01380240399431817,0.01042690350683745,0.010559063916993648,0.013850740704321437,0.013509748903234605,0.010377166405026488,0.010612582620967728,0.013712690282082813,0.013610009823610596,0.010613813936168231,0.010694632186315016,0.013932390349904221,0.013994639000787646,0.010643104996011041,0.010642323644156342,0.013825180828810426,0.013965373847207129,0.01046831669024678,0.01063549553621999,0.013650091286498965,0.013762970910691476,0.010772731131531542,0.010838466218638041,0.014065701853764314,0.014194641159014131
10,18.0,0.010449593195853793,0.010996289085525364,0.011896451644254713,0.011188177625347025,0.010888858207318898,0.010905249095091947,0.011634426176236303,0.011736747201481082,0.01050179350757863,0.01067018177577913,0.011581409595853876,0.01124273176176758,0.010405714324961422,0.010464907362508965,0.011390608668507156,0.011419070556508802,0.010815848419470218,0.010511160161125835,0.011512700611998725,0.01205817717902182,0.010761796527178695,0.010350722315706882,0.011521956665296063,0.012179826665598787,0.010444467708413497,0.010347896070255547,0.011439145855369086,0.011754904615904527,0.010781898563654245,0.010513042445922095,0.011788914845536435,0.012358593279748798
11,19.0,0.0100877650724713,0.010543171108655332,0.010722035660992401,0.010197940527965446,0.010429575924932268,0.010381463845864093,0.010341774531190204,0.010613456102232063,0.010185300158372677,0.010246139206542397,0.010530759586275458,0.010265268816469934,0.010062460971356256,0.01001463216298504,0.010325563967323675,0.010356955749907418,0.01025632870119981,0.009950707197175198,0.010385085260156565,0.010820718479996341,0.010180851897904422,0.009696825050689585,0.01036778515721834,0.010951285050294267,0.009930867100250623,0.009766540459079355,0.010320437014889649,0.010580796745549528,0.010194318581618464,0.009845911269627989,0.010594371350070804,0.011119278701979382
12,20.0,0.009813581229256518,0.009968404951944934,0.009714471794612788,0.00951430554550109,0.010014354305494357,0.009790624661026396,0.009347785567516446,0.009812107787941952,0.009945056769374272,0.009818324637429484,0.009578230187515444,0.009545485523365399,0.009769230799525184,0.00965170370982784,0.009433211892305504,0.009472016490385914,0.00989609913783267,0.009588288659580264,0.009559121253246716,0.009958794158267113,0.009837906363934265,0.009372902730243651,0.009547442487778356,0.01007052953697416,0.009537135556019512,0.009397654188397464,0.009499255551115814,0.009614898997551424,0.009828749988792974,0.009569274633665326,0.009775060448862167,0.010155342719209265
13,21.0,0.009362658836601666,0.009321734524121132,0.009034784652266009,0.00902161014007885,0.009410791626971338,0.009270476099127647,0.00878771736813447,0.009274006364693787,0.009616385718838012,0.009240729578091739,0.00884862471841179,0.00909098624897139,0.009317915616143499,0.009151545508977364,0.008745158069302372,0.008869704670044836,0.009352807350894717,0.009206806790262262,0.009056191666157717,0.009283574280745345,0.009288688050887275,0.00899146951970283,0.00894800204168265,0.009272761557391197,0.009018845205362638,0.008930503246616983,0.008820954939404414,0.00890961480604182,0.009300495334123771,0.009207466451092378,0.009127117155868817,0.00932641143449113
14,22.0,0.009118625294467294,0.008867279712658405,0.008177430977241175,0.008359878070039429,0.009080694014508825,0.008893885642942254,0.008107384063404723,0.008601231544104023,0.009437196565502914,0.008838089821975845,0.00798088109634544,0.008458480652009229,0.009092250933175481,0.008833137159044265,0.008037158203743434,0.008240333286192046,0.009119114573645243,0.008963605046608949,0.008399666776833053,0.008642992652244883,0.009090469135026246,0.008828524510714827,0.008299362388279002,0.008629019685339457,0.008833834548942918,0.008681719111350024,0.008126057281585445,0.00833739818646942,0.00909796716763554,0.009117107865359957,0.00849119733278003,0.00865382737690492
15,23.0,0.00870098489912508,0.008449163621660033,0.007670852051208656,0.007890630044042099,0.008679503889707703,0.008557832893106817,0.0077203710029452415,0.008164331363904986,0.009068707475120284,0.00834125958572727,0.007420668516600344,0.007995302473821079,0.00867253612320256,0.008435066575998329,0.0076004443270206315,0.0077955651842481705,0.00874100473635384,0.008623194702951689,0.007976364870562755,0.008174952617504425,0.00870359025252564,0.008511902849661265,0.007860442249518224,0.008129104447315292,0.008505723186646327,0.00831568411748011,0.007628415727800127,0.007971412372457734,0.008740140041277787,0.008770757372477286,0.008003204846843658,0.008170804470364217
16,24.0,0.008274101926951114,0.008074214253377576,0.0071543495021118625,0.007331530301596316,0.008309005649970837,0.008196188336954078,0.007275081779220844,0.00762758841590222,0.008621906463709974,0.007953181274519041,0.006943549744259398,0.007446135522154838,0.008277719252500171,0.008141598225284647,0.007254466610063876,0.007361066434697847,0.008425896959463037,0.00827689863169994,0.007478739172358355,0.007709067984388197,0.008422246738461462,0.008234390484128738,0.007430522589988003,0.007711585553823007,0.008233043341479925,0.0079880498473612,0.007229133668521097,0.007636211054755392,0.008456748182011064,0.008442123943599174,0.007584794175527117,0.007753379047126614
17,25.0,0.007785817215163944,0.00778131823910508,0.00705090478676596,0.007055146228472238,0.007880798068352674,0.007869385260263151,0.007140362966317333,0.007382290558812704,0.008051376930673456,0.0075589094697513836,0.006775146653522397,0.007128477334334779,0.007792164098868708,0.0077868430254581225,0.007130870727098452,0.007151838828235194,0.007967476879680014,0.007871640726166793,0.007252862519615026,0.007430716251742788,0.00796666193798305,0.0078184734633161,0.007235877879795569,0.007451834176122971,0.007838220669776002,0.007577419096005877,0.007049783088584155,0.007467040688174787,0.00803179141453958,0.007931121235259148,0.007348330893002933,0.007510711377793441
18,26.0,0.0073217996651354,0.00744962242484883,0.006836552447560383,0.006691804387376495,0.00744518103984676,0.007432485028145327,0.006887338194067568,0.007043576976463924,0.007470280063596996,0.00720797447452932,0.006588921764380875,0.0067591376914283435,0.007347197872130692,0.007394179003266536,0.006963173208601644,0.006902918400384176,0.007539030326034588,0.007403339166550101,0.006920461569921799,0.0070979024226000016,0.0075499367211885144,0.007384021301291322,0.00698308196912603,0.007168600049496535,0.007452488128462562,0.007167662304968239,0.006859049631379107,0.0072057069925247925,0.0075975309706537535,0.007443701280673492,0.007097475566089068,0.007225304665837681
19,27.0,0.006953762814635065,0.007202657123311974,0.00685585356044791,0.006571805776817857,0.007088892008389609,0.007098844071804581,0.006826827643440126,0.006949434762192009,0.006998040662802592,0.006888221491096791,0.006569825956947948,0.006594038604280957,0.006975805313991396,0.0070172133899726145,0.0069129890797882555,0.006810299551953921,0.007144059791797847,0.007008688865868118,0.006790289382520165,0.006939181445449514,0.007175913018676006,0.006963571025368593,0.006885930648397218,0.007054053465940174,0.0071095889019934366,0.00680353873776515,0.006781496303914284,0.007065435501000372,0.007201823653246575,0.006970275825752237,0.00696730423494996,0.007093680721544495
