,freqs,gc_L3-L4->Fp1,gctr_L3-L4->Fp1,gc_Fp1->L3-L4,gctr_Fp1->L3-L4,gc_L3-L4->Fp2,gctr_L3-L4->Fp2,gc_Fp2->L3-L4,gctr_Fp2->L3-L4,gc_L3-L4->F7,gctr_L3-L4->F7,gc_F7->L3-L4,gctr_F7->L3-L4,gc_L3-L4->F8,gctr_L3-L4->F8,gc_F8->L3-L4,gctr_F8->L3-L4,gc_L3-L4->T7,gctr_L3-L4->T7,gc_T7->L3-L4,gctr_T7->L3-L4,gc_L3-L4->P7,gctr_L3-L4->P7,gc_P7->L3-L4,gctr_P7->L3-L4,gc_L3-L4->T8,gctr_L3-L4->T8,gc_T8->L3-L4,gctr_T8->L3-L4,gc_L3-L4->P8,gctr_L3-L4->P8,gc_P8->L3-L4,gctr_P8->L3-L4,gc_L3-L4->O1,gctr_L3-L4->O1,gc_O1->L3-L4,gctr_O1->L3-L4,gc_L3-L4->O2,gctr_L3-L4->O2,gc_O2->L3-L4,gctr_O2->L3-L4
0,8.0,0.02457503006008476,0.02380229390900791,0.027943716698021936,0.029041356610922008,0.027008887391632787,0.027945728779482287,0.0314589613168739,0.0331018334475216,0.020624344007953817,0.020126036808866873,0.02442268578660698,0.024960155987922842,0.023540404819452344,0.025919273894409334,0.030273532185031034,0.030482782143525053,0.018173422068202875,0.019670806336170375,0.023964344538042488,0.022701776180601964,0.017575945566948886,0.019486241522028495,0.02255251417200772,0.02128936479828828,0.02053087465379961,0.023248826074526746,0.02825171430726603,0.02800119060138701,0.01970862331751547,0.02133085584082255,0.024544334521473886,0.025219486618724668,0.01734037864500335,0.019224682942026516,0.02176428498688045,0.020955173347831233,0.01822274294544449,0.019747488703647047,0.022762260836171076,0.022246768212116613
1,9.0,0.02904061198601893,0.026617433266696806,0.025107787961814457,0.028343360763718475,0.030812223819775816,0.02939932702990296,0.026220948021582324,0.0298428075761713,0.024697268184274965,0.022693699761796252,0.022391167141621728,0.02443634292870068,0.026995919378555118,0.026955650673267044,0.02471636711447981,0.0267186999885813,0.021446885212305967,0.02260119532242656,0.021765636826759006,0.021170708588951394,0.020540091586397042,0.02184462888459936,0.02078117450397585,0.02023560117146881,0.02391733469949617,0.024267548664690098,0.02261957746619205,0.023839799661125958,0.022854396179078043,0.022710221641344064,0.021601888995900983,0.02291538780315882,0.019992933807256228,0.020575035746076664,0.020230077965199728,0.020423906812503213,0.0212149205406608,0.021519014405562965,0.021550086734810004,0.02179255537019575
2,10.0,0.03430438187458395,0.03170712096762887,0.026405209635026704,0.028550171846286596,0.03494571704325869,0.03362642595136336,0.025792978740705443,0.02801297826429304,0.029224939824183477,0.02705457664858202,0.023738211459688394,0.024869687856165775,0.02965760296177093,0.03047414439497005,0.023923823712177147,0.024972033774819692,0.024496551610831883,0.026304622079742792,0.0228342184337738,0.021036648928631732,0.023295932743443177,0.02435848310926193,0.0214327856805075,0.02069078808761811,0.02572797479139643,0.02748664749362057,0.02263603205942422,0.022328793587339985,0.024550370335748542,0.025905665934068824,0.02231675862518928,0.021844221406344264,0.02264350086535513,0.023420648810842125,0.021014083519489222,0.02046624142252416,0.023188312084802157,0.025039088884410594,0.02279118183800661,0.021318103042033312
3,11.0,0.0385046257236863,0.03884563820056845,0.024134874935164953,0.02540292248598165,0.03805112767930398,0.04004193204957388,0.023202229966292353,0.023294736983178937,0.034239775295100465,0.0326446837905894,0.020819660303271613,0.022649790789787006,0.03218034207868007,0.03649709671320434,0.02171777329582955,0.020446856179754724,0.028490402600201793,0.030993560630136963,0.019218513116027524,0.0182167466401012,0.027301720199892437,0.028818998433116014,0.01832294601833271,0.018257652217695982,0.027705561231284564,0.034373745886973193,0.020453031349392737,0.017964380299344454,0.026683984380487545,0.03330070506179018,0.02052217281442754,0.017795867080668232,0.026520144057008574,0.029534123478964253,0.01882995230765053,0.017765235240512184,0.026711764242790415,0.031984555762804956,0.020420064709212774,0.018032166471203426
4,12.0,0.03339657685017614,0.03203844640978938,0.02384977678953351,0.027178324570522768,0.03063284059074083,0.032263911910677824,0.023916958585161973,0.02344102714357984,0.0322001217183533,0.028527945646778803,0.02091847423631674,0.025566220451856917,0.026766251358634786,0.031100037731220782,0.023926511960670215,0.020870714432407338,0.02689536359649475,0.027695117987441936,0.019833647301170074,0.02009321132308197,0.025257810885086433,0.02628041524522537,0.019339675051691985,0.019336597776824022,0.024117268582313035,0.03200801948444534,0.023407888969216934,0.018469244122546125,0.023681645293184804,0.032915672420438524,0.0232423687515775,0.01776353781543336,0.024060064763526165,0.027577538039887012,0.020092330070335278,0.018106442417421226,0.023487693680456934,0.031065066963285287,0.022093038104226956,0.017482695488652427
5,13.0,0.02570612887310074,0.023410222027321476,0.026108541160658087,0.03149184814875306,0.022191046951350678,0.023919689306113497,0.027868835999784843,0.026364141448096755,0.025646456979188506,0.021598918334005717,0.023583917092059807,0.030758067555468963,0.02032264398016858,0.024317838809214516,0.02955704745144768,0.02409672976810541,0.02128147998393581,0.02217088244696471,0.024111437667377278,0.024519663806727626,0.02010871539393345,0.02169396127803741,0.024084075142993936,0.022462697656575898,0.018987302148706645,0.025651858900629723,0.029987078918816388,0.021936246846987056,0.018889082890191984,0.026845944340679637,0.029299090970289213,0.020397270644882615,0.019178459896617497,0.02255121086537898,0.02448872321913502,0.020257966031661207,0.018363385028327642,0.025610135451435794,0.027063902214580802,0.019120952605795247
6,14.0,0.020204770446766426,0.018399795640204532,0.03249050490088218,0.03596176767796692,0.0174637518226484,0.0194022121096112,0.035045950194024525,0.031153665207557812,0.019922229281517278,0.017498381736990056,0.03046052217323346,0.03523363282386225,0.016342545707766158,0.020245057687360984,0.03747514281233062,0.028936695233108652,0.016974210786110704,0.01889291464555616,0.03195657225884002,0.029159222889400427,0.016421018143018558,0.01900159851069377,0.03115407128040498,0.026189661233652312,0.015503826583735718,0.021519223736788096,0.03893188636481906,0.026847216296943706,0.015386597527217851,0.02229954633062583,0.0369273722584682,0.024197119736303764,0.01591273536713807,0.019727003484205873,0.03081559345841389,0.02326884711268757,0.015001244391765726,0.02174785970438568,0.03389489989140989,0.022027287153178348
7,15.0,0.017063999473883897,0.016693667508709806,0.032850779694271956,0.03222425989567689,0.014993638508683758,0.01775442117362286,0.03499330420034553,0.02911607355978377,0.016417247601705084,0.01579673374577985,0.03112302266209601,0.0311807911936824,0.01417245638828265,0.0182968895024748,0.036628014136821506,0.027368065414595508,0.014649576544137236,0.017217040341706995,0.03231649416446851,0.026775591401271042,0.014512294794934117,0.017613553350961285,0.030919892054864947,0.024614226612303083,0.01355098678719989,0.01934820961739259,0.0379102454703306,0.025656065906033143,0.013274602177660272,0.019884304303576912,0.035786900422039226,0.023099819609080655,0.014127894138111673,0.01824827414571628,0.030139993437586873,0.022264820769927703,0.013038596138646285,0.019526406049242565,0.032945307476267935,0.021101715981870512
8,16.0,0.015449273565611531,0.01590684355883499,0.027502422331234413,0.025093164798583163,0.013788521701546227,0.01674163219920351,0.028541199492357172,0.023484713992623682,0.014541459199244145,0.015140236290477997,0.026510841322102227,0.024133588631834974,0.013033128055003031,0.016983539623544732,0.029128879003414224,0.022352411540502524,0.013315965225628144,0.016316739092437214,0.02760548949778381,0.021827954264191797,0.013335282804414424,0.016304476253798578,0.02581202045405818,0.020740148759494488,0.012459658842390657,0.017971314791045433,0.03018309022588241,0.02117866171746926,0.012141224342315043,0.01827173772004816,0.028550368140379718,0.019361059679419503,0.01307857458992709,0.01671730656392512,0.024708874820456653,0.019312006295049578,0.012020427239345904,0.017852415392404765,0.026552389938058953,0.01820006466490875
9,17.0,0.014462073651355167,0.015272222453079173,0.020583143824102486,0.018418079679100006,0.013012844248634805,0.015808161880058933,0.020805526244103312,0.017492350745639994,0.013578393168495424,0.01454860587518451,0.02001436688012082,0.017797880628478646,0.012472313685768455,0.015909999077153493,0.020772681465858096,0.016948965548456214,0.01250249327708679,0.015471785418034475,0.021120698351371946,0.016842197787011858,0.012457144414763302,0.015096896082058468,0.01963031022104079,0.016432773573216135,0.012053055890043057,0.016766390423961258,0.021440197670236017,0.01623417577052465,0.011758080487983942,0.01669350628281682,0.020498579921613417,0.015285450332066151,0.012321276794346948,0.01518697934587281,0.018611701579436996,0.01573006414513621,0.011598151838789829,0.016161807890388565,0.019439146599191815,0.014910814771014282
10,18.0,0.013263413879724052,0.01386329977006448,0.015310893703021244,0.013946032476834996,0.012002756538717739,0.014103925616948683,0.015089013782778493,0.013235614687452433,0.012579524567449157,0.013375270394010182,0.0150873868097602,0.013591670384229952,0.011701756070914017,0.01419972034274606,0.0147968364508913,0.013004598655405503,0.011696012123058106,0.014085933485343852,0.016291113429793173,0.013469141393193168,0.011486723213115542,0.013570820834095653,0.015257487204680453,0.013241196291613007,0.011393557340700107,0.014958902277308032,0.015366091355995063,0.012613357268217468,0.011104595752811785,0.014762295924908514,0.015075637769653837,0.01218127118040571,0.01148718248856131,0.013520854997935308,0.014445571357399446,0.012919890104276617,0.010958609365926056,0.014337277175054272,0.014634647251926234,0.012153091842698444
11,19.0,0.011931903862799754,0.012284013566954195,0.012509940586381182,0.0117150759025979,0.010733612658674587,0.012273887522899613,0.01212188663978902,0.011054945642483617,0.011488603876347077,0.012005645893711779,0.012402938815775281,0.011462776331110704,0.010625568725209143,0.012375071741680068,0.011856185550837344,0.010891014794979809,0.010926047570018912,0.012757483542245282,0.013583881441514928,0.011596646895291276,0.010581081087431143,0.01241698202933391,0.012998323485652979,0.011313416648916335,0.010498855474093434,0.013071191047094607,0.012326097559144834,0.010679972984635695,0.010347461193964829,0.013100462867733854,0.012384531427963832,0.010468973873261291,0.01065276036731996,0.012353229517194688,0.012350392361868615,0.011231825748314894,0.01019723511623529,0.012936002618721954,0.012266268217179457,0.010473879159832951
12,20.0,0.01078949176084007,0.010966246192675895,0.01088871737864387,0.010381031026845653,0.009787325574751989,0.010819082318978494,0.010420748589869059,0.009860264539535831,0.010433557466639915,0.010841776629863104,0.010851865432542029,0.01014215690238405,0.009657649645586769,0.010865130237692804,0.010204055521940638,0.009602428412971983,0.010126847441968347,0.011535899726143542,0.01192699283003909,0.01042069537952949,0.009685031784273157,0.01129176199443178,0.011551420415101961,0.010065869736171199,0.009531795124867804,0.011563793048210034,0.010621073339497626,0.009379351416698887,0.009483758448001851,0.011814055502354351,0.01086402367062337,0.00929649219510733,0.009860544790057393,0.011321549244642081,0.011028243672576937,0.010086469787973366,0.009492411814418265,0.01182378616352907,0.010860591346799755,0.009394082286051795
13,21.0,0.010009742196774975,0.010131271056354002,0.009975254788181115,0.009535882357404905,0.009150961803722636,0.009806317649711519,0.009465040842607134,0.009093663802377933,0.009658428363370478,0.010097591828441306,0.009971864426302534,0.00930495239980642,0.008968269854617397,0.009850065920579007,0.009331117437171233,0.008798097602823253,0.00949672345060955,0.010711376188195612,0.01089346295167371,0.009555861335815029,0.009032471131873826,0.01054610125402099,0.010652223976437367,0.009255744119754005,0.008840647753635543,0.010518122402271199,0.00966539769830521,0.008625380397517571,0.008910565154046783,0.010831860995002362,0.00988408542847735,0.008614517601559263,0.009263874046558858,0.010652893606511874,0.010233965039043828,0.009302786137298558,0.00903294908351305,0.01105709358069489,0.010025817727312028,0.008754015382266516
14,22.0,0.009383485160472872,0.00948435559239629,0.009097219460823926,0.008684477526420752,0.008719980708591037,0.009065225983306495,0.008638281899655025,0.00837195936305117,0.009042887055882453,0.009517182975702141,0.009169305148832447,0.008519757270977486,0.008475884360009718,0.009168475275466515,0.00854622437487868,0.008042852337881117,0.008955188986246133,0.01003723236192542,0.009935802003924082,0.008753307923714308,0.00848423984689959,0.009921191464426568,0.009737512173553738,0.008480614904901877,0.008336302114311661,0.009756416742581212,0.00885209124921136,0.007975028227754763,0.008396876216478421,0.009963333492951771,0.00898605484877219,0.007962295655692205,0.008717943527461875,0.009991648483596138,0.009347230797644502,0.00850091398140185,0.008648530550278625,0.010315052221408124,0.009193221487175142,0.00813138020865859
