,freqs,gc_L2-L3->F7,gctr_L2-L3->F7,gc_F7->L2-L3,gctr_F7->L2-L3,gc_L2-L3->F8,gctr_L2-L3->F8,gc_F8->L2-L3,gctr_F8->L2-L3,gc_L2-L3->T7,gctr_L2-L3->T7,gc_T7->L2-L3,gctr_T7->L2-L3,gc_L2-L3->P7,gctr_L2-L3->P7,gc_P7->L2-L3,gctr_P7->L2-L3,gc_L2-L3->T8,gctr_L2-L3->T8,gc_T8->L2-L3,gctr_T8->L2-L3,gc_L2-L3->P8,gctr_L2-L3->P8,gc_P8->L2-L3,gctr_P8->L2-L3,gc_L2-L3->O1,gctr_L2-L3->O1,gc_O1->L2-L3,gctr_O1->L2-L3,gc_L2-L3->O2,gctr_L2-L3->O2,gc_O2->L2-L3,gctr_O2->L2-L3
0,8.0,0.029477192629606987,0.031490227732366205,0.03393718068719626,0.027431573263802626,0.0289799198021619,0.03225671871066825,0.03299173635929339,0.028008605005910268,0.029420009429335404,0.0317452901059829,0.032321302326174854,0.0325200481310754,0.03774442635954941,0.026680391864474594,0.0321952606629383,0.05346463502580254,0.026468710906723255,0.02404750204004644,0.026211610258593806,0.027965370347698516,0.025741613296417696,0.020450838246580203,0.023245196578977136,0.0321883215527186,0.033573503963001766,0.022888686218156266,0.026115742656239335,0.04498411584267869,0.027040040050045924,0.020410152779631877,0.021999667686327017,0.03400688510204714
1,9.0,0.026487843209348202,0.02462468125487844,0.026682252244007762,0.028488471420197232,0.02639693008892657,0.025002487115445955,0.02677883075637277,0.02873139636660017,0.03165603938068466,0.02761808967291628,0.02699519960905819,0.032640681747655366,0.036394015180124945,0.025402455143081832,0.0236012000355599,0.037938304361522686,0.02443533059160208,0.022892647168366354,0.022647493806891468,0.02478717143777121,0.02269499054626596,0.021120314909782216,0.020544836722531847,0.024747996617171055,0.028792275283985903,0.020856780396955064,0.02011905582040792,0.03168963162560076,0.02192299014654267,0.019318582074683444,0.02010291700522719,0.026075356281301806
2,10.0,0.023118728247182748,0.02426165954051418,0.02188206030297505,0.022287415936775648,0.022234137394269597,0.023547954134183736,0.020750460300532864,0.02172748005481886,0.022897490547367845,0.027934589487391283,0.025713241056028544,0.020819211941813926,0.02509713594919755,0.025366022221054208,0.023768510230587826,0.023236568530746994,0.021643835668864166,0.023010072135265944,0.02148280737345217,0.019874264291001167,0.021173659447231118,0.022726145308394927,0.021625888368959973,0.020446003756960728,0.023761337523457434,0.02259422539738402,0.021719018312369685,0.023060848409521575,0.020999765439070818,0.02187714796332932,0.02103586426473226,0.021277573662568907
3,11.0,0.018723916392382214,0.01989600463611693,0.017709809844081333,0.01846678286972081,0.019149415727568998,0.01954574676172417,0.01781832711587618,0.01891163502000599,0.01743857989096064,0.020445552626294862,0.018585785312861505,0.01691744736158154,0.020513899095126898,0.02009827119302158,0.01884373265403478,0.01915657173809082,0.018483709881967778,0.018983874338634344,0.017720890236859365,0.017273895278351565,0.018310017705778607,0.019314264098095824,0.017863038390360457,0.017754102049398108,0.01997378780470414,0.019293557016119744,0.018685834229139723,0.01915005109522226,0.018619792341380097,0.019278402011670796,0.018172366521998443,0.018175209675507457
4,12.0,0.018042551699245662,0.019334587511793427,0.01857359381444111,0.017564479667877195,0.01873095241326789,0.019211828581174713,0.01848234939697149,0.01836581485427102,0.017073437915906615,0.020333531434074792,0.019306368711832785,0.016737595861922097,0.0186939285019875,0.020222224726141255,0.0200820744643767,0.01869387990722794,0.01819312823524236,0.018718391134527723,0.018276671421645206,0.018042047232362943,0.017631570405238568,0.01894558615584655,0.0183554365677414,0.018731027299275452,0.018375338663792175,0.01939892526696252,0.01930312186197817,0.019007860710896808,0.01840236930403627,0.01964369494498024,0.018675856519863938,0.019292923154301703
5,13.0,0.016294400420026483,0.016614718940900143,0.017253025246465492,0.016437271001921116,0.01693025155254656,0.016226421729947583,0.017006916904404253,0.01720860223207758,0.016340806718859353,0.01673770518091878,0.017257911286990234,0.016298299130602226,0.016676560479005866,0.016333132498483255,0.01662437537565857,0.018079377749514503,0.016013411390299413,0.016054064528335105,0.01633838401168644,0.016723747035934673,0.01468618673631621,0.016439214408847387,0.016260086653790057,0.016697577733185427,0.01607580251294637,0.01622212794640749,0.016170226155471878,0.017597465964625657,0.015512683754536826,0.017039767323581367,0.01644027431323411,0.017277799898095792
6,14.0,0.015297517861471856,0.01568383509407844,0.01707422352580201,0.016324919624323826,0.016149491910504923,0.01487930194555989,0.016023070391402116,0.017128411813842684,0.015745739978743085,0.014926980664387522,0.016028035581203703,0.01658036067305058,0.015706313269331116,0.014506914032704816,0.015936760016821507,0.017999243411519397,0.015382183616675541,0.014828921563294267,0.01596197911812059,0.016717445212291026,0.013587272986932008,0.01481721154974022,0.015857717397158196,0.01595669888785649,0.014861054477999241,0.01470273488799248,0.015800211544106227,0.016915470388897954,0.014160091075047457,0.014976205345409102,0.015852697360592475,0.016276790239378083
7,15.0,0.014395391277241449,0.013623890963837136,0.01545137956032116,0.0164341228971019,0.016013319241548023,0.013067366105074692,0.014628741175019114,0.017558038831004635,0.015293275568191772,0.01266092007354489,0.013962769740308809,0.017387979335356085,0.015885592603270184,0.012321973278283804,0.01456057688993413,0.018767395698538258,0.015283956643094518,0.013060886906652126,0.014633757703233297,0.016656717191467052,0.01292013735246741,0.01271137132753806,0.01456572101658611,0.015305944327790231,0.01467787101061653,0.012368950083553851,0.01453330269214544,0.017112815992217565,0.013236204786108756,0.012509676008820218,0.014545877592550598,0.015601956179401672
8,16.0,0.01423883672403444,0.01340997314890465,0.015402755488405986,0.01655622271429128,0.016326856635486036,0.012745973875694093,0.014408169184551768,0.018192726942691275,0.014626346393383867,0.012286369116651479,0.013522931603054804,0.017348817401052905,0.015661209321742527,0.012425638324314545,0.014315415973309629,0.018785960262132688,0.01537987757158085,0.012709575516061515,0.014306097376119976,0.016899852448787726,0.013058305069952779,0.012024346532023118,0.013926348654147169,0.01552854268885844,0.01503757087337855,0.01228478425194846,0.014314684142203092,0.01784685757987158,0.013607487075306752,0.011879052133939106,0.013786301189687903,0.016195984039854918
9,17.0,0.014770833344785373,0.012828935013736534,0.015013324247054812,0.01767726288790533,0.01723539919564049,0.012041145491569661,0.013861486783733704,0.019588957089012517,0.016304438796363684,0.011752695348013693,0.013013048079158636,0.01910024771533429,0.017770523280747602,0.01236538147990181,0.013589486928083755,0.02089869993065488,0.015939781340871886,0.011783298516567113,0.013457189085872946,0.017594970955818388,0.013699183750270285,0.011271313988541927,0.01303561770251941,0.016243657745873233,0.016869493051789912,0.011973690285518793,0.013475382272584662,0.019750625542846713,0.014564171208657394,0.011316587788500785,0.012925693096505368,0.017210541429184375
