,freqs,psd_p03,psd_p05,psd_p09,psd_p14,psd_p16,psd_p18,psd_p20,psd_p21,psd_p22,psd_p30,psd_pthal101,psd_pthal103,psd_pthal104,psd_pthal106
0,0.00390625,0.9238902133759559,0.6325226031078408,0.33866402425960596,0.062045642534548556,0.7539215451571336,0.05372439284385789,0.1700302836717004,0.19054022685997257,0.766661477753565,0.09443931021274359,0.29073203302094364,0.33157129804609253,0.27144825159806846,0.6141789803456126
1,0.0078125,0.49174675431375015,0.799363106337348,0.25391968933616854,0.044477294721703316,0.6626300501363555,0.07049741538366765,0.23316659122958483,0.17176143550564485,0.653930455022553,0.07490711411167474,0.5257813818803712,0.3347027537155529,0.21161568381335294,0.28710694756780114
2,0.01171875,0.2461279935013158,0.5038132104576556,0.17728304021569716,0.04025164414798487,0.4732287771623775,0.06945053600446503,0.23011488460179655,0.14877220243283787,0.4067509074153081,0.08375446129231252,0.31596449544138083,0.2696610339867868,0.2267605659702179,0.1747222328950695
3,0.015625,0.2527196388499314,0.28214793430870766,0.17851032258836746,0.04962729930004983,0.3248115090218943,0.034588071167100616,0.2582318532346652,0.1472615339516406,0.34284265239354067,0.07955891126178002,0.15096746806199474,0.224556724668581,0.13638489133631937,0.21214478795155234
4,0.01953125,0.2242921750992037,0.37169884089452065,0.14251724902493257,0.04284275139833756,0.3142627952420747,0.014010939293447322,0.16585156832736478,0.10948145649044629,0.31124919799227563,0.07987828348869261,0.22740800581085646,0.2079823332298497,0.07710198150450391,0.28788879419741864
5,0.0234375,0.22272012186008058,0.3314485362849502,0.13580552740316693,0.027933619374248937,0.2593731261042363,0.01364505876589726,0.14217085809869323,0.07372884270346883,0.26908343993450534,0.0678996933318223,0.2755955197972659,0.18745714072454583,0.06185843491669878,0.18719921694963165
6,0.02734375,0.3768076212522612,0.19939700547346095,0.11350835872043173,0.03946973230384502,0.2497429568522901,0.013336652971152108,0.2724123860452352,0.056718530174733196,0.2645608297521561,0.13841818774713555,0.2201131712958492,0.21360767516048756,0.053835072984130275,0.1129664008614941
7,0.03125,0.4222524459683115,0.25766292854926015,0.1271962383121931,0.03884885874969271,0.1928735579083723,0.020337883552286495,0.21647681366298177,0.07255726681762714,0.2717679089629401,0.20542890935546287,0.3302916767028908,0.1720835687696567,0.07137333203496085,0.28573389664866156
8,0.03515625,0.2601224644187811,0.23070036603803284,0.14643416540768864,0.027802441803926485,0.19126888567505806,0.01840271335437475,0.2012609873687751,0.13629442066987843,0.23924584529167872,0.11511840064388341,0.18790171263713945,0.1480831937727657,0.04541334857339775,0.25419641747782895
9,0.0390625,0.17569003768677185,0.20174675296356095,0.14853737929051408,0.0393451478528525,0.23921499633524626,0.015516598262909975,0.21551538552206737,0.12743332338262336,0.22179729114787453,0.06593164747989202,0.2575149127788522,0.13983420932500884,0.05975031008255749,0.21040897224549357
10,0.04296875,0.20702864326572104,0.17657098643264665,0.1813276377612472,0.03196259164547751,0.26487869724692936,0.01719209288882137,0.17359675590460458,0.10235286107873179,0.2253208259764918,0.0675396898185017,0.22673193502239739,0.12895100344404312,0.0888713087193519,0.20826787135548255
11,0.046875,0.21470284842159523,0.18026999619825493,0.1531828983307329,0.048370650727387415,0.2616646635298745,0.012714822721090467,0.12132477915510705,0.1276439655819202,0.1730969836001509,0.05981495217537349,0.2315158682877764,0.11730586062480326,0.07700844585344718,0.10352026300289034
12,0.05078125,0.2831481157975412,0.2577381659881136,0.1396338943519888,0.050838165289653826,0.274371443007901,0.01767150992358001,0.07209194475282213,0.07996193583730278,0.1632209628622966,0.10365986685319836,0.36309428692621337,0.12013418744301506,0.09506836610048713,0.13470836024363697
13,0.0546875,0.3290566556742572,0.24508305314326811,0.1712652823488261,0.03661711432554589,0.23957070134249303,0.02048990077573875,0.09865145121100445,0.059361420973333585,0.19125342156800176,0.12945614262296243,0.30960627165456145,0.13071700046731569,0.08737516259842132,0.07076127805276587
