,freqs,psd_p03,psd_p05,psd_p09,psd_p14,psd_p16,psd_p18,psd_p20,psd_p21,psd_p22,psd_p30,psd_pthal101,psd_pthal103,psd_pthal104,psd_pthal106
0,0.00390625,1.8099013326330462,0.03402613404735371,0.04699276510908092,0.0720897543988766,0.40229102129426275,0.11228283293003528,0.0013184121105240202,0.33319146559946966,0.4516395763917428,0.050347472895766354,0.01994960275262963,0.30421477320108126,0.08999679975710496,0.02344141268246064
1,0.0078125,1.1399102974106972,0.03803807223370363,0.053643349559652054,0.08162656523376612,0.4058528356211518,0.17655382350643156,0.001673872480198565,0.26732653595374917,0.3922138260781716,0.07554406068111127,0.019855551532206372,0.2585266324455689,0.08241727527698621,0.030569359252647327
2,0.01171875,0.6476235094360909,0.037917805757980816,0.046810479801132676,0.08665399208046581,0.2569057375272939,0.13246533195887494,0.0017992091626022652,0.43399688171170525,0.26895342592404997,0.06683859262239362,0.033953653067753435,0.1251878165041721,0.06991011692319012,0.036639012779093504
3,0.015625,0.24313778061621988,0.030919562557677534,0.039766496731049844,0.09557873377034433,0.2639638184236624,0.11373240049573292,0.0018296679822404004,0.18758203836596377,0.2049623704727648,0.058382474968346774,0.00922082363356891,0.1009032648273538,0.07751333916390717,0.030502666197918665
4,0.01953125,0.20355508339255982,0.026634659043770416,0.03756855756861957,0.10408972875295816,0.277869696381529,0.13585318637757296,0.0016946540367649909,0.49133287340161796,0.20282628148033705,0.07749920430433692,0.007424321344668948,0.08035028720340597,0.05733701106626778,0.019511084270502972
5,0.0234375,0.22053125150835765,0.0250625445584705,0.04258391165244733,0.10003434807882947,0.20389966588950906,0.13896807403951733,0.0017070913465316606,0.5085445567977452,0.2052735252692302,0.045929528462892846,0.006294740921076703,0.056695335400758114,0.050869999311500824,0.020156424457574002
6,0.02734375,0.4639349436846453,0.01955179373327068,0.04735063355744202,0.0867929338830368,0.230563000756076,0.18381778783943484,0.0018381537561318682,0.3049226019355714,0.24614270034296498,0.045582308017180044,0.019621008257484748,0.06086168593611938,0.038129695799064924,0.025809271293843066
7,0.03125,0.46037756848045736,0.025584043416250746,0.04865572431117705,0.08502055855634222,0.22300844357008948,0.024719165322662665,0.0017840757842652957,0.17378375195715828,0.3127396632639829,0.07406471749775043,0.016668900724802073,0.055735738049810316,0.03676697527202637,0.025523589653719283
8,0.03515625,0.4154009169868728,0.021612509395224588,0.040322425522083045,0.0757772141108987,0.19903293726516158,0.11687186965873071,0.0016701948270770575,0.22604985940033406,0.27843098181257137,0.05751953647155526,0.008273885432940768,0.035712975229334865,0.04024298913920388,0.02477711100771317
9,0.0390625,0.46869133925774087,0.017985887269569418,0.030596848644042978,0.052119759269952666,0.22517223415117119,0.0907133454853779,0.0017604546337836422,0.3257136900149296,0.41063847204648346,0.02841926717409815,0.004893431774644624,0.039668890761675145,0.04008290063132968,0.016863087176013397
