# ts,saccadeRate
6.916157865730385765e+02,1.199999999999999956e+00
6.966157865730385765e+02,0.000000000000000000e+00
7.016157865730385765e+02,4.000000000000000222e-01
7.066157865730385765e+02,1.199999999999999956e+00
7.116157865730385765e+02,1.600000000000000089e+00
7.166157865730385765e+02,1.000000000000000000e+00
7.216157865730385765e+02,1.199999999999999956e+00
7.266157865730385765e+02,8.000000000000000444e-01
7.316157865730385765e+02,1.399999999999999911e+00
7.366157865730385765e+02,5.999999999999999778e-01
7.416157865730385765e+02,8.000000000000000444e-01
7.466157865730385765e+02,1.199999999999999956e+00
7.516157865730385765e+02,8.000000000000000444e-01
7.566157865730385765e+02,1.199999999999999956e+00
7.616157865730385765e+02,1.399999999999999911e+00
7.666157865730385765e+02,1.399999999999999911e+00
7.716157865730385765e+02,8.000000000000000444e-01
7.766157865730385765e+02,1.399999999999999911e+00
7.816157865730385765e+02,1.199999999999999956e+00
7.866157865730385765e+02,3.000000000000000000e+00
7.916157865730385765e+02,1.000000000000000000e+00
7.966157865730385765e+02,2.000000000000000111e-01
8.016157865730385765e+02,2.000000000000000111e-01
8.066157865730385765e+02,4.000000000000000222e-01
8.116157865730385765e+02,5.999999999999999778e-01
8.166157865730385765e+02,0.000000000000000000e+00
8.216157865730385765e+02,0.000000000000000000e+00
8.266157865730385765e+02,2.000000000000000111e-01
8.316157865730385765e+02,2.000000000000000111e-01
8.366157865730385765e+02,4.000000000000000222e-01
8.416157865730385765e+02,2.000000000000000111e-01
8.466157865730385765e+02,2.000000000000000111e-01
8.516157865730385765e+02,2.000000000000000111e-01
8.566157865730385765e+02,4.000000000000000222e-01
8.616157865730385765e+02,2.000000000000000111e-01
8.666157865730385765e+02,5.999999999999999778e-01
8.716157865730385765e+02,2.000000000000000111e-01
8.766157865730385765e+02,4.000000000000000222e-01
8.816157865730385765e+02,0.000000000000000000e+00
8.866157865730385765e+02,4.000000000000000222e-01
8.916157865730385765e+02,5.999999999999999778e-01
8.966157865730385765e+02,4.000000000000000222e-01
9.016157865730385765e+02,4.000000000000000222e-01
9.066157865730385765e+02,5.999999999999999778e-01
9.116157865730385765e+02,2.000000000000000111e-01
9.166157865730385765e+02,8.000000000000000444e-01
9.216157865730385765e+02,2.000000000000000111e-01
