# ts,saccadeRate
7.637017862095001419e+02,2.399999999999999911e+00
7.687017862095001419e+02,1.199999999999999956e+00
7.737017862095001419e+02,8.000000000000000444e-01
7.787017862095001419e+02,2.000000000000000111e-01
7.837017862095001419e+02,2.000000000000000111e-01
7.887017862095001419e+02,1.199999999999999956e+00
7.937017862095001419e+02,3.000000000000000000e+00
7.987017862095001419e+02,1.199999999999999956e+00
8.037017862095001419e+02,1.000000000000000000e+00
8.087017862095001419e+02,8.000000000000000444e-01
8.137017862095001419e+02,1.000000000000000000e+00
8.187017862095001419e+02,1.199999999999999956e+00
8.237017862095001419e+02,8.000000000000000444e-01
8.287017862095001419e+02,8.000000000000000444e-01
8.337017862095001419e+02,1.199999999999999956e+00
8.387017862095001419e+02,4.000000000000000222e-01
8.437017862095001419e+02,1.000000000000000000e+00
8.487017862095001419e+02,5.999999999999999778e-01
8.537017862095001419e+02,8.000000000000000444e-01
8.587017862095001419e+02,5.999999999999999778e-01
8.637017862095001419e+02,5.999999999999999778e-01
8.687017862095001419e+02,1.000000000000000000e+00
8.737017862095001419e+02,2.200000000000000178e+00
8.787017862095001419e+02,1.600000000000000089e+00
8.837017862095001419e+02,5.999999999999999778e-01
8.887017862095001419e+02,0.000000000000000000e+00
8.937017862095001419e+02,0.000000000000000000e+00
8.987017862095001419e+02,2.000000000000000111e-01
9.037017862095001419e+02,0.000000000000000000e+00
9.087017862095001419e+02,2.000000000000000111e-01
9.137017862095001419e+02,0.000000000000000000e+00
9.187017862095001419e+02,0.000000000000000000e+00
9.237017862095001419e+02,0.000000000000000000e+00
9.287017862095001419e+02,4.000000000000000222e-01
9.337017862095001419e+02,0.000000000000000000e+00
9.387017862095001419e+02,0.000000000000000000e+00
9.437017862095001419e+02,0.000000000000000000e+00
9.487017862095001419e+02,2.200000000000000178e+00
9.537017862095001419e+02,1.000000000000000000e+00
9.587017862095001419e+02,5.999999999999999778e-01
9.637017862095001419e+02,1.000000000000000000e+00
9.687017862095001419e+02,1.199999999999999956e+00
