# ts,pupil
7.637017862095001419e+02,2.057563450247962500e+00
7.687017862095001419e+02,2.392921309022300935e+00
7.737017862095001419e+02,2.193342772109449612e+00
7.787017862095001419e+02,nan
7.837017862095001419e+02,nan
7.887017862095001419e+02,2.247166483772589540e+00
7.937017862095001419e+02,2.314280220117741926e+00
7.987017862095001419e+02,2.440598802081606955e+00
8.037017862095001419e+02,2.358437034101338092e+00
8.087017862095001419e+02,2.306046899301405606e+00
8.137017862095001419e+02,2.312700916204375456e+00
8.187017862095001419e+02,2.276953572984956153e+00
8.237017862095001419e+02,2.427617487023362219e+00
8.287017862095001419e+02,2.451922585979837699e+00
8.337017862095001419e+02,2.331014048131843541e+00
8.387017862095001419e+02,2.342580981494829739e+00
8.437017862095001419e+02,2.295512505495600930e+00
8.487017862095001419e+02,2.293634089798624487e+00
8.537017862095001419e+02,2.298743719689411602e+00
8.587017862095001419e+02,2.255212361948127686e+00
8.637017862095001419e+02,2.297966515144214572e+00
8.687017862095001419e+02,2.177744210139738623e+00
8.737017862095001419e+02,2.198977852776982989e+00
8.787017862095001419e+02,2.306066778895967673e+00
8.837017862095001419e+02,2.438010592260590581e+00
8.887017862095001419e+02,2.684415175243788809e+00
8.937017862095001419e+02,2.498847597098354356e+00
8.987017862095001419e+02,2.554428666765570455e+00
9.037017862095001419e+02,2.494043311809911234e+00
9.087017862095001419e+02,2.396755300438062175e+00
9.137017862095001419e+02,2.351854084140599266e+00
9.187017862095001419e+02,2.288049465170733932e+00
9.237017862095001419e+02,2.348606322696285442e+00
9.287017862095001419e+02,2.261685057745718375e+00
9.337017862095001419e+02,2.282819951747774745e+00
9.387017862095001419e+02,2.300313546293252909e+00
9.437017862095001419e+02,2.365871935235333456e+00
9.487017862095001419e+02,2.243925923759179764e+00
9.537017862095001419e+02,2.293185266587458138e+00
9.587017862095001419e+02,2.537131260572429881e+00
9.637017862095001419e+02,2.529320978362304739e+00
9.687017862095001419e+02,2.388956936992607361e+00
9.737017862095001419e+02,2.404844404814219683e+00
9.787017862095001419e+02,2.302570012380085629e+00
9.837017862095001419e+02,2.480996496057573442e+00
9.887017862095001419e+02,2.439849590709885163e+00
9.937017862095001419e+02,2.467879778753894637e+00
9.987017862095001419e+02,2.425496036780348863e+00
1.003701786209500142e+03,2.342613789962454174e+00
1.008701786209500142e+03,2.275014975874217082e+00
1.013701786209500142e+03,2.225607200521571016e+00
1.018701786209500142e+03,2.202864872286684150e+00
1.023701786209500142e+03,2.263881959487783924e+00
1.028701786209500142e+03,2.295491322413508506e+00
1.033701786209500142e+03,2.262649255156468087e+00
1.038701786209500142e+03,2.164132613146759088e+00
1.043701786209500142e+03,2.217165370489095455e+00
1.048701786209500142e+03,2.173206455779697954e+00
1.053701786209500142e+03,2.175324107224346992e+00
1.058701786209500142e+03,2.311048798649396829e+00
1.063701786209500142e+03,2.300894124317902634e+00
1.068701786209500142e+03,2.227353295341935269e+00
1.073701786209500142e+03,2.165060928026082188e+00
1.078701786209500142e+03,2.221259542033523271e+00
1.083701786209500142e+03,2.185630449240987705e+00
1.088701786209500142e+03,2.145453138536930648e+00
1.093701786209500142e+03,2.110978990271730638e+00
1.098701786209500142e+03,2.005439015370164668e+00
