,freqs,L1-L2_wake,L1-L2_REM,L1-L2_NREM,L2-L3_wake,L2-L3_REM,L2-L3_NREM,L3-L4_wake,L3-L4_REM,L3-L4_NREM,R1-R2_wake,R1-R2_REM,R1-R2_NREM,R2-R3_wake,R2-R3_REM,R2-R3_NREM,R3-R4_wake,R3-R4_REM,R3-R4_NREM,F7_wake,F7_REM,F7_NREM,F8_wake,F8_REM,F8_NREM,T7_wake,T7_REM,T7_NREM,P7_wake,P7_REM,P7_NREM,T8_wake,T8_REM,T8_NREM,P8_wake,P8_REM,P8_NREM,O1_wake,O1_REM,O1_NREM,O2_wake,O2_REM,O2_NREM
0,1.2000000000000002,1.5128378768009422e-09,1.204709089912689e-09,5.869053845840986e-10,1.2749337657519318e-09,1.9358097404385036e-09,7.248176024084071e-10,4.074144180134731e-09,3.0652953755690783e-09,5.702929848745153e-10,4.613937017204638e-11,1.1059831787936157e-11,5.112061900281153e-11,4.3536390423592596e-11,2.457568941754337e-11,2.8087302266620455e-11,6.421901917190931e-11,5.945887373684972e-11,6.542129502124957e-11,8.885652606652424e-11,3.721021407974787e-11,1.5737416290006966e-10,1.0165681381989782e-10,4.438272325872093e-11,1.5257222107367256e-10,8.401554239721109e-11,2.293040689459136e-11,2.2623211025447332e-10,3.3725660868015784e-11,1.2557265113773852e-11,7.376634676639269e-11,1.1321372864954698e-10,3.372328659550952e-11,1.6033340087930796e-10,6.459146124981577e-11,2.4009829469878517e-11,8.657694672584815e-11,2.9028321681222444e-11,7.480215361106675e-10,1.2027935352203002e-10,2.990572006637299e-11,1.6779272791936717e-11,6.423886630240412e-11
1,1.6,5.15356798681215e-10,5.824979624814531e-10,2.309746310786204e-10,4.4555179858014105e-10,5.27274559618846e-09,3.384705288213067e-10,2.3526844773262932e-09,1.3137218995857615e-09,2.7614585855143515e-10,3.600735018241588e-11,7.766375756725862e-12,2.8798948977487046e-11,2.9355113203696734e-11,1.5441015434440946e-11,1.6098844757113558e-11,4.783461996343146e-11,3.449287842234521e-11,3.8690688270262195e-11,6.145187211484529e-11,2.0128110287298306e-11,7.58647782769791e-11,6.920802137802109e-11,2.4962084086122635e-11,7.446499841701367e-11,5.945107493499257e-11,1.559025362106137e-11,1.0548784536852926e-10,2.351840739260008e-11,8.824080044180909e-12,3.511963750019177e-11,8.091334016991313e-11,2.20925157951931e-11,7.895642275687152e-11,4.238538324878966e-11,1.4663274507055273e-11,4.073267267015934e-11,1.9844455063201684e-11,3.862935678890331e-09,5.6713994828606364e-11,2.0965272524818282e-11,1.1811221424000406e-11,3.094130234191273e-11
2,2.0,2.060773588810197e-10,4.51387911814124e-10,1.1046613270204559e-10,1.7909063327820428e-10,1.7296164446685184e-09,2.02035375151579e-10,1.0901670213747904e-09,4.2576926721077564e-10,1.4630958748236767e-10,2.964901117706417e-11,7.215976896153075e-12,1.9056944790216754e-11,1.802065481684589e-11,9.582637246617912e-12,1.0490033024209217e-11,2.8653561171763485e-11,2.141236298077346e-11,2.3487484335100472e-11,4.472957869784258e-11,1.472427575298724e-11,4.623422684191483e-11,5.722142040111556e-11,2.2092738996828925e-11,4.885580941203524e-11,4.3588628514277346e-11,1.3496717944163788e-11,6.259996117891971e-11,1.569039638824581e-11,7.186810142651705e-12,2.1221231683799024e-11,5.5364847882011976e-11,1.6891837849062435e-11,4.97506777071474e-11,2.8093081429964584e-11,1.0544854322500044e-11,2.474120572166839e-11,1.3487418347310796e-11,6.741440547875346e-09,3.358906938169683e-11,1.487178474214913e-11,9.177818730638592e-12,1.8575741894932646e-11
3,2.4000000000000004,2.5780432939362753e-10,4.343755347940934e-10,9.746390594608212e-11,1.1368723451257166e-10,5.841691991078718e-10,1.4963286031093587e-10,5.040421266417887e-10,2.84250658535911e-10,1.2361685641814727e-10,2.456277444532204e-11,6.5436331319575335e-12,1.4151859854512094e-11,1.2322856571095232e-11,7.870925843957753e-12,8.135647384565201e-12,2.1539199585319946e-11,1.8236601845257125e-11,1.8564029337332352e-11,3.36403170795282e-11,1.3638851070867082e-11,3.255940417615826e-11,4.7772694983418414e-11,2.3020344799220906e-11,3.6303580856560884e-11,3.615141014740815e-11,1.3284891099921789e-11,4.4518558872199865e-11,1.260509458962224e-11,7.096649698252242e-12,1.577192465437713e-11,4.621714828708261e-11,1.7916477215454823e-11,3.8792611844558525e-11,2.2351951576732338e-11,1.0114536758955243e-11,1.9014179228950565e-11,1.0478678257177664e-11,5.812442611837731e-09,2.1412359323441874e-11,1.2207540549912181e-11,8.21561939694284e-12,1.394657811027317e-11
4,2.8000000000000003,1.3019806107014914e-10,4.0054126459804807e-10,6.22630573856152e-11,1.7634291044370384e-10,7.946082647403876e-10,1.102358452204236e-10,2.8694656919902726e-10,3.0730359099704306e-10,7.611725732801646e-11,1.777783877055776e-11,4.796511975252042e-12,1.1094671947985196e-11,9.20253123466876e-12,6.208360890250767e-12,6.960397703047783e-12,1.785195078547159e-11,1.302254917702969e-11,1.5167053382346973e-11,3.048487201174752e-11,1.3339768240022864e-11,2.6493278418285383e-11,4.170202843704331e-11,2.1059434454427324e-11,2.8822050411474347e-11,3.453073494417195e-11,1.369400537488707e-11,3.7077005114184354e-11,1.1588771174671727e-11,6.283111880981462e-12,1.2931106593671718e-11,4.462656703048216e-11,1.7840752369390328e-11,3.295551219727936e-11,2.0738078637785588e-11,9.385996402056193e-12,1.5745246420821292e-11,9.554944558392708e-12,2.4246197257516145e-09,1.5610273069742287e-11,1.1539849715951414e-11,7.372789503787063e-12,1.1439081704595064e-11
5,3.2,9.097593768352703e-11,2.2300731622446814e-10,2.8947389280766622e-11,2.0227040712516034e-10,1.7444796125901078e-10,6.031214912953892e-11,2.4105546534255985e-10,2.5681386577639164e-10,4.620164108259915e-11,1.257956589312658e-11,3.620605929806181e-12,9.950016462373443e-12,7.782887032477517e-12,4.681361105055238e-12,6.665233892769481e-12,1.547239361965517e-11,9.425247026098168e-12,1.2735755104936405e-11,2.8707564165772387e-11,1.2319987984999405e-11,2.3832968851874792e-11,3.7287780933836156e-11,1.9770247380337665e-11,2.5920150576024825e-11,3.6425091716453984e-11,1.4369076518594096e-11,3.362371897651954e-11,1.1229825774349702e-11,5.4685027131024536e-12,1.1493607355629654e-11,4.293627486247885e-11,1.7565690224480052e-11,3.073279986187715e-11,1.813184949262929e-11,8.251312482215772e-12,1.4068381328174288e-11,9.001476023110483e-12,3.6797914576269203e-10,1.3210521465613993e-11,1.0756666939753979e-11,6.0849674578791246e-12,1.0171153667428963e-11
6,3.6,7.959130409336051e-11,1.529662018298839e-10,3.0475011828762457e-11,9.409342743094369e-11,1.53345508028288e-10,5.103270725729301e-11,1.7664734883756579e-10,9.296993015432123e-11,3.318125947045223e-11,1.0331606723983698e-11,3.070932391203989e-12,9.884491265331399e-12,7.417907321110551e-12,4.1126713811857245e-12,6.8892366744751445e-12,1.3066046386546389e-11,7.755770339702156e-12,1.165847629327091e-11,2.9808600747302726e-11,1.3510086965823313e-11,2.269962544106739e-11,3.707425088544367e-11,2.379434597610716e-11,2.398308191188763e-11,4.20399085785991e-11,1.652189249093473e-11,3.23757311265871e-11,1.1985640598239879e-11,5.699160296083275e-12,1.1272358213567487e-11,4.2901677663206e-11,2.0382250745257228e-11,2.910646838635094e-11,1.6009511961888956e-11,8.636504752879268e-12,1.2930854993977017e-11,9.075975740430536e-12,2.877103902917414e-10,1.1590513185176113e-11,9.935179642479861e-12,5.8413841051109756e-12,9.293508163772002e-12
7,4.0,5.370119977995866e-11,1.0450846119125403e-10,1.8200559279816608e-11,8.319725481543936e-11,1.1489734578506215e-10,2.799187801888781e-11,1.4987624423512144e-10,9.932867102288322e-11,2.250323086319175e-11,1.0099424594275752e-11,2.609784899493888e-12,1.0000692282466232e-11,7.296803924456437e-12,3.662931547912993e-12,7.1665115782688066e-12,1.144222828564805e-11,6.83717124628905e-12,1.1229632536904536e-11,3.165403154018395e-11,1.531631192787227e-11,2.1781762042223147e-11,3.5317816942582215e-11,2.446235916070049e-11,2.261060658516339e-11,4.7282213988663027e-11,1.7199071361917367e-11,3.1311326828264325e-11,1.315233173729285e-11,5.998852952402629e-12,1.1252500489298116e-11,4.444581021829402e-11,2.195255160523256e-11,2.789880898613602e-11,1.4866822933241213e-11,8.797414527352058e-12,1.242435922533037e-11,9.506950023471392e-12,6.233294705961443e-10,1.0452363924308705e-11,9.65782795721526e-12,5.755356823670316e-12,9.027535788089842e-12
8,4.4,4.385366910309237e-11,4.1437424955810636e-11,1.0026627246264471e-11,8.382102508520496e-11,1.8551496952226194e-10,1.6791585411166375e-11,1.581563291272122e-10,9.337860040012165e-11,1.6858141253197168e-11,1.0093630791341012e-11,2.384541785967142e-12,9.492302546946227e-12,6.9469168715053185e-12,2.926716218292965e-12,7.265502531533712e-12,1.085408156949432e-11,5.7141756743922255e-12,1.1242751331693346e-11,2.96837960392378e-11,1.2013418616449963e-11,2.086746918508061e-11,3.725288342473419e-11,1.9580334950447133e-11,2.1371993111844935e-11,4.362210176442919e-11,1.3431350393055168e-11,2.9271033235879187e-11,1.4334725967499699e-11,5.4539355946848685e-12,1.1461012522393635e-11,4.6462416611793165e-11,1.956344699273634e-11,2.75779733486249e-11,1.5280664009692453e-11,7.619069779662669e-12,1.2194007190636548e-11,1.0382859277561934e-11,4.588413044245182e-10,1.0436612674538608e-11,1.0087170087333352e-11,5.170456136652912e-12,8.930504057427612e-12
9,4.800000000000001,4.514391216460971e-11,3.164663372205712e-11,9.220660103260612e-12,4.4299916455568496e-11,4.2070826169262455e-11,1.4100512281923506e-11,8.956382419323018e-11,3.721915593361735e-11,1.3328469149572747e-11,9.522237536150178e-12,2.2068908712480964e-12,8.785628434566094e-12,6.70216590281542e-12,2.3680241824109424e-12,6.905889332815196e-12,1.1080484329932882e-11,5.23350740198448e-12,1.1335341898507749e-11,2.960454122366095e-11,8.400858459529026e-12,1.9465898843946445e-11,4.227596869788254e-11,1.3615800920614318e-11,2.0604308481265562e-11,3.594341729766178e-11,9.765625517040131e-12,2.6478284730507223e-11,1.666315936909167e-11,5.0656044733901505e-12,1.1899083119897863e-11,5.15355404042881e-11,1.740907161995156e-11,2.751356326602836e-11,1.803152086718144e-11,6.492449591918122e-12,1.198022316909548e-11,1.2634916995134219e-11,1.2818184503476766e-10,1.0553179853091402e-11,1.1904338003055851e-11,4.510599084695132e-12,8.712247336705076e-12
